acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.577,0.671,0.271,-5.366,-23.232,44.146
0.571,0.657,0.292,-6.951,-23.11,43.415
0.556,0.649,0.284,-8.293,-20.854,41.098
0.574,0.659,0.273,-10.732,-16.768,36.707
0.598,0.659,0.271,-10.244,-13.171,32.134
0.629,0.64,0.285,-8.476,-14.451,27.927
0.625,0.622,0.288,-6.829,-19.512,23.232
0.61,0.619,0.322,-5.122,-24.817,18.963
0.605,0.622,0.354,-3.659,-28.598,15.427
0.603,0.613,0.373,-1.646,-32.561,12.866
0.604,0.599,0.373,-1.037,-35.915,11.463
0.581,0.615,0.362,-1.524,-36.098,10.671
0.571,0.634,0.326,-2.256,-31.707,7.744
0.593,0.646,0.271,0.549,-26.646,2.866
0.635,0.642,0.308,4.146,-33.659,2.927
0.563,0.627,0.348,8.354,-50.976,3.902
0.479,0.627,0.313,13.232,-71.037,5.0
0.446,0.63,0.28,21.341,-91.585,5.061
0.454,0.633,0.279,27.805,-117.439,5.122
0.42,0.624,0.267,28.232,-138.049,5.549
0.434,0.66,0.255,23.841,-142.927,3.902
0.532,0.688,0.23,19.573,-133.598,0.976
0.664,0.708,0.215,20.793,-120.0,-4.634
0.779,0.719,0.192,22.134,-114.39,-8.659
0.793,0.693,0.155,18.171,-124.085,-10.61
0.729,0.667,0.106,15.244,-143.232,-14.573
0.734,0.656,0.074,12.012,-163.049,-20.549
0.729,0.633,0.004,9.512,-173.232,-24.451
0.756,0.613,-0.03,7.317,-172.988,-27.683
0.778,0.59,0.018,3.902,-165.244,-30.366
0.772,0.587,0.068,2.134,-153.537,-35.183
0.762,0.622,0.097,1.037,-140.366,-37.073
0.772,0.652,0.112,-2.317,-137.561,-33.537
0.69,0.661,0.077,-8.415,-138.049,-30.671
0.6,0.69,0.042,-9.207,-128.415,-31.402
0.557,0.71,0.03,-6.829,-116.89,-29.878
0.577,0.709,0.023,-8.598,-114.695,-21.829
0.494,0.701,0.026,-10.732,-108.232,-15.122
0.422,0.733,0.071,-10.854,-89.695,-8.232
0.427,0.773,0.108,-12.378,-60.61,-2.744
0.434,0.829,0.111,-10.793,-20.305,-0.366
0.489,0.85,0.104,-3.841,15.61,2.256
0.537,0.8,0.153,1.037,33.354,5.427
0.442,0.791,0.181,2.378,41.402,6.829
0.449,0.79,0.14,4.085,46.22,8.415
0.511,0.747,0.104,5.61,47.256,9.268
0.528,0.71,0.072,6.829,48.78,9.756
0.557,0.699,0.043,11.159,54.085,9.207
0.59,0.728,0.073,17.195,53.537,10.305
0.605,0.774,0.108,23.354,43.659,13.354
0.58,0.809,0.126,28.171,31.402,16.098
0.545,0.821,0.098,30.976,24.695,18.11
0.565,0.819,0.055,29.512,16.829,17.5
0.625,0.807,-0.05,26.037,7.134,14.878
0.694,0.785,-0.172,22.683,4.817,9.024
0.799,0.753,-0.25,17.744,1.951,2.5
0.88,0.71,-0.288,12.134,-5.061,-4.573
0.944,0.675,-0.305,5.0,-12.5,-11.22
0.971,0.628,-0.288,-2.073,-20.793,-17.561
