acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.305,0.498,0.68,-41.402,27.317,9.329
0.249,0.471,0.719,-44.695,9.512,0.488
0.23,0.451,0.675,-48.171,-4.39,-4.573
0.206,0.431,0.62,-50.488,-12.866,-7.805
0.202,0.471,0.612,-57.073,-16.28,-8.72
0.186,0.474,0.618,-64.39,-16.951,-7.988
0.375,0.429,0.665,-65.244,-2.256,-10.732
0.54,0.318,0.869,-61.768,26.402,-8.902
0.231,0.175,0.956,-46.768,29.695,-0.305
-0.038,0.198,0.987,-34.085,13.598,-2.5
-0.052,0.263,1.01,-28.963,-6.585,-3.171
-0.041,0.29,0.962,-26.037,-23.902,-1.89
-0.013,0.32,0.917,-24.878,-39.207,0.549
-0.037,0.339,0.867,-22.866,-54.207,4.695
-0.036,0.371,0.846,-22.683,-69.207,7.134
-0.027,0.4,0.866,-27.622,-92.134,9.085
-0.087,0.399,0.775,-32.195,-130.976,10.915
0.013,0.434,0.689,-36.402,-159.024,5.854
0.297,0.503,0.708,-44.512,-158.781,2.195
0.408,0.476,0.761,-50.671,-146.646,6.037
0.329,0.364,0.803,-46.341,-139.512,10.915
0.276,0.306,0.862,-37.439,-135.854,11.28
0.346,0.342,0.909,-34.939,-129.756,10.244
0.417,0.375,0.887,-38.72,-123.415,10.732
0.39,0.356,0.837,-40.854,-126.342,11.402
0.306,0.349,0.804,-43.293,-142.012,11.463
0.266,0.365,0.788,-49.756,-166.098,8.293
0.286,0.349,0.8,-57.927,-192.683,3.171
0.33,0.298,0.781,-62.561,-218.598,-2.195
0.406,0.263,0.741,-65.732,-242.012,-6.28
0.465,0.25,0.695,-69.512,-263.293,-10.0
0.502,0.271,0.651,-74.451,-282.988,-15.0
0.606,0.264,0.649,-82.317,-292.805,-14.878
0.73,0.238,0.669,-93.902,-288.598,-12.805
0.764,0.229,0.66,-101.768,-283.476,-15.61
0.739,0.223,0.615,-106.646,-285.0,-18.537
0.774,0.185,0.569,-111.524,-290.549,-19.573
0.808,0.141,0.56,-110.915,-293.963,-21.463
0.862,0.132,0.57,-109.634,-290.0,-22.805
0.947,0.151,0.583,-112.134,-278.232,-22.317
0.991,0.142,0.591,-111.159,-260.976,-22.622
1.006,0.15,0.572,-112.012,-240.61,-20.671
1.013,0.176,0.568,-114.146,-217.195,-17.195
0.995,0.181,0.554,-115.183,-192.927,-13.537
0.96,0.188,0.508,-115.183,-172.256,-11.28
0.921,0.177,0.454,-113.415,-154.756,-9.39
0.87,0.143,0.445,-110.915,-132.439,-5.366
0.82,0.149,0.473,-107.5,-112.622,2.744
0.78,0.139,0.514,-102.012,-96.28,9.146
0.763,0.111,0.534,-95.732,-80.366,15.793
0.754,0.116,0.544,-89.146,-69.634,20.549
0.744,0.095,0.504,-80.427,-62.805,22.683
0.78,0.065,0.426,-71.463,-53.78,22.378
0.849,0.052,0.348,-65.732,-43.78,20.122
0.902,0.053,0.303,-62.5,-35.915,16.037
0.943,0.058,0.292,-60.671,-30.244,11.28
0.992,0.058,0.276,-58.72,-26.341,6.829
1.005,0.059,0.252,-55.244,-26.037,2.683
0.976,0.066,0.238,-51.463,-27.805,-1.159
0.973,0.078,0.246,-48.659,-27.5,-4.756
0.969,0.088,0.267,-45.427,-25.549,-8.415
0.953,0.093,0.278,-40.793,-23.171,-11.707
