acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.056,0.475,0.617,-62.561,54.146,19.329
0.08,0.471,0.61,-67.866,58.293,15.61
0.084,0.463,0.577,-71.829,56.829,15.488
0.028,0.457,0.581,-71.707,49.451,15.488
-0.028,0.462,0.617,-69.146,43.293,13.72
-0.016,0.435,0.677,-65.549,41.22,11.402
0.041,0.404,0.778,-61.402,44.207,8.659
0.044,0.378,0.852,-56.585,49.451,7.744
-0.029,0.357,0.862,-50.244,50.61,6.402
-0.099,0.373,0.869,-45.671,46.829,5.488
-0.125,0.382,0.842,-40.183,41.28,5.244
-0.098,0.334,0.867,-32.5,41.524,5.122
-0.177,0.285,0.889,-25.244,38.659,11.524
-0.329,0.334,0.871,-22.866,26.463,12.805
-0.373,0.399,0.84,-25.488,9.939,9.817
-0.296,0.394,0.807,-27.622,-5.0,6.524
-0.248,0.367,0.818,-27.561,-16.463,7.073
-0.249,0.345,0.854,-24.878,-25.427,8.841
-0.22,0.349,0.887,-25.061,-34.451,7.744
-0.209,0.347,0.868,-24.939,-45.122,5.488
-0.203,0.346,0.829,-22.622,-58.841,4.573
-0.22,0.356,0.796,-20.976,-79.146,7.744
-0.285,0.364,0.74,-20.0,-110.671,12.622
-0.327,0.376,0.687,-19.634,-152.622,16.463
-0.336,0.371,0.658,-18.598,-200.183,19.756
-0.304,0.371,0.66,-17.866,-248.537,21.89
-0.232,0.381,0.722,-20.061,-288.415,21.463
-0.128,0.387,0.756,-28.537,-318.354,18.841
0.036,0.388,0.744,-37.927,-341.524,17.134
0.18,0.367,0.701,-44.512,-360.305,17.744
0.237,0.357,0.651,-46.585,-377.378,18.72
0.26,0.365,0.672,-48.537,-391.829,18.598
0.31,0.384,0.705,-57.439,-401.89,12.866
0.486,0.367,0.692,-67.439,-406.829,-2.744
0.655,0.313,0.639,-66.159,-402.012,-10.183
0.702,0.315,0.565,-66.159,-387.134,-11.89
0.739,0.315,0.552,-63.78,-368.659,-17.256
0.772,0.311,0.578,-63.598,-356.829,-21.646
0.75,0.302,0.551,-61.951,-349.817,-24.756
0.791,0.275,0.548,-58.78,-332.927,-25.366
0.968,0.269,0.613,-62.561,-304.634,-22.134
1.106,0.311,0.689,-67.744,-269.146,-17.5
1.091,0.291,0.674,-64.024,-233.293,-15.793
1.019,0.291,0.627,-58.72,-201.037,-19.512
0.991,0.339,0.567,-58.293,-170.244,-24.939
1.004,0.356,0.539,-60.244,-142.317,-28.598
0.957,0.356,0.531,-64.024,-120.183,-26.524
0.894,0.326,0.515,-64.695,-99.512,-16.951
0.821,0.299,0.518,-62.317,-82.927,-8.72
0.646,0.307,0.506,-62.317,-74.146,-2.561
0.541,0.325,0.458,-59.756,-67.988,4.756
0.49,0.326,0.424,-54.451,-58.598,14.512
0.488,0.319,0.407,-50.427,-44.939,24.329
0.527,0.307,0.406,-46.646,-28.537,33.232
0.589,0.292,0.396,-43.659,-12.744,40.244
0.661,0.273,0.39,-41.951,0.366,43.659
0.737,0.261,0.375,-41.768,10.183,44.024
0.841,0.226,0.374,-42.622,17.988,43.963
0.947,0.192,0.434,-44.756,18.78,40.793
0.969,0.163,0.469,-42.988,11.402,34.512
1.011,0.141,0.493,-44.756,-0.488,27.317
1.021,0.142,0.527,-46.341,-13.659,20.61
1.01,0.137,0.53,-44.817,-26.463,13.659
1.005,0.145,0.532,-42.256,-35.488,5.854
0.992,0.158,0.542,-40.0,-42.195,-2.073
0.97,0.176,0.55,-37.439,-47.622,-8.537
0.973,0.173,0.574,-33.902,-50.732,-12.866
0.969,0.182,0.599,-29.695,-53.78,-16.402
0.965,0.192,0.601,-25.305,-57.866,-19.695
0.975,0.191,0.587,-20.305,-62.256,-23.354
0.99,0.187,0.551,-14.695,-64.695,-27.439
1.004,0.188,0.497,-8.293,-64.329,-31.646
0.999,0.183,0.436,-1.22,-61.28,-35.854
1.003,0.185,0.391,5.427,-55.671,-39.39
0.995,0.195,0.362,10.793,-50.244,-41.768
0.943,0.206,0.333,15.61,-45.183,-42.073
0.891,0.221,0.296,18.963,-38.11,-40.183
0.827,0.235,0.268,21.341,-29.329,-36.585
0.742,0.246,0.242,21.098,-20.61,-31.768
0.642,0.261,0.211,19.207,-12.988,-26.22
0.562,0.27,0.174,15.244,-5.427,-19.085
0.5,0.292,0.144,9.268,3.171,-10.427
0.448,0.302,0.124,1.951,11.951,-1.098
0.426,0.305,0.11,-4.634,21.402,7.866
0.443,0.295,0.102,-9.878,32.927,16.646
0.475,0.293,0.117,-15.549,45.61,25.488
0.521,0.278,0.155,-20.244,57.988,34.329
0.588,0.247,0.195,-23.232,69.634,43.293
0.638,0.235,0.244,-24.695,79.939,50.061
0.709,0.219,0.281,-26.037,87.134,55.427
0.82,0.197,0.327,-28.232,88.72,58.72
0.916,0.172,0.382,-28.963,84.756,58.72
1.011,0.147,0.446,-28.78,75.915,55.122
1.095,0.134,0.505,-27.622,63.171,47.561
1.189,0.134,0.579,-26.037,47.927,36.524
1.251,0.126,0.633,-23.11,30.244,23.841
1.288,0.112,0.671,-19.024,11.951,10.61
1.299,0.106,0.693,-13.049,-4.573,-2.378
1.265,0.107,0.706,-6.28,-19.085,-14.329
1.203,0.113,0.701,1.159,-31.707,-24.817
1.139,0.12,0.674,8.72,-42.195,-33.232
1.071,0.131,0.649,15.183,-50.915,-39.39
1.008,0.148,0.604,20.732,-57.195,-43.841
0.971,0.162,0.552,25.061,-60.976,-47.012
0.941,0.183,0.49,27.561,-62.317,-49.451
0.917,0.202,0.43,28.537,-61.22,-50.305
0.876,0.22,0.371,28.841,-58.72,-49.695
0.829,0.235,0.311,28.232,-55.732,-47.378
0.781,0.255,0.263,26.768,-52.378,-43.232
0.723,0.27,0.223,24.024,-47.561,-37.805
0.664,0.287,0.19,19.39,-40.488,-31.402
0.611,0.3,0.169,13.902,-31.037,-24.146
0.577,0.309,0.143,7.927,-18.72,-16.098
0.539,0.316,0.115,1.098,-4.268,-7.622
0.506,0.316,0.104,-5.793,10.732,1.402
0.491,0.313,0.117,-12.195,25.549,10.61
0.506,0.307,0.132,-17.744,38.902,19.512
0.531,0.295,0.166,-23.415,48.537,27.744
0.544,0.276,0.219,-27.683,53.902,34.573
0.587,0.243,0.277,-29.512,58.598,41.463
0.65,0.222,0.34,-30.427,62.805,47.5
0.709,0.211,0.414,-29.329,65.854,51.22
0.778,0.188,0.448,-26.585,67.5,53.232
0.852,0.165,0.479,-22.5,68.171,54.085
0.928,0.147,0.498,-17.439,68.476,52.073
1.039,0.145,0.516,-13.476,67.256,45.915
1.118,0.139,0.542,-10.0,60.305,36.098
1.167,0.128,0.565,-6.951,48.476,25.183
1.18,0.13,0.604,-4.268,32.561,14.024
1.176,0.131,0.626,-0.122,15.183,3.476
1.169,0.132,0.635,4.756,-0.61,-5.61
1.148,0.138,0.634,8.841,-13.415,-13.598
