acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.179,0.468,0.816,-25.427,61.829,13.171
0.16,0.44,0.822,-23.049,56.829,11.22
0.146,0.426,0.817,-20.244,48.72,7.927
0.146,0.439,0.82,-19.756,40.915,3.598
0.139,0.445,0.813,-21.28,34.39,-0.549
0.11,0.441,0.785,-23.415,29.024,-2.439
0.087,0.459,0.771,-26.585,25.366,-2.378
0.059,0.497,0.751,-32.073,19.024,-2.134
0.024,0.521,0.712,-36.89,4.024,-2.073
0.0,0.51,0.687,-38.049,-13.171,-0.549
0.038,0.5,0.74,-40.244,-25.854,-1.463
0.07,0.481,0.825,-41.585,-37.744,-2.134
-0.004,0.424,0.877,-38.598,-54.878,-0.976
-0.015,0.403,0.888,-35.305,-75.183,-2.317
0.026,0.395,0.891,-32.195,-92.866,-3.476
0.025,0.38,0.904,-29.085,-107.5,-3.415
0.019,0.37,0.912,-25.061,-120.854,-2.5
0.035,0.373,0.91,-22.317,-133.72,-0.915
0.055,0.388,0.92,-21.951,-151.037,-0.488
0.083,0.408,0.889,-25.061,-177.317,-0.122
0.091,0.423,0.831,-31.89,-213.781,0.732
0.084,0.408,0.778,-36.463,-257.134,-1.951
0.111,0.389,0.747,-37.988,-298.232,-7.378
0.204,0.403,0.735,-42.378,-329.207,-12.073
0.368,0.415,0.714,-49.329,-349.329,-16.768
0.507,0.407,0.672,-54.817,-362.5,-22.256
0.582,0.407,0.613,-60.122,-375.976,-28.78
0.567,0.421,0.559,-65.305,-391.951,-37.561
0.58,0.41,0.509,-68.963,-406.402,-45.427
0.682,0.406,0.496,-71.524,-408.902,-50.488
0.859,0.354,0.461,-65.976,-391.037,-50.915
1.0,0.306,0.469,-57.073,-353.171,-48.78
1.077,0.339,0.53,-55.183,-297.317,-41.829
1.155,0.397,0.591,-63.232,-236.585,-31.829
1.093,0.416,0.57,-69.573,-184.512,-29.634
0.939,0.423,0.494,-77.378,-143.963,-28.293
0.814,0.44,0.436,-86.768,-114.085,-26.037
0.642,0.438,0.388,-90.976,-94.634,-24.573
0.478,0.416,0.361,-92.195,-77.683,-15.549
0.47,0.399,0.368,-91.463,-58.232,0.183
0.443,0.392,0.389,-86.402,-37.317,15.061
0.413,0.388,0.421,-80.671,-13.78,28.78
0.477,0.39,0.444,-75.427,12.439,40.305
0.558,0.366,0.465,-68.963,37.805,49.512
0.586,0.348,0.5,-63.72,53.78,54.268
0.599,0.326,0.507,-58.354,59.573,56.646
0.674,0.308,0.509,-54.573,57.378,57.378
0.785,0.285,0.494,-49.939,49.756,55.122
0.886,0.25,0.512,-45.488,38.841,51.22
0.968,0.234,0.574,-43.537,26.037,44.329
1.008,0.235,0.637,-43.72,13.415,34.634
1.052,0.246,0.686,-44.878,2.805,25.0
1.06,0.232,0.716,-44.146,-7.744,17.561
1.019,0.219,0.725,-41.159,-20.915,12.256
0.939,0.223,0.716,-36.768,-37.744,6.524
0.878,0.233,0.683,-32.134,-55.183,1.829
0.859,0.246,0.652,-28.72,-70.427,-2.866
0.852,0.259,0.621,-24.634,-81.707,-8.415
0.868,0.254,0.571,-19.634,-86.951,-13.598
0.892,0.254,0.529,-15.61,-86.524,-18.11
0.889,0.266,0.498,-13.78,-84.512,-22.927
0.871,0.279,0.461,-14.451,-83.902,-27.378
0.861,0.282,0.421,-15.183,-83.537,-30.671
0.867,0.272,0.385,-16.829,-81.28,-32.378
0.869,0.268,0.364,-20.366,-76.89,-32.317
0.884,0.258,0.353,-23.293,-70.427,-32.927
0.877,0.243,0.332,-23.72,-61.951,-33.902
0.83,0.236,0.324,-23.78,-52.744,-33.963
0.772,0.231,0.326,-23.232,-42.866,-31.463
0.731,0.219,0.335,-21.341,-31.402,-25.549
0.699,0.213,0.34,-18.598,-17.744,-17.927
0.683,0.22,0.34,-16.402,-3.659,-10.244
0.659,0.227,0.331,-13.171,11.707,-4.024
0.673,0.213,0.319,-8.72,33.232,1.707
0.717,0.213,0.317,-4.695,60.976,6.037
0.755,0.223,0.318,-2.744,90.183,9.634
0.75,0.242,0.338,-4.085,113.171,12.195
0.711,0.249,0.363,-5.915,126.89,14.207
0.686,0.251,0.385,-8.11,133.232,18.415
0.644,0.263,0.394,-9.573,134.817,22.439
0.592,0.257,0.378,-12.012,135.183,26.402
0.545,0.257,0.376,-15.061,138.598,31.524
0.507,0.269,0.369,-16.707,146.22,37.866
0.503,0.27,0.359,-15.488,156.342,44.451
0.504,0.258,0.349,-12.927,163.11,50.366
0.531,0.272,0.359,-18.11,156.463,55.183
0.564,0.285,0.386,-22.5,138.293,57.622
0.655,0.247,0.444,-20.488,117.378,57.134
0.813,0.237,0.544,-19.756,98.049,54.756
0.934,0.238,0.655,-20.0,77.988,50.488
0.997,0.206,0.767,-16.768,58.232,42.622
1.058,0.196,0.866,-16.402,37.683,32.5
1.046,0.158,0.935,-10.0,15.305,21.037
1.028,0.115,0.988,0.122,-7.073,10.488
0.961,0.131,1.019,7.744,-31.098,0.244
0.878,0.139,1.018,17.622,-57.439,-8.354
0.849,0.113,0.975,29.39,-80.549,-14.329
