acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.584,0.301,0.662,-45.122,-23.171,17.317
0.588,0.289,0.683,-39.939,-21.585,18.11
0.619,0.278,0.688,-33.963,-23.293,18.049
0.635,0.262,0.693,-27.805,-27.012,16.098
0.688,0.257,0.71,-23.293,-30.244,12.622
0.75,0.245,0.725,-19.695,-33.415,7.683
0.777,0.236,0.731,-17.5,-38.902,1.341
0.772,0.233,0.731,-15.915,-46.524,-5.549
0.751,0.23,0.738,-14.817,-54.634,-12.683
0.725,0.234,0.721,-13.293,-61.098,-18.963
0.732,0.234,0.689,-10.915,-64.512,-23.72
0.728,0.23,0.641,-8.049,-66.159,-26.829
0.703,0.211,0.58,-3.598,-65.0,-28.963
0.693,0.201,0.538,1.341,-62.317,-30.366
0.66,0.212,0.505,4.573,-61.646,-30.854
0.621,0.224,0.487,6.402,-60.671,-30.793
0.62,0.246,0.49,6.341,-55.793,-30.061
0.604,0.26,0.498,4.024,-47.683,-27.744
0.549,0.28,0.492,-0.793,-39.085,-23.354
0.503,0.301,0.478,-6.159,-29.512,-16.768
0.477,0.299,0.458,-12.988,-19.573,-6.037
0.445,0.316,0.461,-20.549,-14.756,5.305
0.38,0.326,0.445,-24.817,-14.573,14.878
0.394,0.298,0.417,-26.22,-9.207,26.524
0.494,0.282,0.41,-26.585,1.89,35.732
0.539,0.287,0.424,-26.098,13.354,41.89
0.59,0.27,0.453,-25.854,24.573,46.098
0.67,0.247,0.488,-26.524,35.549,48.72
0.729,0.238,0.55,-26.341,40.854,48.598
0.802,0.196,0.623,-23.354,40.549,45.183
0.85,0.174,0.688,-22.561,32.988,38.537
0.877,0.165,0.73,-22.256,21.28,30.244
0.947,0.157,0.755,-22.805,9.207,21.098
0.963,0.149,0.771,-22.012,-6.585,11.22
0.932,0.148,0.775,-19.878,-23.963,2.012
0.927,0.164,0.782,-17.805,-39.207,-6.159
0.903,0.174,0.782,-16.037,-51.829,-13.476
0.872,0.181,0.778,-13.537,-61.22,-19.695
0.851,0.187,0.764,-10.671,-66.89,-24.512
0.835,0.193,0.731,-8.049,-70.488,-28.659
0.821,0.201,0.688,-6.28,-73.232,-32.561
0.812,0.202,0.64,-4.634,-72.683,-36.22
0.834,0.204,0.59,-2.988,-67.012,-38.963
0.854,0.21,0.557,-1.341,-59.695,-40.305
0.811,0.211,0.544,0.488,-55.061,-40.488
0.744,0.219,0.54,1.707,-52.683,-39.268
0.679,0.225,0.548,3.354,-48.902,-35.793
0.642,0.236,0.549,4.451,-41.89,-30.61
0.588,0.241,0.544,6.098,-30.244,-24.024
0.545,0.253,0.512,6.89,-14.756,-17.378
