acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.124,0.51,0.758,-44.268,10.0,4.024
-0.129,0.528,0.729,-42.012,4.024,1.585
-0.121,0.534,0.705,-40.549,-0.854,2.988
-0.16,0.507,0.695,-36.89,-7.683,3.963
-0.16,0.496,0.744,-34.085,-11.28,3.354
-0.146,0.455,0.806,-30.549,-13.598,3.476
-0.159,0.444,0.824,-27.744,-21.646,3.171
-0.184,0.459,0.79,-26.22,-36.707,3.11
-0.202,0.48,0.75,-27.012,-56.341,2.439
-0.208,0.483,0.698,-29.329,-81.28,3.293
-0.228,0.462,0.687,-29.695,-110.61,4.695
-0.272,0.458,0.714,-30.61,-144.329,3.72
-0.256,0.491,0.728,-34.451,-177.256,1.28
-0.161,0.5,0.716,-40.366,-203.537,-1.402
-0.046,0.499,0.705,-47.256,-221.768,-1.585
0.008,0.504,0.668,-52.378,-236.524,1.768
0.016,0.523,0.67,-55.793,-251.22,5.671
0.023,0.528,0.701,-60.488,-268.842,6.524
0.058,0.499,0.725,-64.39,-286.829,4.085
0.139,0.459,0.73,-68.598,-305.244,-1.768
0.221,0.427,0.714,-70.122,-322.012,-11.829
0.288,0.422,0.701,-68.841,-333.659,-18.537
0.369,0.437,0.665,-69.085,-337.988,-23.232
0.47,0.431,0.625,-68.537,-337.317,-27.073
0.535,0.414,0.629,-67.622,-334.634,-28.11
0.567,0.397,0.648,-68.171,-331.281,-26.524
0.606,0.39,0.684,-70.976,-325.244,-24.024
0.721,0.396,0.722,-74.207,-310.0,-20.183
0.85,0.402,0.738,-75.915,-284.817,-20.244
0.87,0.4,0.728,-69.756,-252.134,-26.037
0.827,0.396,0.683,-63.963,-215.671,-27.988
0.831,0.42,0.656,-67.805,-178.049,-21.098
0.808,0.44,0.676,-72.195,-142.378,-12.256
0.713,0.43,0.668,-70.732,-116.159,-9.878
0.554,0.435,0.643,-69.207,-99.451,-7.378
0.434,0.446,0.62,-66.098,-88.232,0.732
0.453,0.426,0.588,-61.037,-75.732,11.951
