acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.467,-0.884,0.303,0.0,-4.695,-2.195
-0.507,-0.905,0.254,-2.256,-23.78,-1.89
-0.502,-0.921,0.26,-2.5,-39.024,-0.854
-0.461,-0.915,0.271,-2.378,-48.537,0.732
-0.438,-0.882,0.297,-2.561,-55.61,1.22
-0.423,-0.871,0.326,-3.11,-61.22,2.012
-0.425,-0.886,0.334,-1.22,-67.317,2.195
-0.454,-0.905,0.315,0.122,-75.976,1.646
-0.475,-0.917,0.303,2.317,-94.512,1.037
-0.533,-0.925,0.263,-1.768,-126.646,-0.244
-0.61,-0.888,0.263,-10.61,-169.634,-0.549
-0.674,-0.881,0.274,-12.805,-210.427,-2.988
-0.614,-0.911,0.33,-12.256,-237.073,-6.037
-0.447,-0.918,0.395,-11.707,-245.671,-6.707
-0.32,-0.931,0.419,-10.915,-237.195,-6.829
-0.229,-0.934,0.446,-13.293,-216.342,-7.317
-0.161,-0.928,0.49,-17.073,-193.11,-7.561
-0.137,-0.941,0.486,-19.085,-169.451,-5.244
-0.146,-0.955,0.533,-22.927,-144.207,-2.927
-0.171,-0.918,0.565,-25.854,-119.573,-2.927
-0.239,-0.91,0.559,-27.256,-97.256,-5.549
-0.3,-0.913,0.542,-28.598,-78.354,-8.78
-0.313,-0.927,0.519,-29.939,-62.012,-11.524
-0.316,-0.953,0.492,-28.537,-42.5,-14.817
-0.312,-0.968,0.458,-24.756,-7.012,-18.78
-0.212,-0.983,0.452,-20.61,56.707,-21.159
-0.034,-0.975,0.458,-16.463,140.061,-19.817
0.09,-0.95,0.338,-5.427,238.354,-18.476
0.152,-0.933,0.305,10.305,348.476,-22.195
0.077,-0.884,0.32,27.439,448.293,-27.805
-0.126,-0.89,0.281,43.72,520.427,-33.049
-0.226,-0.92,0.292,51.829,565.122,-33.11
-0.169,-0.886,0.299,51.951,585.854,-30.488
-0.124,-0.827,0.29,46.159,586.098,-27.988
-0.109,-0.79,0.274,37.134,571.403,-25.366
-0.11,-0.759,0.245,27.378,545.61,-23.72
-0.116,-0.746,0.202,16.585,506.403,-19.695
-0.185,-0.766,0.083,6.28,454.329,-13.293
-0.296,-0.825,-0.076,-2.317,381.829,-6.037
-0.458,-0.89,-0.226,-8.293,297.988,3.598
-0.53,-0.962,-0.294,-9.512,217.256,10.976
-0.537,-0.998,-0.347,-8.415,146.951,17.195
-0.578,-0.994,-0.386,-5.732,85.854,21.098
-0.654,-0.975,-0.4,-2.256,25.915,22.439
-0.762,-0.955,-0.428,0.122,-45.854,22.073
-0.956,-0.926,-0.467,0.671,-135.427,19.695
-1.105,-0.914,-0.462,-2.012,-238.903,15.305
-1.182,-0.882,-0.425,-8.537,-352.012,10.427
-1.191,-0.832,-0.375,-16.89,-459.207,4.207
-1.035,-0.793,-0.281,-28.415,-550.305,-4.573
-0.82,-0.739,-0.202,-42.988,-615.671,-13.963
-0.611,-0.727,-0.132,-55.0,-648.11,-23.293
-0.369,-0.77,-0.049,-62.988,-644.024,-31.524
-0.159,-0.833,0.069,-66.341,-607.5,-37.866
-0.045,-0.914,0.173,-64.817,-560.488,-43.902
-0.057,-0.976,0.182,-66.585,-519.207,-48.415
-0.136,-0.985,0.119,-66.28,-489.939,-51.585
-0.163,-1.039,0.072,-54.634,-468.537,-53.354
-0.041,-1.094,0.081,-37.5,-438.72,-50.549
0.236,-1.079,0.157,-26.341,-379.024,-43.78
0.552,-1.018,0.298,-20.427,-292.073,-36.159
0.691,-0.994,0.403,-17.378,-203.963,-24.756
0.606,-1.02,0.393,-13.415,-131.463,-11.951
0.441,-1.027,0.395,-10.854,-77.866,-1.524
0.307,-0.988,0.388,-8.841,-38.11,6.22
0.206,-0.97,0.333,-3.78,-2.012,11.341
0.153,-0.992,0.31,3.049,46.768,13.659
0.186,-1.0,0.361,7.988,113.232,16.402
0.195,-0.982,0.362,11.951,185.122,21.829
0.165,-0.99,0.311,20.488,264.878,24.573
0.239,-1.009,0.341,31.646,356.524,23.598
0.291,-1.011,0.328,42.622,449.756,23.171
0.234,-1.009,0.248,50.427,527.195,21.28
0.053,-0.977,0.12,58.171,566.768,20.061
-0.178,-0.96,0.022,63.598,571.037,20.0
-0.24,-0.957,0.037,61.829,566.342,19.512
-0.177,-0.903,0.028,55.671,555.0,18.598
-0.282,-0.822,-0.02,46.22,523.293,16.646
-0.507,-0.792,-0.006,34.146,454.39,15.61
-0.681,-0.785,-0.008,19.939,356.524,17.683
-0.799,-0.779,-0.077,7.5,236.159,16.22
-0.987,-0.794,-0.221,-1.524,98.841,14.512
-1.161,-0.854,-0.312,-7.561,-49.756,15.183
