acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.4,-0.948,0.333,6.463,28.963,0.793
-0.355,-0.969,0.346,9.39,47.378,0.793
-0.3,-0.978,0.357,11.89,73.841,-0.793
-0.273,-0.979,0.352,14.939,99.817,-0.366
-0.271,-0.973,0.286,17.805,121.22,2.744
-0.282,-0.95,0.213,20.915,135.061,2.073
-0.337,-0.934,0.184,24.573,142.683,-0.366
-0.378,-0.938,0.243,28.354,156.524,-2.561
-0.315,-0.912,0.355,29.451,175.366,-2.439
-0.333,-0.853,0.398,27.744,189.207,-0.366
-0.389,-0.824,0.378,26.037,194.939,-0.122
-0.426,-0.835,0.302,24.024,191.342,-2.073
-0.518,-0.837,0.237,20.183,171.89,-3.476
-0.611,-0.835,0.225,15.061,135.549,-3.415
-0.674,-0.841,0.229,9.756,84.146,-3.171
-0.727,-0.846,0.229,4.695,22.012,-2.073
-0.753,-0.851,0.233,-3.049,-46.585,-0.122
-0.747,-0.842,0.236,-12.439,-122.256,2.866
-0.771,-0.86,0.229,-20.793,-201.951,5.488
-0.75,-0.877,0.201,-30.0,-274.329,8.171
-0.679,-0.875,0.219,-38.72,-344.146,10.305
-0.711,-0.863,0.189,-46.524,-409.207,11.037
-0.613,-0.869,0.203,-52.195,-461.098,9.817
-0.45,-0.879,0.22,-56.463,-493.476,7.683
-0.325,-0.886,0.255,-57.683,-505.305,5.366
-0.187,-0.902,0.321,-59.024,-499.573,2.988
-0.093,-0.918,0.368,-58.963,-479.329,2.744
-0.007,-0.952,0.42,-57.073,-445.854,2.256
0.065,-0.988,0.423,-54.024,-404.512,2.805
0.1,-1.02,0.418,-47.134,-359.634,4.329
0.134,-1.037,0.415,-40.793,-308.171,5.549
0.176,-1.013,0.431,-36.768,-251.159,5.976
0.123,-0.986,0.413,-32.439,-196.403,5.305
0.036,-0.985,0.387,-26.402,-148.72,3.78
-0.054,-0.984,0.389,-21.402,-110.061,1.524
-0.127,-0.971,0.393,-17.378,-77.988,-0.488
-0.148,-0.956,0.382,-12.439,-46.524,-2.134
-0.088,-0.962,0.352,-6.585,-2.561,-2.134
0.037,-0.95,0.367,-1.159,61.463,-0.305
0.15,-0.92,0.367,4.573,137.988,0.732
0.17,-0.932,0.277,15.793,220.061,1.402
0.152,-0.965,0.228,33.598,305.976,0.671
0.184,-0.989,0.213,50.488,397.378,-0.732
0.264,-1.003,0.171,64.939,490.671,-0.183
0.24,-0.99,0.113,76.22,571.463,1.524
0.133,-0.965,0.061,86.341,635.244,4.024
0.167,-0.97,0.03,91.951,692.134,7.866
0.258,-0.914,-0.095,94.085,724.146,12.866
0.001,-0.818,-0.22,93.293,705.61,17.561
-0.384,-0.783,-0.215,85.183,638.842,19.085
-0.601,-0.774,-0.151,70.244,555.549,20.915
-0.667,-0.753,-0.043,54.573,479.512,22.561
-0.71,-0.705,0.039,39.756,400.0,24.329
-0.861,-0.697,0.055,25.793,309.695,27.012
-0.979,-0.771,0.05,13.902,210.244,26.22
