acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.219,0.748,0.59,-10.122,7.805,25.488
0.264,0.735,0.654,-9.024,12.317,21.402
0.259,0.728,0.619,-8.963,13.537,19.939
0.224,0.729,0.603,-9.146,15.793,21.585
0.268,0.74,0.612,-11.28,24.695,24.146
0.276,0.769,0.618,-12.744,34.085,24.329
0.24,0.758,0.589,-12.439,36.707,21.585
0.211,0.742,0.551,-11.768,35.061,16.28
0.152,0.749,0.549,-12.5,32.988,10.915
0.108,0.762,0.556,-12.134,32.5,6.341
0.108,0.757,0.585,-10.0,32.195,2.927
0.129,0.748,0.609,-7.622,27.256,-1.28
0.144,0.745,0.586,-6.768,15.671,-5.366
0.124,0.743,0.53,-5.549,-2.134,-10.61
0.101,0.736,0.517,-5.793,-22.256,-14.939
0.047,0.727,0.513,-7.317,-38.476,-15.122
0.029,0.732,0.537,-7.195,-48.049,-14.695
0.033,0.719,0.581,-5.427,-51.89,-13.841
0.005,0.707,0.618,-3.476,-52.561,-12.317
-0.006,0.709,0.626,-1.159,-51.768,-11.159
0.004,0.727,0.612,-0.732,-45.854,-9.939
0.063,0.742,0.587,-2.378,-27.5,-6.463
0.213,0.751,0.59,-1.646,1.524,-1.098
0.347,0.728,0.633,2.134,24.329,6.159
0.285,0.656,0.657,4.268,29.756,10.61
0.125,0.661,0.628,4.573,23.78,7.256
0.046,0.728,0.644,7.805,13.598,0.488
0.036,0.738,0.68,11.22,-2.317,-4.817
0.015,0.713,0.674,11.22,-19.085,-7.134
0.005,0.736,0.636,10.61,-27.134,-8.354
0.068,0.759,0.618,12.195,-28.598,-8.354
0.099,0.748,0.615,11.098,-29.39,-3.78
0.076,0.757,0.597,8.963,-24.878,1.22
0.152,0.806,0.604,9.634,-15.976,3.72
0.209,0.793,0.641,9.878,-7.683,7.683
0.175,0.772,0.662,10.366,-2.866,8.841
0.134,0.779,0.653,12.012,-6.646,6.646
0.079,0.778,0.627,10.366,-16.646,5.732
0.036,0.793,0.604,8.476,-23.659,4.756
0.072,0.807,0.597,9.207,-27.622,4.695
0.113,0.776,0.602,8.293,-32.317,8.11
0.112,0.778,0.599,5.305,-37.012,13.049
0.125,0.805,0.584,3.476,-39.756,16.159
0.15,0.821,0.573,3.841,-43.171,15.122
0.195,0.809,0.548,3.171,-49.451,9.939
0.237,0.786,0.502,0.976,-56.28,3.171
0.268,0.771,0.488,-3.78,-62.927,1.159
0.248,0.762,0.507,-10.122,-61.707,2.256
0.279,0.776,0.53,-14.878,-44.024,1.951
0.396,0.766,0.572,-16.341,-14.756,1.829
0.504,0.747,0.627,-13.659,18.963,2.561
0.543,0.741,0.681,-11.951,47.561,6.098
0.431,0.748,0.739,-11.707,68.537,9.756
0.289,0.75,0.737,-10.854,85.915,13.841
0.205,0.754,0.724,-6.463,100.427,18.78
0.179,0.75,0.711,0.671,107.561,23.11
0.13,0.727,0.731,5.976,104.634,27.5
0.042,0.738,0.749,9.634,94.207,30.122
0.001,0.764,0.731,10.549,84.451,31.402
0.002,0.783,0.701,9.085,81.524,34.207
0.049,0.799,0.67,8.902,86.28,35.671
0.152,0.789,0.663,8.841,95.305,32.988
0.256,0.777,0.644,5.854,107.866,29.39
0.308,0.782,0.621,3.293,123.11,24.939
0.364,0.76,0.61,1.402,137.195,21.707
0.384,0.719,0.607,-1.341,145.305,21.89
0.361,0.713,0.541,0.244,139.817,20.854
0.311,0.713,0.454,2.317,117.134,18.11
0.172,0.716,0.43,0.915,80.732,15.0
0.032,0.73,0.431,-0.122,40.061,10.366
-0.021,0.752,0.456,1.402,3.78,7.012
-0.042,0.748,0.482,3.049,-28.415,5.0
-0.007,0.711,0.472,0.976,-57.134,2.439
-0.002,0.701,0.464,0.366,-81.829,1.707
-0.081,0.703,0.487,3.841,-105.549,2.683
-0.064,0.688,0.472,7.012,-121.829,2.622
0.045,0.674,0.488,8.659,-130.0,2.317
0.211,0.699,0.487,11.768,-132.256,2.927
0.317,0.712,0.499,14.878,-130.732,-0.061
0.279,0.719,0.579,14.939,-126.098,-2.378
0.203,0.74,0.592,13.537,-110.793,-2.561
0.283,0.751,0.569,13.11,-83.841,-1.829
0.395,0.748,0.544,11.585,-52.744,0.427
0.398,0.744,0.55,5.793,-19.939,4.207
0.359,0.767,0.585,2.012,14.695,8.72
0.333,0.772,0.611,3.415,45.305,9.512
