acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.5,0.494,0.356,46.585,76.646,43.963
0.503,0.499,0.327,27.744,89.634,38.659
0.483,0.487,0.352,12.195,95.854,35.793
0.438,0.452,0.405,0.427,89.695,33.293
0.399,0.409,0.471,-10.244,71.341,27.378
0.375,0.381,0.519,-20.854,45.549,17.683
0.354,0.38,0.566,-30.0,17.439,5.915
0.341,0.384,0.615,-36.098,-6.28,-6.463
0.354,0.376,0.688,-39.634,-20.854,-16.768
0.382,0.368,0.762,-39.939,-25.366,-24.329
0.41,0.373,0.833,-38.598,-20.488,-29.756
0.434,0.403,0.879,-35.427,-5.854,-33.171
0.447,0.458,0.92,-29.39,13.11,-35.061
0.481,0.523,0.931,-25.61,30.305,-37.805
0.533,0.578,0.872,-25.427,40.305,-40.366
0.519,0.616,0.856,-26.098,38.11,-39.451
0.411,0.61,0.847,-24.512,25.122,-35.305
0.316,0.584,0.833,-23.354,4.512,-30.0
0.316,0.579,0.802,-24.878,-13.902,-25.427
0.378,0.604,0.792,-25.732,-20.732,-22.256
0.468,0.64,0.825,-22.683,-17.256,-19.329
0.56,0.656,0.862,-18.232,-12.073,-15.488
0.619,0.668,0.887,-13.72,-14.878,-9.268
0.635,0.695,0.928,-7.073,-27.134,-1.341
0.604,0.722,0.953,-0.305,-46.159,4.451
0.586,0.738,0.909,3.11,-65.793,6.402
0.588,0.75,0.855,6.402,-78.78,8.78
0.576,0.739,0.841,14.39,-82.622,13.841
0.542,0.701,0.845,25.061,-77.683,19.695
0.507,0.667,0.827,34.146,-67.5,24.634
0.501,0.651,0.779,39.817,-55.427,29.268
0.503,0.638,0.712,44.085,-41.829,32.317
0.482,0.606,0.642,46.89,-28.232,34.085
0.444,0.558,0.565,47.134,-18.902,36.098
0.405,0.517,0.482,42.073,-14.329,37.134
0.381,0.486,0.398,33.902,-9.634,37.134
0.379,0.461,0.425,32.317,-2.805,36.037
0.384,0.414,0.438,28.293,4.39,32.744
0.418,0.402,0.376,19.39,8.476,26.89
0.462,0.421,0.358,8.537,13.598,18.537
0.456,0.435,0.337,0.976,21.098,10.061
0.403,0.419,0.348,-5.732,27.683,3.78
0.356,0.401,0.339,-13.841,31.28,-0.732
0.329,0.398,0.361,-21.402,35.183,-5.549
0.305,0.393,0.412,-26.098,41.524,-8.049
0.297,0.375,0.484,-28.171,47.439,-7.561
0.323,0.373,0.574,-29.695,51.402,-7.744
0.358,0.396,0.648,-30.671,50.976,-11.829
0.387,0.423,0.721,-28.963,49.939,-17.927
0.394,0.428,0.803,-25.732,46.037,-23.11
0.392,0.405,0.843,-22.012,38.415,-28.171
0.393,0.386,0.862,-18.841,29.878,-33.476
0.395,0.391,0.872,-16.037,23.902,-38.78
0.41,0.417,0.883,-12.988,22.805,-43.902
0.438,0.453,0.905,-10.854,24.024,-48.049
0.463,0.488,0.923,-9.207,23.902,-50.305
0.449,0.521,0.92,-8.415,18.963,-51.524
0.421,0.551,0.919,-8.171,8.659,-51.951
0.383,0.575,0.928,-7.927,-3.598,-51.463
0.361,0.583,0.895,-11.463,-14.634,-50.976
0.395,0.589,0.83,-17.561,-21.402,-49.451
0.438,0.602,0.81,-21.524,-21.402,-45.732
0.439,0.598,0.82,-23.049,-18.049,-40.61
0.442,0.602,0.863,-22.927,-15.244,-36.646
0.456,0.611,0.887,-23.232,-14.634,-33.232
0.479,0.628,0.896,-23.232,-18.537,-28.902
0.504,0.645,0.927,-19.634,-24.878,-25.061
0.506,0.643,0.95,-14.024,-34.817,-22.073
0.508,0.643,0.951,-8.902,-47.378,-19.817
0.513,0.665,0.933,-5.122,-60.366,-17.317
0.515,0.681,0.874,-2.195,-69.207,-13.598
0.526,0.688,0.826,2.683,-71.951,-8.537
0.536,0.69,0.819,9.39,-70.0,-3.537
0.531,0.696,0.82,16.341,-66.28,1.646
0.503,0.701,0.797,23.11,-62.317,7.5
0.457,0.695,0.762,30.183,-57.134,13.049
0.404,0.677,0.709,36.28,-51.22,19.39
0.386,0.655,0.641,39.573,-43.11,25.122
0.406,0.636,0.575,41.402,-30.244,27.744
0.429,0.618,0.524,41.768,-14.512,27.805
0.434,0.583,0.467,38.72,1.707,26.585
