acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.14,0.996,0.346,-1.829,-1.646,6.585
0.142,0.995,0.336,-1.768,-3.11,4.512
0.128,0.993,0.33,1.768,0.549,2.927
0.156,0.976,0.332,4.756,3.78,3.963
0.225,0.964,0.354,6.524,7.073,6.402
0.24,0.949,0.388,7.744,12.378,8.78
0.228,0.937,0.445,9.451,19.939,11.89
0.255,0.962,0.481,12.5,31.098,14.817
0.248,0.967,0.447,14.573,41.646,17.805
0.255,0.948,0.399,15.549,47.317,21.585
0.296,0.917,0.356,15.61,46.524,25.366
0.332,0.856,0.302,15.183,42.256,29.695
0.38,0.801,0.292,15.183,40.183,34.329
0.396,0.792,0.292,14.695,40.183,37.561
0.4,0.782,0.28,14.634,39.634,38.902
0.398,0.765,0.25,15.732,42.195,39.024
0.375,0.746,0.214,17.317,43.537,38.659
0.351,0.731,0.183,17.927,39.146,39.512
0.298,0.711,0.158,17.134,30.549,40.427
0.245,0.693,0.13,15.976,20.0,40.854
0.178,0.689,0.09,17.073,12.988,40.061
0.153,0.67,0.07,18.415,11.951,37.622
0.144,0.658,0.056,17.744,11.341,33.476
0.146,0.66,0.056,17.317,10.183,28.415
0.173,0.667,0.105,18.293,10.0,23.78
0.194,0.688,0.17,19.695,10.305,19.085
0.201,0.711,0.219,19.634,9.085,13.963
0.188,0.742,0.243,19.207,7.195,8.659
0.162,0.798,0.252,17.439,5.0,2.683
0.14,0.863,0.248,14.695,5.061,-2.805
0.188,0.923,0.22,12.195,8.963,-7.866
0.244,0.957,0.194,10.061,15.61,-12.683
0.221,1.04,0.205,7.866,19.817,-17.256
0.204,1.121,0.231,5.61,20.915,-22.134
0.255,1.188,0.271,3.354,19.207,-28.232
0.275,1.213,0.327,1.585,13.537,-35.0
0.273,1.205,0.387,1.707,6.951,-41.646
0.283,1.208,0.437,4.085,4.146,-46.585
0.276,1.209,0.481,8.354,6.829,-48.171
0.26,1.188,0.511,15.671,16.037,-47.927
0.26,1.161,0.531,21.28,29.512,-47.622
0.267,1.153,0.566,22.927,41.098,-45.671
0.247,1.141,0.597,22.744,52.256,-41.463
0.234,1.133,0.592,22.195,62.378,-35.976
0.216,1.118,0.566,21.585,66.341,-29.634
0.19,1.088,0.526,19.695,62.5,-22.317
0.168,1.074,0.487,15.61,50.366,-14.085
0.189,1.058,0.433,10.915,32.988,-5.244
0.158,1.044,0.369,8.11,15.854,3.78
0.129,1.021,0.333,6.402,3.11,12.012
0.155,0.983,0.297,4.451,-3.415,18.476
0.17,0.939,0.247,2.561,-4.573,23.659
0.133,0.903,0.227,0.427,-4.451,27.683
0.153,0.918,0.178,-1.89,-4.024,31.585
0.295,0.813,0.149,-4.451,-2.866,35.671
0.333,0.776,0.155,-4.939,2.317,40.061
0.304,0.778,0.136,-3.049,10.549,44.268
0.354,0.725,0.123,-1.707,14.634,48.293
0.396,0.701,0.104,-1.951,13.78,52.073
0.389,0.687,0.071,-2.5,8.78,54.451
0.376,0.667,0.059,-3.598,-2.378,54.512
0.323,0.667,0.028,-8.841,-16.159,52.988
0.275,0.688,-0.001,-10.427,-31.341,50.366
0.256,0.708,0.0,-7.805,-29.634,48.72
0.23,0.71,-0.01,-6.341,-25.61,45.549
0.203,0.717,-0.041,-1.951,-26.341,40.488
0.201,0.708,-0.067,4.146,-23.415,34.085
0.204,0.684,-0.057,8.598,-21.341,25.854
0.204,0.669,-0.028,11.585,-23.11,17.317
0.229,0.677,0.02,14.207,-24.756,9.146
0.261,0.698,0.059,16.22,-25.183,2.378
0.271,0.725,0.075,18.415,-24.634,-3.963
0.241,0.781,0.069,22.744,-20.122,-10.671
0.19,0.838,0.07,28.049,-10.122,-16.89
0.175,0.873,0.081,32.5,2.927,-22.683
0.172,0.886,0.134,35.671,15.488,-28.841
0.189,0.961,0.243,37.866,25.122,-34.939
0.25,1.088,0.352,38.659,30.061,-40.732
0.286,1.209,0.457,38.049,32.561,-45.671
0.287,1.279,0.55,38.537,38.11,-49.573
0.298,1.307,0.587,41.28,48.171,-53.354
0.291,1.284,0.564,44.39,57.683,-57.134
0.231,1.248,0.479,46.707,64.451,-59.268
0.192,1.219,0.353,48.78,68.841,-59.939
0.202,1.204,0.253,46.89,66.402,-58.598
0.206,1.202,0.199,40.793,54.878,-54.39
0.206,1.199,0.175,34.878,39.451,-49.329
0.207,1.196,0.169,28.841,25.061,-41.951
0.186,1.195,0.183,24.024,12.256,-33.049
0.164,1.188,0.217,21.951,1.341,-24.39
0.151,1.183,0.258,21.646,-7.073,-16.829
0.153,1.159,0.314,19.695,-13.354,-9.146
0.187,1.107,0.38,15.61,-16.585,-1.951
0.221,1.072,0.419,9.695,-16.22,4.512
0.25,1.029,0.418,1.402,-14.085,9.817
0.286,0.988,0.411,-9.451,-10.854,13.11
0.326,0.954,0.363,-21.646,-7.439,14.939
0.327,0.923,0.299,-33.476,-3.78,17.256
0.307,0.877,0.231,-40.671,2.927,21.585
0.292,0.859,0.18,-43.415,9.085,26.098
0.267,0.838,0.048,-44.878,9.329,30.61
0.264,0.762,0.003,-46.037,1.585,34.512
0.235,0.745,-0.012,-47.5,-14.329,36.585
0.167,0.754,-0.065,-48.537,-33.171,38.232
