acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.107,0.96,0.38,4.573,36.829,46.707
0.068,0.954,0.357,7.683,50.366,42.378
0.094,0.948,0.367,12.805,69.024,39.695
0.129,0.946,0.367,20.183,85.0,38.293
0.094,0.959,0.353,26.22,90.915,37.256
0.096,0.962,0.345,30.183,89.329,36.89
0.15,0.938,0.348,32.012,81.28,35.854
0.228,0.913,0.369,31.037,66.402,35.976
0.313,0.889,0.389,28.171,51.159,38.354
0.355,0.844,0.372,24.207,36.159,40.244
0.347,0.852,0.292,20.549,22.378,41.768
0.285,0.889,0.223,18.537,15.61,44.451
0.263,0.918,0.199,17.012,9.695,47.439
0.255,0.922,0.194,15.488,0.427,50.122
0.272,0.907,0.211,16.707,-7.5,52.866
0.303,0.896,0.229,20.732,-10.793,51.89
0.293,0.903,0.256,24.695,-7.866,46.89
0.271,0.911,0.271,26.768,-1.768,41.524
0.245,0.906,0.31,25.854,2.317,36.89
0.208,0.904,0.35,20.732,-2.012,33.415
0.21,0.898,0.37,11.585,-16.28,31.098
0.216,0.93,0.363,1.829,-30.549,29.573
0.211,0.945,0.346,-3.963,-35.427,29.329
0.191,0.912,0.294,-3.293,-28.902,29.451
0.193,0.878,0.251,0.854,-16.646,29.268
0.254,0.892,0.238,4.756,-4.573,29.329
0.22,0.872,0.217,8.72,7.866,29.268
0.229,0.84,0.208,12.683,20.0,27.927
0.267,0.81,0.212,16.402,29.207,25.427
0.263,0.79,0.228,18.415,34.817,22.988
0.277,0.783,0.194,18.293,31.829,20.305
0.29,0.771,0.11,16.159,22.683,18.171
0.271,0.76,0.043,12.012,12.195,18.354
0.259,0.744,0.037,9.878,4.024,19.573
0.278,0.74,0.066,8.354,-2.927,18.354
0.29,0.736,0.095,7.134,-8.598,17.866
0.294,0.717,0.134,8.72,-9.329,17.561
0.314,0.706,0.161,12.744,-7.134,15.061
0.288,0.716,0.153,16.098,-3.476,11.037
0.273,0.722,0.121,17.927,3.598,6.037
0.28,0.744,0.086,17.805,10.305,1.28
0.206,0.801,0.054,17.439,13.232,-1.402
0.121,0.881,0.037,17.5,15.549,-3.171
0.078,0.982,0.016,16.341,17.378,-5.793
-0.012,1.048,0.048,14.939,15.366,-9.329
0.009,1.055,0.098,15.366,10.61,-13.354
0.063,1.036,0.112,16.28,3.902,-18.476
0.091,1.039,0.166,18.78,0.0,-23.659
0.163,1.021,0.235,22.073,6.22,-27.683
0.262,0.989,0.273,23.72,23.78,-31.524
0.338,0.96,0.282,23.72,44.329,-34.207
0.356,0.953,0.274,23.476,60.915,-34.146
0.354,0.974,0.273,25.854,72.073,-32.012
0.336,1.013,0.288,30.0,82.744,-27.439
0.311,1.078,0.292,37.378,91.829,-20.732
0.277,1.122,0.283,45.305,92.561,-16.707
0.27,1.12,0.264,47.317,83.963,-14.939
0.221,1.138,0.239,44.451,70.244,-14.329
0.161,1.184,0.253,39.39,57.256,-14.634
0.161,1.217,0.294,34.268,46.341,-15.793
0.164,1.218,0.306,28.78,35.061,-16.585
0.141,1.181,0.304,23.598,25.244,-16.646
0.098,1.158,0.331,18.659,18.232,-16.341
0.066,1.164,0.37,15.244,14.756,-15.427
