acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.838,0.497,-0.011,92.256,44.939,112.378
0.832,0.51,-0.106,75.244,40.61,100.732
0.757,0.524,-0.174,59.451,27.195,88.11
0.707,0.53,-0.136,42.622,8.415,73.171
0.677,0.531,-0.076,25.61,-19.207,58.841
0.653,0.562,-0.074,10.976,-53.476,45.427
0.665,0.584,-0.084,-2.744,-82.805,32.744
0.687,0.597,-0.057,-16.89,-100.976,20.122
0.715,0.655,-0.036,-34.695,-110.183,5.793
0.788,0.68,-0.021,-53.049,-110.61,-6.402
0.891,0.674,-0.052,-70.671,-104.024,-13.72
0.988,0.64,-0.023,-87.134,-84.39,-20.122
1.033,0.584,0.017,-95.122,-55.732,-26.037
1.047,0.514,0.093,-98.11,-25.244,-31.524
0.951,0.493,0.296,-99.329,1.341,-38.902
0.777,0.565,0.439,-100.183,9.39,-51.098
0.719,0.652,0.257,-96.768,-9.512,-62.195
0.689,0.609,0.136,-95.244,-34.878,-55.366
0.476,0.55,0.282,-90.244,-62.317,-40.305
0.234,0.605,0.396,-80.793,-101.402,-38.354
0.166,0.689,0.435,-75.671,-151.768,-43.354
0.26,0.729,0.423,-73.659,-195.671,-41.159
0.426,0.792,0.441,-75.488,-213.476,-35.61
0.543,0.832,0.454,-78.232,-212.988,-31.341
0.659,0.789,0.413,-75.976,-209.39,-28.354
0.759,0.713,0.377,-73.293,-205.305,-25.793
0.862,0.67,0.386,-70.488,-193.78,-25.976
1.0,0.652,0.39,-65.122,-172.073,-27.5
1.09,0.667,0.424,-60.976,-145.366,-29.451
1.035,0.673,0.504,-55.122,-120.732,-34.146
0.89,0.64,0.524,-45.671,-109.451,-39.451
0.757,0.69,0.484,-37.561,-111.402,-43.476
0.69,0.729,0.445,-30.366,-115.61,-42.561
0.675,0.711,0.434,-22.378,-114.085,-39.817
0.673,0.716,0.375,-15.122,-107.866,-37.073
0.672,0.716,0.311,-10.915,-100.976,-34.756
0.658,0.712,0.253,-8.171,-94.329,-32.988
0.672,0.7,0.209,-8.72,-85.183,-30.854
0.683,0.684,0.186,-9.207,-68.841,-28.415
0.657,0.679,0.215,-10.122,-43.293,-25.0
0.595,0.676,0.267,-10.0,-8.537,-22.256
0.576,0.66,0.282,-6.524,33.171,-19.024
0.592,0.666,0.26,-5.427,78.537,-13.415
0.601,0.68,0.229,-8.902,118.537,-3.171
0.44,0.661,0.192,-14.024,139.451,11.524
0.098,0.638,0.113,-21.402,122.134,25.915
-0.208,0.614,0.057,-28.659,79.39,46.646
-0.428,0.564,-0.014,-31.098,35.793,73.72
-0.309,0.611,-0.027,-35.122,18.598,98.171
0.102,0.627,0.025,-39.695,33.659,119.756
0.544,0.602,0.082,-46.402,66.829,131.341
0.959,0.543,0.18,-59.451,96.402,126.402
1.192,0.505,0.312,-71.341,102.744,106.951
1.213,0.538,0.412,-74.085,84.817,78.841
1.264,0.563,0.485,-66.585,55.427,48.415
1.412,0.558,0.583,-54.512,25.427,18.11
1.456,0.588,0.661,-42.256,-4.085,-10.122
1.337,0.572,0.694,-28.72,-36.22,-33.11
1.132,0.527,0.693,-13.171,-71.646,-48.72
0.899,0.484,0.648,3.049,-107.439,-56.463
0.72,0.51,0.596,14.085,-131.89,-60.183
0.646,0.571,0.557,19.39,-134.573,-61.402
0.637,0.601,0.507,22.073,-117.195,-57.073
0.574,0.611,0.437,20.732,-83.902,-44.878
0.418,0.642,0.336,15.244,-43.11,-27.683
0.274,0.702,0.158,4.085,-8.78,-1.89
0.129,0.756,-0.05,-13.902,13.598,33.598
-0.048,0.789,-0.21,-36.951,29.329,72.378
-0.051,0.779,-0.267,-62.805,50.732,107.012
0.263,0.703,-0.189,-86.951,80.854,132.195
0.676,0.571,-0.04,-107.012,111.037,139.451
1.032,0.441,0.191,-122.927,126.951,123.902
1.269,0.32,0.463,-128.049,116.89,93.841
1.458,0.287,0.739,-119.451,80.549,58.72
1.462,0.278,0.951,-93.72,16.22,22.012
1.271,0.249,1.021,-54.695,-65.61,-15.549
1.264,0.23,1.018,-20.244,-136.159,-47.439
1.431,0.314,0.999,0.915,-166.951,-72.866
1.357,0.331,0.975,16.585,-161.89,-92.012
1.092,0.3,0.903,29.817,-139.329,-102.866
0.73,0.271,0.723,41.524,-112.805,-101.159
0.311,0.328,0.472,43.902,-93.476,-81.402
-0.205,0.411,0.258,33.354,-82.683,-47.378
-0.542,0.541,0.022,15.305,-68.049,-7.988
-0.47,0.672,-0.246,-9.146,-33.537,38.78
-0.207,0.747,-0.413,-39.756,24.695,87.256
0.058,0.709,-0.431,-74.695,93.902,125.061
0.345,0.618,-0.345,-104.329,154.268,145.427
0.785,0.515,-0.101,-125.427,195.488,145.122
1.195,0.409,0.323,-135.061,204.451,124.817
1.435,0.303,0.7,-127.866,175.854,89.39
1.615,0.222,0.929,-96.768,114.146,48.476
1.582,0.22,1.078,-43.659,26.463,0.427
1.337,0.256,1.09,1.646,-67.134,-49.695
1.453,0.283,1.035,33.11,-123.963,-85.427
1.569,0.346,0.881,53.78,-134.39,-109.512
1.353,0.37,0.777,67.073,-112.561,-125.854
1.052,0.336,0.769,78.476,-65.732,-132.256
0.698,0.306,0.61,86.159,-18.841,-122.073
0.161,0.314,0.34,76.524,-7.317,-85.976
-0.653,0.43,0.102,54.634,-35.427,-37.622
-1.021,0.653,-0.124,29.451,-46.341,8.476
-0.577,0.77,-0.304,4.085,-6.951,59.024
0.069,0.789,-0.349,-25.854,68.78,107.195
0.452,0.704,-0.273,-60.061,144.695,139.512
0.656,0.558,-0.085,-84.451,193.598,148.049
1.092,0.417,0.248,-98.537,214.512,133.293
1.572,0.271,0.628,-98.841,203.354,103.902
1.823,0.155,0.921,-79.39,153.537,65.976
1.797,0.146,1.093,-41.829,59.695,14.024
1.563,0.167,1.214,0.183,-53.659,-49.817
1.585,0.193,1.263,31.037,-132.988,-97.744
1.644,0.276,1.16,52.317,-160.366,-123.049
1.303,0.324,1.066,66.037,-153.537,-141.037
0.898,0.257,1.079,80.244,-120.549,-148.232
0.532,0.202,0.875,94.268,-74.878,-133.11
