acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.806,0.513,-0.082,49.878,35.61,-0.549
-1.704,0.658,-0.484,2.378,-19.634,85.915
-1.255,0.801,-0.604,-35.549,26.098,137.744
0.11,0.688,-0.548,-63.049,125.854,173.11
0.924,0.525,-0.379,-91.28,178.963,185.732
1.276,0.335,0.067,-108.171,168.171,161.646
1.77,0.23,0.547,-103.841,133.232,116.951
2.501,0.167,0.839,-72.866,86.159,64.085
2.515,0.163,0.961,-15.366,-4.878,-15.854
1.988,0.226,1.004,24.207,-111.829,-105.366
2.038,0.171,0.971,47.439,-162.683,-158.78
1.797,0.206,0.793,63.841,-150.915,-186.829
1.228,0.231,0.76,77.378,-102.866,-207.866
0.946,0.286,0.734,92.866,-39.695,-203.902
0.196,0.17,0.364,90.427,-33.354,-139.634
-1.542,0.27,-0.028,60.366,-103.902,-67.378
-2.005,0.792,-0.264,26.098,-93.476,-5.793
-0.963,0.935,-0.458,-3.232,12.012,72.378
-0.125,0.918,-0.557,-38.11,136.768,150.915
0.349,0.826,-0.446,-71.646,238.598,189.512
0.696,0.628,-0.317,-101.89,286.829,199.207
1.02,0.448,0.034,-123.537,280.732,189.939
1.573,0.339,0.627,-120.305,228.598,162.317
2.298,0.173,1.092,-75.854,129.634,122.866
2.028,0.073,1.205,-11.037,-27.683,38.293
1.853,0.083,1.314,27.744,-168.11,-76.89
2.683,0.024,1.404,56.646,-225.427,-148.354
2.532,0.099,1.185,77.927,-218.72,-194.39
1.6,0.121,1.008,87.988,-182.012,-229.573
0.912,0.08,1.02,99.573,-106.463,-246.22
0.645,0.09,0.726,112.439,-32.439,-218.415
-0.832,-0.143,0.15,92.988,-79.878,-117.439
-2.628,0.332,-0.188,37.988,-133.963,-29.451
-2.282,0.935,-0.502,1.22,-26.707,39.085
-0.67,0.899,-0.67,-31.524,144.451,130.244
0.13,0.849,-0.617,-75.305,278.293,205.61
0.366,0.77,-0.536,-113.659,350.732,233.049
0.634,0.521,-0.333,-144.268,366.524,229.39
1.173,0.312,0.256,-158.537,334.756,206.524
2.136,0.211,0.987,-134.756,249.573,184.085
2.39,0.058,1.366,-65.427,72.073,122.073
1.702,0.128,1.521,-9.451,-123.963,-9.756
2.596,0.032,1.696,32.317,-243.293,-111.707
3.173,0.014,1.581,63.171,-275.61,-167.5
2.299,0.11,1.312,82.988,-265.305,-216.463
1.263,0.076,1.24,91.463,-216.159,-247.561
0.648,0.019,1.287,109.939,-111.402,-255.244
0.521,0.023,0.846,138.415,-22.744,-215.122
-1.226,-0.396,0.081,121.159,-103.963,-94.878
-3.132,0.352,-0.305,58.049,-165.427,-18.293
-2.183,1.05,-0.599,20.183,-13.659,30.122
-0.28,0.881,-0.843,-23.232,177.256,126.402
0.23,0.798,-0.855,-77.012,307.317,200.0
0.223,0.684,-0.693,-120.305,372.317,216.585
0.549,0.466,-0.255,-151.829,377.439,201.402
1.164,0.289,0.473,-162.866,319.695,178.537
2.068,0.204,1.24,-127.683,209.573,163.415
1.936,0.09,1.535,-47.256,19.146,110.183
0.975,0.25,1.653,11.951,-155.427,-1.585
2.179,0.145,1.665,52.866,-225.854,-80.976
2.919,0.155,1.489,87.439,-215.366,-129.512
