acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.376,0.667,0.517,-19.878,-48.11,11.22
0.348,0.701,0.576,-13.72,-21.89,6.22
0.364,0.703,0.587,-8.963,7.439,4.329
0.309,0.694,0.602,-8.841,34.39,4.268
0.277,0.691,0.589,-10.854,51.646,1.159
0.366,0.72,0.588,-13.659,55.61,-2.012
0.324,0.744,0.602,-17.439,52.622,-1.037
0.166,0.792,0.59,-17.134,45.183,3.537
0.128,0.894,0.42,-13.232,36.646,7.439
0.265,0.921,0.486,-10.366,27.561,7.805
0.471,0.826,0.583,-10.427,15.549,2.805
0.51,0.713,0.645,-10.366,3.354,-6.22
0.476,0.712,0.598,-8.72,-5.427,-15.061
0.417,0.8,0.495,-6.524,-11.159,-18.293
0.431,0.887,0.38,-7.317,-17.073,-16.951
0.608,0.927,0.304,-7.012,-24.756,-13.232
0.831,0.88,0.263,-9.573,-45.366,-7.5
0.898,0.765,0.303,-17.012,-82.012,-4.573
0.837,0.674,0.405,-28.11,-118.354,-15.183
0.754,0.687,0.446,-31.037,-151.524,-23.659
0.566,0.778,0.389,-27.622,-188.171,-27.134
0.448,0.891,0.286,-24.634,-236.951,-31.28
0.51,0.898,0.199,-30.183,-291.22,-39.573
0.631,0.777,0.198,-45.366,-334.512,-52.622
0.787,0.658,0.229,-64.268,-352.866,-63.476
0.818,0.583,0.275,-74.878,-343.171,-67.5
0.658,0.569,0.247,-73.659,-312.317,-62.5
0.489,0.663,0.151,-65.244,-267.866,-47.805
0.427,0.792,0.065,-55.549,-235.671,-31.463
0.451,0.812,0.08,-50.976,-227.5,-25.244
0.402,0.747,0.177,-53.659,-230.366,-29.695
0.293,0.735,0.205,-57.866,-227.744,-38.659
0.321,0.83,0.172,-57.195,-208.659,-42.805
0.388,0.86,0.163,-51.524,-180.976,-41.646
0.404,0.799,0.174,-45.122,-154.634,-35.732
0.389,0.738,0.203,-43.171,-139.939,-23.78
0.431,0.696,0.252,-49.756,-138.476,-14.329
0.486,0.646,0.316,-62.378,-133.293,-7.195
0.495,0.599,0.368,-69.39,-115.366,1.524
0.475,0.564,0.412,-68.171,-82.073,13.354
0.513,0.524,0.541,-64.329,-45.366,27.988
0.69,0.458,0.636,-61.463,-13.902,34.573
0.765,0.45,0.674,-57.5,17.134,36.341
0.703,0.532,0.646,-52.012,45.549,39.085
0.702,0.632,0.645,-46.585,67.317,41.159
0.804,0.671,0.678,-41.159,83.963,42.988
0.857,0.653,0.666,-35.061,93.659,44.024
0.825,0.643,0.59,-29.634,92.195,43.537
0.726,0.653,0.443,-26.463,82.744,40.915
0.524,0.7,0.25,-23.841,79.451,36.829
0.242,0.826,0.021,-14.573,89.39,35.0
0.091,0.995,-0.203,-1.159,105.122,34.146
0.065,1.11,-0.309,10.793,114.451,29.695
