acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.019,0.905,0.629,63.171,135.061,-7.988
0.113,0.847,0.611,52.195,120.488,-8.232
0.227,0.829,0.523,37.378,106.707,-3.476
0.262,0.872,0.435,20.976,92.195,0.427
0.208,0.918,0.397,5.854,77.073,5.183
0.114,0.943,0.396,-10.0,62.683,11.524
0.027,0.936,0.431,-23.354,50.732,13.354
0.018,0.916,0.471,-33.293,36.463,11.159
0.043,0.887,0.541,-43.659,22.805,10.915
0.054,0.839,0.619,-51.646,13.171,9.756
0.04,0.775,0.672,-54.024,1.585,8.354
-0.048,0.729,0.662,-52.378,-15.549,10.549
-0.166,0.727,0.646,-52.622,-38.537,6.22
-0.255,0.737,0.632,-54.756,-75.244,-5.183
-0.318,0.729,0.556,-52.805,-117.927,-12.195
-0.179,0.737,0.617,-47.683,-149.268,-28.72
0.119,0.76,0.788,-52.439,-172.683,-51.463
0.157,0.714,0.894,-57.317,-192.378,-67.622
0.038,0.696,0.915,-64.573,-229.939,-85.976
-0.083,0.777,0.793,-76.402,-293.537,-110.0
-0.18,0.857,0.623,-92.439,-366.89,-132.134
-0.169,0.942,0.495,-121.402,-438.049,-149.451
-0.034,0.905,0.326,-135.305,-496.463,-156.89
0.177,0.815,0.228,-135.793,-536.22,-151.402
0.322,0.784,0.255,-140.61,-557.622,-142.317
0.345,0.765,0.384,-141.707,-559.085,-138.171
0.306,0.726,0.513,-132.378,-548.293,-133.841
0.294,0.638,0.585,-108.659,-519.268,-128.049
0.436,0.562,0.599,-78.963,-467.5,-120.183
0.625,0.56,0.578,-49.146,-392.622,-99.085
0.745,0.636,0.525,-32.805,-311.463,-68.841
0.863,0.745,0.464,-36.098,-241.524,-45.915
0.895,0.78,0.398,-46.524,-184.634,-32.134
0.779,0.78,0.338,-57.256,-146.646,-22.927
0.638,0.776,0.266,-64.695,-132.561,-19.573
0.569,0.735,0.27,-64.634,-126.707,-18.963
0.619,0.668,0.316,-61.341,-119.756,-15.915
0.655,0.663,0.337,-59.268,-115.0,-12.317
0.638,0.723,0.347,-59.573,-114.085,-12.317
0.658,0.727,0.374,-57.866,-108.902,-13.415
0.726,0.676,0.417,-55.122,-97.195,-11.22
0.756,0.649,0.455,-51.829,-82.988,-7.988
0.694,0.664,0.431,-50.549,-70.61,-8.232
0.643,0.643,0.423,-46.098,-65.793,-10.061
0.601,0.585,0.41,-37.195,-66.768,-8.963
0.547,0.571,0.381,-30.244,-71.159,-6.463
0.525,0.602,0.353,-25.976,-74.146,-7.012
0.559,0.622,0.32,-24.756,-69.634,-5.671
0.629,0.641,0.301,-27.195,-56.341,0.244
0.696,0.663,0.314,-32.439,-34.451,6.098
0.756,0.662,0.355,-38.902,-11.402,9.756
0.737,0.643,0.375,-43.963,1.098,12.134
0.643,0.612,0.375,-43.293,1.341,13.293
0.648,0.579,0.411,-37.927,0.061,13.171
0.733,0.57,0.456,-34.268,3.963,10.793
0.78,0.571,0.483,-32.195,9.207,9.817
0.749,0.562,0.5,-26.585,9.695,10.854
0.693,0.567,0.501,-23.354,6.341,10.183
0.646,0.596,0.48,-22.439,1.159,9.329
0.626,0.622,0.452,-22.866,-5.671,7.622
0.621,0.611,0.426,-21.646,-13.171,6.159
0.655,0.583,0.442,-21.037,-15.305,7.805
0.697,0.588,0.457,-22.012,-11.22,10.0
0.728,0.594,0.448,-23.049,-3.598,11.646
0.762,0.568,0.455,-23.293,5.122,14.939
0.78,0.543,0.424,-21.89,8.293,17.866
0.699,0.553,0.397,-19.268,7.988,16.707
0.669,0.539,0.392,-15.0,7.134,12.622
0.668,0.521,0.369,-12.622,7.378,11.098
0.618,0.534,0.377,-10.732,8.476,9.085
0.551,0.538,0.407,-5.61,8.963,4.573
0.524,0.525,0.386,0.854,8.049,2.195
0.52,0.539,0.346,5.61,8.11,2.195
0.531,0.576,0.292,7.988,10.976,2.988
0.572,0.591,0.288,7.744,20.549,4.207
0.594,0.571,0.298,7.744,39.024,6.829
0.619,0.554,0.266,10.854,57.256,9.878
0.644,0.558,0.26,10.427,68.963,11.768
0.574,0.583,0.289,8.963,69.451,10.305
0.486,0.59,0.305,13.78,58.598,5.793
0.493,0.56,0.331,24.085,51.524,3.598
0.616,0.522,0.364,35.061,55.183,5.122
0.705,0.533,0.397,42.5,71.22,7.134
0.723,0.564,0.464,42.561,93.171,8.476
0.621,0.595,0.506,36.768,115.183,12.012
0.489,0.612,0.477,37.195,131.829,14.817
0.575,0.585,0.394,42.073,142.622,19.451
0.688,0.564,0.437,43.171,160.061,27.561
0.689,0.579,0.508,43.293,179.573,33.78
0.649,0.623,0.49,43.659,187.683,36.098
0.553,0.646,0.46,44.634,184.39,36.707
0.479,0.673,0.472,42.866,171.585,36.829
0.414,0.701,0.517,37.378,158.598,36.768
0.39,0.704,0.59,30.427,152.561,37.683
0.419,0.691,0.692,22.378,154.817,40.976
0.443,0.67,0.771,22.012,166.524,44.207
0.616,0.587,0.858,33.902,189.024,48.171
0.815,0.504,0.993,47.256,225.305,57.622
0.789,0.493,1.008,59.085,262.683,68.963
0.678,0.519,0.916,71.951,292.378,78.293
0.617,0.558,0.851,80.854,319.634,88.659
0.542,0.624,0.826,73.415,330.244,93.78
0.262,0.738,0.721,47.744,284.085,84.268
-0.206,0.841,0.585,22.378,177.683,57.195
-0.375,0.832,0.563,8.293,63.354,24.207
-0.011,0.697,0.622,3.049,7.439,11.707
0.51,0.626,0.761,-3.78,29.756,18.598
0.665,0.648,0.842,-13.171,85.915,25.488
0.454,0.645,0.843,-15.671,127.134,25.549
0.215,0.619,0.858,-15.671,136.524,23.293
0.023,0.61,0.958,-23.963,116.402,12.866
-0.134,0.566,1.086,-31.646,51.89,-11.402
-0.292,0.495,1.09,-33.232,-50.915,-41.951
-0.359,0.43,1.067,-26.585,-160.488,-79.268
-0.126,0.354,0.945,-11.585,-245.671,-106.585
0.256,0.359,0.833,3.537,-284.268,-119.634
0.544,0.413,0.807,16.829,-276.951,-125.183
0.648,0.47,0.825,28.841,-235.976,-126.28
0.606,0.51,0.811,43.537,-182.805,-123.293
0.488,0.652,0.555,48.902,-150.122,-107.195
0.092,0.859,0.285,44.207,-140.976,-81.585
-0.32,1.048,0.054,29.634,-138.78,-57.561
-0.356,1.169,-0.321,-1.22,-138.293,-29.024
-0.181,1.227,-0.324,-46.646,-113.963,3.232
0.132,1.154,-0.059,-86.098,-67.805,38.537
0.512,0.971,0.086,-115.183,-23.72,70.915
0.762,0.864,0.319,-138.171,11.341,84.878
0.999,0.632,0.855,-126.402,43.354,73.841
1.153,0.172,1.341,-79.39,72.988,62.012
0.966,-0.103,1.568,-46.646,80.61,60.183
0.53,-0.089,1.587,-22.561,53.11,48.902
0.233,0.081,1.23,-3.902,0.915,25.305
0.274,0.283,0.927,-0.549,-36.402,1.341
0.565,0.371,0.952,-10.0,-49.451,-23.049
0.662,0.353,0.994,-19.695,-64.329,-47.744
0.472,0.346,0.95,-27.012,-109.085,-73.659
0.301,0.394,0.865,-25.671,-187.012,-107.805
0.296,0.462,0.757,-11.89,-263.72,-145.671
0.476,0.553,0.628,6.646,-304.756,-172.622
0.673,0.662,0.543,16.098,-303.415,-178.963
0.678,0.801,0.468,11.524,-272.683,-164.39
0.436,0.905,0.482,-2.683,-222.5,-133.659
0.173,0.854,0.502,-9.573,-158.963,-90.732
0.075,0.719,0.469,-9.756,-87.195,-42.073
0.198,0.648,0.528,-4.817,-22.683,-2.866
0.396,0.654,0.589,-1.89,21.707,17.866
0.42,0.676,0.568,-1.951,38.232,24.817
0.417,0.637,0.528,4.512,32.195,24.085
0.573,0.58,0.52,13.537,24.573,22.195
0.735,0.587,0.521,12.805,25.915,21.28
0.721,0.639,0.514,5.854,27.378,17.866
0.605,0.628,0.505,2.927,20.366,15.122
0.52,0.585,0.501,3.598,9.39,15.0
0.511,0.579,0.546,4.329,3.659,15.732
0.504,0.603,0.645,1.768,5.61,17.561
0.497,0.598,0.719,2.439,6.951,18.963
0.544,0.554,0.751,8.415,10.305,19.878
0.628,0.516,0.768,16.646,20.671,23.902
0.662,0.537,0.77,21.098,37.256,29.024
0.665,0.582,0.72,24.024,52.988,32.439
0.673,0.594,0.667,28.11,71.28,37.927
0.723,0.593,0.669,32.805,99.329,47.256
0.803,0.597,0.704,33.902,139.085,57.988
0.837,0.581,0.763,34.939,184.512,70.61
0.787,0.56,0.772,37.378,229.939,84.817
0.69,0.572,0.685,39.512,264.207,98.902
0.566,0.608,0.628,41.646,289.634,107.256
0.484,0.606,0.595,43.232,305.0,108.78
0.427,0.565,0.58,47.256,307.5,107.5
0.386,0.513,0.571,54.085,298.902,105.0
0.401,0.49,0.578,61.89,287.439,101.037
0.478,0.502,0.616,69.634,283.049,98.537
0.541,0.542,0.615,75.183,283.293,98.659
0.505,0.571,0.609,82.256,288.78,94.817
0.481,0.594,0.638,85.488,304.817,94.39
0.425,0.649,0.59,79.512,313.537,102.622
0.285,0.7,0.495,74.268,297.622,104.573
0.123,0.767,0.424,64.146,265.427,96.585
0.03,0.818,0.41,51.585,222.012,82.378
0.018,0.825,0.429,42.073,179.634,68.415
