acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.043,0.67,0.547,-38.902,60.732,2.561
0.002,0.691,0.526,-36.28,76.524,2.256
-0.003,0.697,0.542,-32.134,95.854,5.976
-0.041,0.702,0.562,-29.268,112.134,8.78
-0.118,0.708,0.6,-27.195,117.744,7.195
-0.234,0.702,0.626,-24.207,113.171,5.671
-0.319,0.704,0.616,-20.915,105.122,4.085
-0.334,0.716,0.604,-18.659,104.878,3.415
-0.283,0.732,0.594,-20.305,110.0,3.841
-0.244,0.751,0.551,-24.268,109.146,1.402
-0.349,0.745,0.483,-25.854,94.695,-0.427
-0.448,0.75,0.45,-26.159,65.0,-3.354
-0.436,0.781,0.463,-27.439,29.634,-9.329
-0.374,0.788,0.513,-28.72,-2.866,-14.512
-0.333,0.757,0.541,-32.378,-40.488,-16.89
-0.387,0.708,0.508,-32.073,-94.146,-19.817
-0.493,0.667,0.51,-23.11,-161.829,-20.671
-0.586,0.655,0.501,-10.183,-250.366,-18.232
-0.703,0.672,0.464,1.951,-354.329,-15.183
-0.771,0.705,0.413,8.72,-462.805,-17.012
-0.705,0.732,0.373,10.427,-566.403,-26.22
-0.495,0.742,0.303,8.415,-651.159,-36.159
-0.208,0.745,0.208,4.878,-706.524,-40.244
0.128,0.741,0.148,3.049,-732.561,-35.61
0.441,0.778,0.067,-2.195,-724.146,-22.622
0.713,0.856,0.09,-17.256,-682.256,-5.366
0.898,0.898,0.193,-34.573,-619.268,5.366
0.936,0.854,0.297,-42.866,-547.988,5.0
0.918,0.774,0.427,-40.61,-478.72,-3.232
0.976,0.726,0.554,-37.378,-413.354,-14.024
1.022,0.682,0.602,-34.573,-342.805,-20.366
0.968,0.633,0.639,-27.073,-268.171,-19.878
0.835,0.62,0.612,-15.671,-203.049,-22.744
0.683,0.651,0.512,-3.78,-156.524,-28.171
0.554,0.721,0.392,-1.098,-124.756,-26.098
0.495,0.791,0.302,-6.585,-98.963,-18.902
0.493,0.826,0.253,-12.439,-69.878,-14.329
0.48,0.799,0.268,-12.927,-24.329,-7.256
0.475,0.744,0.299,-4.512,37.5,5.061
0.52,0.733,0.301,5.61,106.707,15.915
0.542,0.757,0.322,15.549,180.488,24.39
0.533,0.771,0.321,25.366,260.061,30.549
0.556,0.794,0.348,26.098,345.488,31.28
0.621,0.802,0.387,21.524,434.207,27.073
0.699,0.795,0.411,20.122,510.366,23.354
0.724,0.792,0.394,16.646,558.537,19.329
0.658,0.775,0.382,11.22,574.268,17.073
0.543,0.752,0.388,5.183,556.281,17.561
0.385,0.73,0.413,1.098,513.293,16.951
0.229,0.71,0.448,-1.768,454.268,15.061
0.093,0.702,0.497,-1.402,387.561,12.134
-0.019,0.688,0.558,0.305,318.415,7.927
-0.134,0.665,0.603,4.207,248.11,4.329
-0.23,0.649,0.637,11.037,175.061,2.622
-0.268,0.662,0.666,15.549,98.049,1.037
-0.27,0.705,0.646,14.756,17.988,-0.854
-0.254,0.748,0.549,11.037,-66.524,-1.341
-0.254,0.76,0.449,9.024,-156.524,0.366
-0.293,0.747,0.384,11.829,-244.817,3.659
-0.341,0.75,0.357,13.902,-326.646,3.841
-0.316,0.792,0.357,11.28,-398.232,0.366
-0.198,0.839,0.356,5.183,-457.073,-1.341
-0.015,0.868,0.345,-5.488,-497.866,1.037
0.231,0.868,0.356,-19.329,-516.585,5.0
0.466,0.84,0.391,-34.878,-512.561,3.354
0.643,0.774,0.418,-42.134,-484.573,-5.732
