acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.193,0.497,0.78,-58.171,15.061,-0.183
0.22,0.519,0.838,-52.988,19.756,-7.927
0.247,0.535,0.822,-48.232,18.232,-14.329
0.174,0.538,0.738,-42.134,8.415,-18.171
0.051,0.557,0.668,-35.244,-9.024,-19.634
-0.046,0.599,0.606,-30.549,-33.049,-20.122
-0.079,0.655,0.541,-30.976,-63.78,-21.951
-0.084,0.68,0.56,-29.939,-93.963,-24.024
-0.061,0.67,0.669,-26.037,-121.768,-22.866
-0.045,0.639,0.765,-21.707,-159.878,-20.0
-0.137,0.59,0.758,-12.439,-207.195,-17.256
-0.249,0.573,0.705,-1.28,-254.695,-12.561
-0.214,0.636,0.628,2.073,-302.012,-9.024
-0.051,0.736,0.542,-3.659,-348.842,-10.854
0.071,0.79,0.478,-7.927,-385.366,-15.0
0.151,0.777,0.481,-10.0,-413.659,-15.488
0.244,0.761,0.462,-11.89,-439.695,-16.89
0.315,0.754,0.484,-14.939,-455.793,-19.512
0.371,0.726,0.515,-17.744,-459.573,-20.183
0.493,0.691,0.49,-20.0,-452.134,-23.902
0.655,0.665,0.443,-20.915,-418.781,-27.317
0.799,0.649,0.432,-15.976,-360.793,-26.951
0.854,0.655,0.435,-8.476,-295.061,-28.049
0.782,0.664,0.399,-0.549,-241.159,-27.988
0.607,0.693,0.321,-0.061,-201.281,-25.854
0.46,0.749,0.278,-2.805,-173.72,-24.512
0.398,0.783,0.234,-9.695,-155.0,-19.939
0.382,0.796,0.184,-15.915,-132.439,-14.878
0.418,0.785,0.18,-19.024,-96.402,-8.78
0.497,0.76,0.189,-16.585,-49.207,-3.171
0.533,0.747,0.194,-10.366,1.22,2.561
0.502,0.763,0.189,-5.976,50.915,9.573
0.447,0.787,0.207,-6.037,106.707,19.512
0.478,0.795,0.279,-7.744,174.451,30.976
0.529,0.775,0.37,-5.0,253.11,38.232
0.553,0.74,0.454,1.707,336.281,44.085
0.564,0.731,0.536,8.537,418.11,46.707
0.563,0.721,0.588,15.854,500.061,45.427
0.578,0.703,0.604,19.573,573.171,43.963
0.603,0.707,0.625,21.463,628.11,39.817
0.607,0.718,0.659,18.72,657.805,32.317
0.531,0.69,0.659,11.89,650.427,25.366
0.378,0.636,0.662,9.085,598.659,20.793
0.206,0.589,0.654,11.951,511.098,18.415
0.047,0.574,0.604,16.524,413.781,16.768
-0.057,0.606,0.555,18.293,326.281,14.085
-0.158,0.668,0.505,17.927,249.695,10.244
-0.267,0.73,0.491,16.341,179.939,6.524
-0.312,0.778,0.522,13.963,113.476,2.866
-0.264,0.791,0.57,11.341,55.061,-1.341
-0.164,0.742,0.612,12.256,12.683,-3.293
-0.084,0.671,0.66,17.561,-16.159,-2.683
-0.041,0.621,0.668,22.683,-46.463,0.122
-0.062,0.636,0.623,23.537,-97.866,3.293
-0.184,0.679,0.566,25.854,-174.329,5.915
-0.343,0.712,0.49,28.354,-270.854,8.049
-0.458,0.766,0.391,24.939,-368.049,7.256
-0.46,0.847,0.373,12.683,-453.354,1.585
-0.324,0.897,0.375,-1.707,-524.634,-9.085
-0.076,0.894,0.317,-14.512,-576.646,-19.39
0.208,0.858,0.289,-25.061,-603.659,-24.512
0.446,0.805,0.321,-31.829,-599.146,-23.293
0.639,0.757,0.394,-29.878,-573.598,-24.024
0.749,0.742,0.403,-24.39,-525.488,-30.305
0.875,0.767,0.441,-19.634,-456.098,-31.402
1.033,0.812,0.475,-16.341,-375.366,-28.171
1.079,0.831,0.51,-11.951,-294.817,-25.305
0.95,0.812,0.506,-3.72,-232.683,-24.39
0.709,0.824,0.433,0.61,-194.573,-24.146
0.532,0.867,0.35,-3.841,-168.842,-19.024
0.485,0.887,0.296,-12.561,-146.159,-11.524
0.48,0.85,0.263,-15.244,-119.939,-6.829
