acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.288,0.622,0.689,-57.927,95.244,14.085
0.243,0.624,0.654,-53.354,105.915,13.171
0.173,0.622,0.659,-46.22,113.842,11.89
0.101,0.636,0.692,-40.61,117.988,9.878
0.023,0.652,0.686,-39.939,114.695,7.134
-0.1,0.646,0.674,-42.073,99.756,1.037
-0.221,0.622,0.705,-40.122,70.427,-7.195
-0.283,0.611,0.71,-35.488,35.854,-14.817
-0.247,0.625,0.69,-32.195,10.183,-20.305
-0.1,0.658,0.658,-31.098,-11.951,-22.439
-0.033,0.672,0.634,-28.415,-37.317,-22.256
-0.112,0.66,0.619,-23.171,-66.951,-17.866
-0.193,0.66,0.66,-17.195,-99.512,-11.28
-0.214,0.671,0.7,-15.305,-139.085,-7.012
-0.198,0.681,0.7,-11.89,-192.744,-6.646
-0.2,0.667,0.692,-3.171,-265.244,-7.561
-0.244,0.654,0.649,7.561,-349.207,-8.354
-0.26,0.663,0.613,16.585,-422.439,-8.415
-0.164,0.696,0.554,19.085,-469.512,-6.159
0.049,0.729,0.471,16.402,-489.512,-2.378
0.299,0.758,0.41,12.927,-490.366,-0.305
0.431,0.756,0.386,10.244,-482.683,-2.683
0.413,0.724,0.396,6.463,-467.866,-8.049
0.459,0.715,0.37,-0.793,-441.89,-9.878
0.594,0.714,0.351,-4.817,-397.134,-7.012
0.716,0.723,0.334,-5.732,-342.5,-5.305
0.708,0.735,0.314,-6.22,-284.451,-9.207
0.625,0.738,0.309,-6.524,-231.89,-12.256
0.546,0.743,0.265,-7.927,-190.854,-12.683
0.483,0.771,0.238,-13.354,-162.5,-10.854
0.438,0.775,0.193,-17.012,-142.683,-10.427
0.389,0.767,0.174,-20.183,-118.598,-8.11
0.412,0.753,0.197,-22.622,-83.232,-1.524
0.486,0.734,0.235,-21.341,-38.049,4.817
0.516,0.724,0.285,-17.622,12.256,10.366
0.516,0.735,0.333,-16.89,67.5,17.256
0.49,0.741,0.388,-17.073,128.72,24.756
0.476,0.718,0.455,-11.402,195.488,31.159
0.519,0.702,0.503,-3.415,267.927,34.085
0.555,0.699,0.568,2.683,345.61,34.756
0.581,0.699,0.643,5.61,424.512,33.354
0.595,0.678,0.704,8.537,501.037,29.329
0.607,0.66,0.742,8.354,569.085,22.561
0.608,0.632,0.759,12.378,618.903,15.427
0.602,0.626,0.749,16.28,636.768,9.756
0.521,0.627,0.688,14.451,613.415,4.817
0.335,0.61,0.627,12.927,549.024,1.768
0.111,0.596,0.594,16.707,461.402,-0.183
-0.066,0.619,0.61,20.671,377.561,-1.646
-0.153,0.672,0.581,18.537,301.281,-2.134
-0.237,0.73,0.521,14.329,232.988,-1.22
-0.31,0.77,0.478,10.305,169.756,1.463
-0.338,0.789,0.477,8.232,110.915,2.805
-0.306,0.795,0.501,6.829,61.768,1.951
-0.202,0.789,0.587,5.0,21.89,-2.561
-0.115,0.76,0.657,1.524,-11.829,-6.402
-0.126,0.697,0.653,-0.122,-43.78,-1.768
-0.167,0.67,0.6,-0.305,-83.232,3.72
-0.208,0.706,0.522,-0.976,-140.366,3.476
-0.318,0.731,0.472,3.354,-220.671,5.549
-0.415,0.748,0.417,12.073,-321.281,9.817
-0.406,0.804,0.351,14.634,-437.439,10.61
-0.323,0.872,0.302,5.366,-555.488,2.561
-0.18,0.894,0.274,-9.817,-652.317,-11.402
0.076,0.874,0.245,-25.488,-715.61,-26.22
0.388,0.816,0.194,-36.28,-734.146,-38.78
0.711,0.738,0.236,-41.463,-696.22,-45.793
1.101,0.713,0.362,-44.634,-603.72,-50.0
1.432,0.712,0.47,-38.841,-475.915,-52.378
1.469,0.693,0.568,-21.951,-341.159,-44.451
1.174,0.664,0.614,3.232,-238.963,-30.488
0.732,0.7,0.525,21.829,-182.805,-24.146
0.378,0.823,0.414,18.049,-154.573,-17.5
0.262,0.942,0.351,-2.988,-131.951,-8.415
0.313,0.935,0.325,-18.78,-100.305,-2.012
0.36,0.81,0.349,-16.037,-57.012,3.049
0.371,0.708,0.37,-5.732,-14.756,10.488
0.35,0.688,0.36,2.561,21.463,19.634
0.341,0.707,0.346,7.866,60.0,31.098
0.397,0.723,0.363,10.732,108.049,41.646
0.467,0.721,0.411,14.878,162.317,46.28
0.494,0.696,0.394,21.585,229.634,49.207
0.594,0.706,0.419,20.366,314.939,53.902
0.741,0.721,0.47,11.463,410.061,51.951
0.864,0.692,0.478,5.549,505.549,42.5
0.951,0.655,0.471,8.476,589.329,27.683
0.955,0.618,0.462,13.902,647.927,9.817
0.857,0.585,0.441,14.451,669.756,-4.451
0.656,0.553,0.429,8.11,645.488,-8.537
0.39,0.531,0.423,3.78,581.463,-9.939
0.14,0.523,0.46,7.927,505.549,-14.939
-0.035,0.554,0.492,10.793,437.805,-18.902
-0.154,0.625,0.484,9.085,376.89,-16.646
-0.26,0.708,0.466,3.598,321.159,-11.951
-0.367,0.74,0.5,-2.317,274.939,-6.22
-0.403,0.744,0.513,-7.744,230.549,-2.5
-0.406,0.746,0.542,-10.488,182.683,-5.732
-0.42,0.714,0.564,-9.878,134.024,-6.098
-0.449,0.674,0.593,-6.524,84.939,-0.549
-0.479,0.676,0.6,-2.866,36.159,4.634
-0.51,0.713,0.597,-1.22,-10.427,6.951
-0.495,0.761,0.584,-2.134,-69.085,9.085
-0.483,0.787,0.544,-0.244,-151.037,13.293
-0.549,0.767,0.529,8.232,-249.756,21.951
-0.618,0.745,0.514,17.805,-371.402,29.39
-0.65,0.767,0.477,22.744,-510.488,24.756
-0.616,0.835,0.386,15.671,-649.634,8.293
-0.423,0.903,0.228,-0.061,-773.781,-12.378
-0.065,0.896,0.043,-14.695,-859.695,-29.878
0.382,0.834,-0.059,-26.646,-884.085,-37.378
0.876,0.798,-0.016,-38.537,-840.488,-37.927
1.329,0.799,0.124,-50.061,-735.976,-41.768
1.572,0.768,0.31,-48.293,-593.72,-42.988
1.524,0.685,0.51,-30.976,-446.89,-34.695
1.255,0.619,0.603,-10.122,-322.378,-29.939
0.924,0.623,0.601,2.622,-234.207,-27.683
0.66,0.695,0.505,6.159,-180.244,-24.878
