acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.062,0.671,0.726,-15.122,65.61,-27.256
-0.019,0.644,0.688,-12.256,20.427,-29.39
-0.131,0.638,0.625,-8.841,-47.988,-26.829
-0.254,0.665,0.483,1.037,-142.988,-20.427
-0.433,0.687,0.403,11.768,-239.512,-10.427
-0.506,0.731,0.414,10.0,-320.854,-4.146
-0.442,0.744,0.463,5.305,-385.366,-9.573
-0.287,0.71,0.461,5.244,-437.866,-22.073
-0.047,0.693,0.419,7.317,-476.342,-30.427
0.238,0.721,0.36,4.146,-495.549,-29.573
0.43,0.753,0.33,-2.378,-497.561,-23.232
0.446,0.748,0.3,-5.122,-477.866,-16.646
0.399,0.726,0.346,-5.732,-441.402,-11.646
0.454,0.71,0.42,-4.817,-408.11,-11.768
0.535,0.687,0.409,-0.976,-379.39,-14.695
0.57,0.682,0.382,1.585,-346.159,-14.207
0.613,0.715,0.374,0.488,-305.976,-12.012
0.682,0.756,0.375,-2.866,-263.415,-12.805
0.681,0.771,0.348,-6.951,-220.976,-14.512
0.636,0.761,0.29,-11.28,-172.561,-12.134
0.676,0.758,0.274,-13.476,-116.402,-6.037
0.742,0.762,0.294,-13.537,-52.927,-1.768
0.723,0.745,0.301,-10.915,12.134,1.707
0.628,0.733,0.303,-8.963,72.683,7.378
0.551,0.742,0.327,-7.134,136.037,16.89
0.554,0.775,0.38,-5.488,208.903,27.744
0.607,0.782,0.438,-1.89,285.854,31.585
0.59,0.751,0.488,3.659,361.585,32.317
0.528,0.724,0.505,7.5,431.707,32.378
0.522,0.721,0.526,7.927,497.195,32.317
0.576,0.735,0.562,6.22,554.085,30.61
0.616,0.73,0.568,5.488,598.537,26.402
0.605,0.709,0.546,4.39,620.854,20.793
0.529,0.684,0.53,1.646,611.159,13.171
0.358,0.657,0.586,1.951,569.39,6.22
0.166,0.63,0.652,2.073,503.293,4.207
0.019,0.615,0.666,1.585,424.634,4.146
-0.069,0.625,0.672,3.598,340.549,1.951
-0.164,0.641,0.67,9.39,253.11,-2.317
-0.245,0.664,0.65,15.915,166.524,-5.732
-0.259,0.703,0.64,20.183,85.793,-5.915
-0.191,0.751,0.636,20.244,12.683,-6.28
