acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.668,0.36,0.819,-50.976,87.256,4.573
0.712,0.34,0.825,-44.085,93.598,-9.695
0.632,0.328,0.851,-33.415,93.598,-19.512
0.497,0.313,0.876,-21.22,85.0,-24.878
0.299,0.305,0.892,-11.707,66.585,-28.537
0.072,0.328,0.889,-7.988,39.329,-32.317
-0.108,0.392,0.859,-8.415,7.378,-33.78
-0.193,0.46,0.832,-11.829,-24.939,-32.683
-0.213,0.518,0.808,-15.793,-57.256,-30.915
-0.208,0.564,0.762,-17.073,-92.744,-28.476
-0.183,0.568,0.717,-13.841,-130.488,-25.732
-0.183,0.535,0.699,-12.5,-169.695,-24.573
-0.176,0.53,0.692,-14.146,-206.159,-24.268
-0.113,0.539,0.729,-14.39,-236.22,-25.854
0.016,0.536,0.775,-13.415,-260.244,-29.207
0.129,0.521,0.797,-14.756,-280.61,-31.524
0.2,0.517,0.796,-19.817,-299.573,-33.963
0.267,0.543,0.779,-23.963,-318.415,-38.72
0.3,0.562,0.752,-24.512,-338.11,-43.902
0.291,0.542,0.712,-24.39,-363.537,-46.341
0.282,0.532,0.683,-22.805,-399.024,-47.927
0.283,0.539,0.643,-19.573,-440.488,-51.585
0.284,0.541,0.556,-17.927,-474.512,-56.585
0.326,0.532,0.499,-17.927,-481.281,-58.232
0.459,0.526,0.463,-23.476,-451.585,-53.598
0.69,0.534,0.474,-32.195,-394.756,-45.976
0.951,0.548,0.508,-40.549,-325.671,-42.256
1.042,0.542,0.543,-42.5,-254.268,-44.268
0.982,0.511,0.54,-40.976,-188.598,-49.634
0.993,0.512,0.55,-38.902,-134.939,-57.378
0.992,0.538,0.535,-37.866,-103.293,-61.768
0.855,0.546,0.461,-39.329,-92.378,-57.561
0.637,0.541,0.402,-39.695,-93.415,-49.695
0.497,0.52,0.377,-38.354,-96.28,-39.146
0.453,0.5,0.356,-38.476,-92.439,-27.744
0.479,0.519,0.347,-39.573,-78.598,-19.756
0.523,0.553,0.348,-40.244,-56.585,-15.732
0.552,0.591,0.345,-41.951,-29.756,-11.098
0.529,0.63,0.299,-44.878,-1.463,-2.439
0.45,0.653,0.213,-49.451,24.695,11.28
0.368,0.671,0.119,-56.829,47.866,28.841
0.292,0.683,0.054,-65.488,69.39,47.683
0.245,0.681,0.026,-74.817,91.037,67.012
0.224,0.653,0.032,-83.72,113.354,83.963
0.246,0.608,0.1,-91.585,133.415,94.939
0.307,0.549,0.198,-97.622,145.305,100.671
0.369,0.472,0.336,-99.695,146.829,101.037
0.456,0.375,0.479,-98.293,137.012,95.976
0.612,0.299,0.654,-93.476,116.281,85.732
0.79,0.24,0.845,-83.72,83.598,71.28
0.927,0.199,1.026,-69.39,42.866,54.146
1.008,0.182,1.128,-52.195,3.11,36.951
1.076,0.18,1.173,-32.622,-28.72,18.78
1.164,0.196,1.181,-12.927,-50.488,-0.671
1.25,0.237,1.153,4.756,-63.598,-19.817
1.298,0.291,1.111,19.024,-70.366,-37.683
1.298,0.337,1.037,30.793,-74.146,-54.39
1.231,0.369,0.949,41.28,-76.585,-68.354
1.087,0.39,0.85,50.488,-76.89,-79.085
0.949,0.399,0.75,58.415,-74.207,-86.646
0.828,0.404,0.675,66.463,-69.939,-90.854
0.684,0.4,0.606,73.232,-64.085,-89.329
0.512,0.411,0.518,76.159,-57.378,-79.939
0.319,0.458,0.398,72.744,-49.39,-63.354
0.144,0.542,0.236,62.805,-36.768,-39.878
-0.006,0.632,0.081,48.537,-14.756,-10.976
-0.079,0.69,-0.04,31.829,16.768,19.207
-0.083,0.718,-0.142,11.707,52.134,48.171
-0.079,0.738,-0.232,-11.463,86.463,73.902
-0.043,0.725,-0.261,-35.0,116.037,93.415
0.062,0.669,-0.229,-58.049,133.659,105.061
0.216,0.591,-0.105,-76.037,134.085,107.5
0.41,0.479,0.088,-85.793,125.549,103.963
0.609,0.336,0.28,-86.951,109.878,90.976
0.865,0.172,0.639,-83.72,78.841,72.195
1.121,0.074,1.037,-75.915,28.476,49.268
1.195,0.04,1.292,-58.78,-27.439,24.39
1.25,0.003,1.39,-35.0,-69.024,4.39
1.344,0.008,1.371,-10.061,-90.427,-16.22
1.415,0.069,1.332,12.195,-95.61,-40.549
1.404,0.147,1.29,31.22,-90.305,-64.329
1.31,0.22,1.221,47.683,-82.317,-84.817
1.17,0.271,1.142,61.524,-76.585,-100.976
0.966,0.307,1.026,73.232,-69.268,-110.549
0.774,0.333,0.875,82.927,-57.317,-110.61
0.586,0.368,0.672,86.341,-45.549,-100.183
0.352,0.451,0.426,80.61,-36.402,-78.659
