acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.414,0.551,0.681,-37.317,23.354,4.512
0.399,0.63,0.669,-42.256,26.951,-0.976
0.44,0.667,0.7,-42.744,34.085,1.707
0.464,0.645,0.717,-39.024,32.805,4.817
0.354,0.607,0.726,-35.488,26.22,2.317
0.164,0.606,0.703,-35.671,19.817,0.183
-0.012,0.638,0.676,-37.683,9.207,7.622
-0.061,0.648,0.653,-39.817,-5.488,17.5
0.002,0.643,0.633,-41.707,-12.256,17.134
0.073,0.625,0.622,-39.817,-12.683,12.256
0.148,0.586,0.654,-36.341,-19.634,10.244
0.216,0.556,0.673,-33.78,-29.451,7.683
0.201,0.554,0.65,-32.744,-40.549,5.915
0.15,0.583,0.569,-32.683,-56.829,4.756
0.137,0.628,0.566,-32.378,-80.305,1.707
0.109,0.649,0.656,-33.049,-96.22,1.037
0.131,0.625,0.626,-35.61,-98.476,0.488
0.253,0.578,0.592,-31.951,-93.78,-2.5
0.374,0.508,0.672,-25.244,-90.488,-7.439
0.469,0.461,0.649,-21.585,-104.939,-18.232
0.484,0.464,0.579,-19.817,-138.963,-32.378
0.371,0.495,0.517,-18.963,-181.463,-42.622
0.251,0.553,0.439,-20.671,-235.488,-45.427
0.248,0.608,0.435,-25.671,-286.22,-41.951
0.283,0.636,0.51,-30.183,-321.524,-37.5
0.293,0.627,0.595,-32.317,-344.756,-34.085
0.361,0.555,0.611,-31.585,-345.61,-32.683
0.501,0.469,0.54,-29.512,-299.207,-30.427
0.68,0.433,0.504,-26.524,-194.085,-19.024
0.873,0.438,0.62,-24.207,-48.78,0.366
1.003,0.483,0.8,-18.293,102.561,23.841
0.959,0.548,0.907,-8.537,208.842,51.341
0.818,0.578,0.873,-2.805,233.537,69.512
0.599,0.608,0.773,-0.305,194.268,69.268
0.282,0.635,0.649,-1.707,113.171,62.317
0.04,0.638,0.594,-4.268,14.573,55.122
0.032,0.618,0.553,-3.841,-54.329,44.573
0.247,0.588,0.563,0.488,-65.915,31.28
0.606,0.549,0.662,3.78,-37.134,19.207
1.009,0.496,0.719,3.963,4.878,8.537
1.261,0.441,0.714,4.268,33.415,-2.439
1.161,0.399,0.699,3.963,25.427,-13.659
0.801,0.387,0.67,4.817,-17.927,-27.012
0.435,0.391,0.656,10.366,-75.549,-40.976
0.237,0.395,0.617,18.598,-127.195,-51.707
0.227,0.426,0.52,21.829,-156.524,-56.402
0.319,0.518,0.446,14.512,-150.671,-53.72
0.388,0.628,0.498,3.415,-119.451,-36.463
0.401,0.631,0.565,-5.305,-69.756,-5.244
0.397,0.55,0.667,-5.854,5.61,28.659
0.329,0.464,0.711,0.122,90.854,55.793
0.248,0.412,0.591,-0.488,147.439,73.171
0.304,0.45,0.437,-10.427,160.793,82.5
0.458,0.541,0.321,-25.244,131.281,82.134
0.553,0.581,0.199,-44.756,67.805,67.378
0.508,0.57,0.228,-59.451,2.805,43.78
0.516,0.492,0.371,-55.061,-32.683,18.293
0.69,0.334,0.667,-29.512,-47.805,-9.024
1.069,0.19,1.021,1.159,-55.915,-35.915
1.525,0.223,1.162,24.512,-61.463,-58.232
