acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.905,0.378,0.799,10.183,46.89,2.683
0.692,0.521,0.739,9.085,59.573,-4.207
0.381,0.643,0.756,-0.122,62.073,-12.927
0.11,0.733,0.76,-2.439,47.012,-8.659
-0.084,0.755,0.687,-6.951,33.293,20.732
-0.252,0.747,0.73,-11.28,26.89,49.817
-0.225,0.735,0.862,-18.415,12.317,62.378
-0.02,0.686,0.884,-23.537,-9.085,55.061
0.114,0.604,0.826,-20.488,-15.793,42.744
0.136,0.515,0.79,-13.841,-15.366,40.549
0.176,0.5,0.741,-14.024,-19.085,46.159
0.229,0.565,0.658,-22.378,-16.463,47.866
0.253,0.624,0.627,-27.073,-3.963,44.695
0.334,0.606,0.703,-23.78,6.89,40.244
0.515,0.533,0.776,-17.134,18.354,30.671
0.617,0.467,0.827,-12.195,32.378,15.854
0.586,0.438,0.868,-9.329,31.89,3.78
0.475,0.445,0.866,-9.451,17.256,-3.11
0.348,0.47,0.794,-11.829,0.976,-8.598
0.275,0.497,0.757,-11.098,-9.451,-11.098
0.261,0.488,0.74,-9.817,-16.829,-11.037
0.271,0.475,0.7,-9.329,-26.951,-11.341
0.248,0.465,0.66,-8.841,-45.915,-11.037
0.174,0.449,0.634,-7.561,-78.72,-11.585
0.081,0.442,0.607,-5.61,-123.72,-14.39
-0.015,0.456,0.57,-4.817,-175.244,-19.756
-0.075,0.466,0.532,-6.524,-236.89,-28.11
-0.088,0.469,0.573,-10.061,-281.951,-36.646
-0.032,0.481,0.575,-14.939,-278.598,-40.244
0.183,0.502,0.454,-18.78,-229.878,-33.659
0.535,0.501,0.492,-18.841,-149.634,-17.073
0.912,0.45,0.651,-16.585,-62.561,-0.488
1.131,0.394,0.719,-9.451,-0.183,4.146
1.009,0.355,0.694,-4.634,17.378,-3.354
0.58,0.411,0.605,-10.366,-10.793,-8.902
0.167,0.52,0.5,-26.463,-62.561,-1.89
-0.045,0.583,0.459,-43.659,-103.963,11.463
0.015,0.567,0.48,-49.817,-100.427,19.024
0.336,0.505,0.557,-40.061,-50.549,20.915
0.728,0.436,0.725,-22.561,19.329,22.5
0.934,0.411,0.894,-6.89,82.683,24.329
0.873,0.464,0.956,-0.366,118.781,28.841
0.666,0.574,0.988,-1.707,112.622,32.012
0.439,0.637,1.029,-1.829,71.463,24.146
0.318,0.63,0.957,-2.622,17.561,7.805
0.392,0.617,0.842,-1.585,-28.415,-6.159
0.544,0.568,0.871,2.439,-59.451,-13.598
0.651,0.483,0.886,8.659,-81.402,-21.402
0.726,0.409,0.847,18.78,-96.768,-32.866
0.787,0.354,0.792,29.268,-104.451,-46.098
0.771,0.355,0.735,37.622,-109.085,-58.72
0.68,0.424,0.632,32.927,-128.781,-67.195
0.532,0.532,0.561,21.89,-137.927,-61.341
0.315,0.577,0.498,7.561,-122.683,-34.268
0.201,0.557,0.454,-2.866,-77.988,3.72
0.188,0.511,0.469,-6.829,-14.451,34.39
0.145,0.5,0.436,-10.061,40.793,53.963
0.09,0.543,0.387,-20.854,61.463,66.098
0.107,0.579,0.393,-37.012,49.634,71.646
0.222,0.563,0.461,-46.098,24.817,69.146
0.417,0.445,0.501,-43.293,0.854,56.524
0.611,0.299,0.584,-29.085,-10.61,38.902
0.801,0.184,0.749,-11.707,-9.268,19.817
1.003,0.142,0.797,2.561,-10.915,-3.354
1.178,0.219,0.766,7.5,-31.098,-28.293
1.335,0.401,0.766,5.61,-57.744,-48.232
1.398,0.59,0.841,7.012,-74.817,-64.939
