acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.153,0.526,0.666,-2.805,-26.28,28.476
0.245,0.501,0.656,-3.232,-37.805,22.134
0.323,0.49,0.648,-4.878,-41.89,13.72
0.368,0.487,0.648,-6.646,-43.537,7.5
0.39,0.488,0.632,-8.598,-51.159,2.439
0.401,0.501,0.612,-10.915,-63.902,-4.817
0.38,0.534,0.616,-13.598,-78.72,-12.805
0.344,0.563,0.616,-16.646,-94.512,-18.902
0.324,0.574,0.601,-19.634,-110.061,-24.024
0.321,0.566,0.608,-20.488,-125.915,-28.841
0.298,0.554,0.663,-20.488,-133.415,-30.427
0.287,0.56,0.723,-19.817,-125.366,-29.939
0.335,0.567,0.729,-19.39,-115.244,-29.695
0.401,0.571,0.748,-16.098,-113.72,-29.695
0.417,0.565,0.745,-11.341,-121.402,-32.5
0.405,0.567,0.684,-6.646,-142.439,-35.854
0.37,0.572,0.711,-2.256,-161.281,-33.476
0.36,0.57,0.753,0.122,-165.793,-27.073
0.391,0.57,0.742,1.098,-160.305,-21.646
0.425,0.57,0.722,4.573,-142.256,-15.61
0.453,0.557,0.694,8.72,-119.573,-7.927
0.493,0.551,0.652,11.341,-95.976,0.122
0.519,0.581,0.57,11.28,-69.329,6.829
0.481,0.617,0.469,5.549,-48.293,15.061
0.447,0.643,0.404,-6.951,-37.134,26.829
0.445,0.659,0.363,-18.049,-28.476,38.232
0.451,0.645,0.324,-24.939,-26.463,42.439
0.488,0.603,0.314,-33.415,-32.988,39.207
0.537,0.561,0.363,-39.573,-38.537,36.098
0.6,0.51,0.501,-38.659,-33.049,36.707
0.734,0.433,0.614,-30.427,-23.049,35.671
0.899,0.383,0.636,-17.805,-5.976,28.415
0.962,0.377,0.689,-9.207,8.598,12.805
0.885,0.427,0.786,-6.037,7.439,-8.171
0.744,0.508,0.786,-7.561,-14.573,-26.89
0.711,0.587,0.685,-10.427,-47.622,-37.5
0.782,0.629,0.667,-7.744,-73.72,-40.915
0.797,0.619,0.742,2.134,-88.293,-44.512
0.744,0.595,0.74,13.78,-95.915,-50.427
0.644,0.606,0.703,21.159,-89.268,-51.341
0.494,0.64,0.637,25.427,-67.317,-45.0
0.384,0.677,0.624,28.537,-38.902,-35.488
0.333,0.684,0.603,31.89,-18.11,-24.268
0.252,0.63,0.445,32.378,1.22,-7.561
0.125,0.576,0.286,28.171,19.512,16.402
0.104,0.549,0.159,16.951,29.634,37.256
0.173,0.564,0.074,-2.439,29.695,46.768
0.155,0.584,0.069,-26.768,24.878,52.866
0.054,0.54,0.189,-38.293,20.61,59.939
0.042,0.396,0.284,-29.817,16.28,60.183
0.261,0.279,0.287,-5.854,24.634,58.78
0.62,0.239,0.361,12.988,49.207,55.549
0.999,0.291,0.505,15.854,76.28,38.659
1.303,0.462,0.524,-1.646,92.744,9.573
1.459,0.681,0.502,-25.854,101.342,-13.049
1.439,0.783,0.546,-35.305,97.561,-25.854
1.28,0.686,0.602,-28.963,68.598,-40.0
1.026,0.548,0.689,-13.78,25.671,-52.134
0.65,0.487,0.839,6.707,-15.732,-52.805
0.274,0.491,0.95,22.378,-51.89,-40.915
0.059,0.553,0.972,26.22,-73.049,-27.561
0.024,0.653,0.901,27.5,-72.195,-21.89
0.149,0.717,0.786,27.317,-63.659,-25.427
0.365,0.734,0.68,26.159,-49.634,-28.049
0.52,0.695,0.576,21.707,-32.012,-21.951
0.64,0.614,0.46,14.939,-8.476,-12.683
0.701,0.548,0.318,12.256,21.89,-3.354
0.649,0.488,0.172,5.244,47.927,9.695
0.487,0.486,0.117,-5.854,66.28,25.671
0.275,0.522,0.109,-17.5,76.28,42.378
0.131,0.563,0.14,-28.049,67.927,53.232
0.187,0.588,0.111,-36.341,52.378,54.146
0.315,0.58,0.213,-39.634,50.122,48.11
0.493,0.523,0.467,-37.5,62.439,36.402
0.829,0.475,0.657,-32.927,76.951,15.671
1.16,0.47,0.752,-22.866,74.451,-11.098
1.288,0.455,0.855,-9.085,45.305,-35.549
1.211,0.427,0.947,3.902,5.061,-47.256
0.943,0.446,0.974,16.524,-26.89,-53.659
0.598,0.531,1.022,29.085,-48.902,-61.463
0.305,0.625,1.056,40.671,-58.537,-54.695
0.074,0.681,1.012,44.695,-58.11,-33.049
-0.074,0.736,0.858,38.72,-45.183,-14.695
-0.083,0.804,0.689,31.768,-11.829,-0.427
0.065,0.829,0.41,19.451,28.415,22.012
0.354,0.817,0.162,-6.707,55.549,47.866
0.67,0.795,0.023,-35.366,67.134,53.049
0.69,0.704,0.03,-59.878,58.171,37.378
0.472,0.553,0.206,-61.646,38.354,27.012
0.422,0.313,0.411,-37.744,32.195,28.963
0.594,0.119,0.593,-2.683,52.012,27.195
0.729,0.08,0.845,18.171,70.0,14.085
0.826,0.223,0.978,18.841,60.366,-6.098
0.85,0.466,0.909,12.134,21.341,-27.439
0.757,0.617,0.825,8.902,-29.878,-44.024
0.675,0.636,0.745,11.341,-61.951,-56.098
0.669,0.634,0.758,14.817,-60.549,-61.89
0.635,0.672,0.832,20.061,-37.073,-59.39
0.478,0.706,0.815,22.927,-10.061,-42.927
0.237,0.717,0.71,21.22,19.146,-15.61
-0.021,0.733,0.52,14.512,50.366,15.427
-0.239,0.758,0.308,-13.537,64.878,42.988
-0.242,0.802,0.233,-43.841,74.268,60.366
0.024,0.745,0.187,-56.341,85.366,63.72
0.296,0.566,0.246,-51.463,82.378,54.939
0.538,0.364,0.441,-37.012,80.732,41.89
0.738,0.229,0.595,-15.183,100.915,36.098
0.816,0.195,0.68,-0.549,123.598,31.646
0.825,0.319,0.704,-3.476,121.159,19.024
0.788,0.529,0.704,-17.134,96.585,4.573
0.599,0.642,0.803,-23.11,67.134,-4.756
0.356,0.586,0.9,-15.061,44.817,-9.573
0.326,0.495,0.919,-1.341,34.634,-13.537
0.47,0.463,0.973,9.146,30.976,-15.244
0.478,0.475,0.96,12.622,8.963,-14.146
0.304,0.519,0.872,12.866,-23.902,-11.646
0.138,0.552,0.788,13.598,-43.11,-10.183
0.14,0.554,0.75,17.5,-46.829,-12.622
0.333,0.552,0.708,22.988,-47.195,-16.463
0.564,0.554,0.664,26.707,-48.841,-18.72
