acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.295,0.574,0.673,-24.207,-54.512,-9.451
0.297,0.566,0.654,-24.329,-72.805,-19.085
0.313,0.55,0.646,-23.049,-95.854,-30.244
0.336,0.525,0.628,-20.122,-120.0,-39.268
0.373,0.503,0.571,-15.549,-139.146,-44.939
0.438,0.5,0.563,-11.159,-149.634,-47.317
0.519,0.505,0.572,-4.451,-151.159,-47.195
0.59,0.518,0.559,1.89,-153.11,-45.732
0.595,0.558,0.537,5.244,-155.0,-48.171
0.552,0.596,0.493,6.341,-154.634,-52.988
0.532,0.623,0.48,5.793,-148.415,-57.805
0.563,0.626,0.466,5.671,-132.195,-61.098
0.636,0.625,0.424,7.256,-106.402,-59.634
0.684,0.624,0.372,9.817,-73.841,-50.427
0.709,0.639,0.349,9.146,-42.866,-35.549
0.625,0.659,0.348,6.037,-17.012,-20.854
0.447,0.668,0.338,2.866,1.159,-7.195
0.31,0.689,0.341,-1.098,12.439,5.549
0.239,0.745,0.35,-6.402,18.841,14.512
0.222,0.794,0.35,-13.171,21.159,19.756
0.232,0.809,0.381,-19.451,25.732,27.805
0.287,0.778,0.484,-20.61,37.866,38.841
0.459,0.725,0.589,-15.671,47.378,45.793
0.604,0.683,0.676,-11.341,53.476,50.183
0.677,0.638,0.722,-7.5,51.159,51.829
0.796,0.592,0.759,-3.902,38.841,49.268
0.902,0.556,0.756,-1.159,24.329,45.427
0.973,0.548,0.661,-1.037,17.683,42.439
1.042,0.564,0.511,-3.841,23.049,28.293
0.984,0.519,0.422,-3.049,30.488,-2.378
0.892,0.422,0.363,5.732,23.598,-33.171
0.831,0.376,0.343,14.024,7.256,-44.878
0.762,0.446,0.333,11.463,-4.329,-44.207
0.571,0.532,0.298,5.976,-10.915,-50.793
0.346,0.561,0.277,4.756,-21.89,-65.671
0.283,0.577,0.292,2.988,-37.866,-71.28
0.345,0.623,0.349,-4.268,-39.39,-57.5
0.396,0.652,0.469,-7.866,-14.146,-31.159
0.292,0.654,0.609,-4.207,25.183,-3.537
0.026,0.668,0.65,3.659,54.207,14.512
-0.223,0.733,0.624,10.305,65.915,25.061
-0.254,0.802,0.587,10.427,58.354,33.902
-0.11,0.841,0.572,3.293,42.561,40.183
0.109,0.791,0.532,-2.683,29.573,43.902
0.361,0.692,0.493,-5.0,17.622,45.549
0.582,0.633,0.543,-8.293,7.378,46.585
0.746,0.591,0.638,-12.134,1.585,47.134
0.938,0.542,0.662,-14.329,0.061,43.78
1.213,0.526,0.688,-16.098,11.646,32.012
1.406,0.494,0.696,-15.0,39.451,10.427
1.276,0.382,0.658,-4.695,61.463,-17.561
0.974,0.276,0.599,15.0,55.915,-40.305
0.718,0.311,0.562,29.268,25.976,-49.695
0.51,0.497,0.521,26.037,-13.902,-53.963
0.25,0.642,0.413,16.768,-52.988,-63.354
0.055,0.665,0.367,9.268,-86.951,-75.488
0.092,0.672,0.369,1.098,-104.024,-76.402
0.29,0.704,0.403,-7.744,-87.439,-59.268
0.345,0.707,0.495,-10.061,-35.61,-25.366
0.195,0.701,0.58,-2.744,24.085,8.963
0.015,0.763,0.589,5.915,61.28,27.683
-0.13,0.874,0.584,4.756,75.976,34.756
-0.125,0.907,0.579,-0.305,74.268,42.927
0.072,0.867,0.571,-3.293,60.122,48.78
0.28,0.8,0.58,-6.524,44.207,47.622
0.458,0.703,0.621,-10.305,26.28,45.61
0.658,0.606,0.661,-10.854,7.561,45.549
0.801,0.561,0.668,-11.402,-3.293,45.0
1.062,0.552,0.698,-13.11,-1.89,36.829
1.332,0.536,0.728,-13.171,18.841,23.293
1.369,0.468,0.721,-10.549,48.232,11.585
1.162,0.391,0.604,-0.244,67.378,1.22
0.726,0.375,0.47,12.378,63.902,-17.317
0.406,0.418,0.47,22.927,30.488,-40.0
0.278,0.516,0.476,25.549,-19.512,-50.427
0.146,0.62,0.455,18.902,-59.207,-52.5
0.091,0.626,0.514,13.72,-81.22,-59.207
0.145,0.602,0.538,12.683,-90.0,-65.366
0.291,0.611,0.486,10.732,-81.159,-56.829
0.449,0.648,0.468,8.537,-49.268,-32.744
0.417,0.688,0.517,5.915,-3.354,-3.841
0.157,0.713,0.529,6.463,37.134,14.634
-0.033,0.757,0.493,9.329,56.524,22.622
-0.042,0.841,0.462,6.22,57.683,30.366
0.071,0.885,0.463,-2.988,47.805,38.232
0.211,0.835,0.47,-11.951,35.976,41.89
0.388,0.732,0.498,-17.012,25.427,44.634
0.589,0.653,0.606,-19.573,18.72,46.768
0.713,0.596,0.717,-20.732,15.854,49.939
0.88,0.56,0.738,-20.549,14.573,50.854
1.118,0.55,0.751,-20.305,23.78,40.854
1.248,0.505,0.796,-17.988,45.061,18.72
1.102,0.382,0.694,-5.976,59.146,-4.756
0.792,0.298,0.56,10.671,47.622,-24.634
0.619,0.331,0.511,25.671,16.037,-37.866
0.474,0.498,0.455,24.817,-13.11,-41.524
0.326,0.648,0.411,14.085,-29.512,-47.378
0.177,0.661,0.402,9.268,-40.305,-60.793
0.128,0.628,0.438,7.317,-50.427,-66.341
0.238,0.636,0.45,2.012,-49.329,-60.0
0.291,0.643,0.452,-0.793,-25.244,-45.305
0.278,0.634,0.508,1.22,8.11,-22.683
0.111,0.667,0.571,2.927,39.329,1.28
