acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.276,0.576,0.489,-28.354,-153.72,-54.939
0.376,0.537,0.505,-18.11,-157.256,-51.89
0.366,0.508,0.535,-8.476,-162.317,-53.476
0.322,0.5,0.531,-0.244,-168.903,-57.378
0.387,0.505,0.529,5.671,-166.037,-56.463
0.561,0.525,0.563,7.378,-138.902,-46.524
0.745,0.543,0.624,7.134,-89.329,-33.902
0.778,0.562,0.607,10.061,-35.549,-27.317
0.673,0.598,0.491,15.305,4.329,-21.707
0.566,0.66,0.385,14.024,23.293,-15.488
0.469,0.698,0.346,7.622,27.256,-8.72
0.368,0.688,0.354,2.073,22.805,0.305
0.301,0.672,0.354,-0.854,13.78,9.695
0.292,0.687,0.373,-3.354,5.549,18.537
0.355,0.724,0.445,-5.305,0.915,28.72
0.471,0.757,0.541,-7.073,1.341,36.037
0.631,0.753,0.627,-9.024,6.524,37.805
0.745,0.688,0.711,-8.902,18.72,37.134
0.851,0.593,0.771,-4.634,31.341,37.256
1.003,0.532,0.793,1.524,40.183,36.89
1.151,0.524,0.766,4.329,47.744,31.22
1.214,0.528,0.645,5.305,55.427,19.512
0.98,0.492,0.473,8.049,54.939,0.61
0.687,0.431,0.391,15.976,29.207,-23.659
0.57,0.428,0.378,24.329,-17.927,-41.89
0.48,0.513,0.379,19.512,-57.561,-47.5
0.408,0.567,0.362,10.122,-74.207,-50.488
0.373,0.549,0.376,8.049,-71.098,-56.585
0.408,0.54,0.432,9.512,-58.537,-58.902
0.475,0.58,0.439,7.439,-37.134,-49.573
0.495,0.632,0.412,3.537,-8.049,-28.598
0.36,0.666,0.444,1.951,22.134,-6.037
0.165,0.68,0.449,1.646,38.476,9.878
-0.019,0.71,0.44,-0.549,45.732,21.159
-0.045,0.75,0.453,-3.293,49.817,30.61
0.124,0.782,0.454,-6.341,52.744,39.329
0.332,0.776,0.477,-10.061,57.561,45.305
0.444,0.703,0.484,-11.646,56.951,46.951
0.536,0.621,0.532,-13.598,42.073,48.598
0.621,0.58,0.666,-19.146,24.451,50.976
0.835,0.551,0.728,-23.171,15.244,47.622
1.156,0.513,0.708,-22.927,20.427,36.22
1.34,0.463,0.71,-21.037,38.598,19.024
1.182,0.366,0.648,-12.622,52.012,-10.854
0.849,0.239,0.584,7.012,36.402,-45.976
0.65,0.227,0.565,27.744,-1.402,-64.939
0.545,0.395,0.536,30.732,-32.256,-63.476
0.44,0.594,0.481,20.488,-47.195,-68.11
0.241,0.632,0.466,14.634,-58.963,-85.122
0.174,0.605,0.497,11.037,-72.988,-90.244
0.245,0.645,0.475,6.768,-64.817,-68.232
0.251,0.717,0.504,4.329,-25.793,-24.207
0.033,0.766,0.583,6.28,17.683,12.927
-0.296,0.813,0.603,11.585,43.354,26.829
-0.383,0.874,0.578,10.366,44.085,32.988
-0.166,0.924,0.541,0.0,33.598,43.537
0.138,0.876,0.522,-8.476,28.537,49.39
0.424,0.734,0.511,-10.854,24.512,48.476
0.683,0.631,0.507,-12.561,19.756,51.037
0.88,0.589,0.563,-15.976,19.146,56.524
1.05,0.553,0.622,-19.756,16.829,57.256
1.287,0.531,0.63,-24.085,12.805,48.537
1.418,0.501,0.733,-29.451,24.024,28.72
1.42,0.381,0.778,-23.537,47.256,0.0
1.146,0.232,0.635,-2.561,57.683,-29.085
0.735,0.222,0.51,19.756,36.341,-49.695
0.401,0.359,0.479,32.134,-2.195,-54.817
0.276,0.579,0.481,27.683,-27.5,-52.805
0.208,0.721,0.52,18.293,-33.354,-62.256
0.078,0.681,0.564,17.134,-40.427,-77.317
0.08,0.601,0.586,18.659,-56.159,-75.488
0.166,0.619,0.564,17.012,-55.61,-50.122
0.15,0.679,0.521,11.646,-32.866,-13.354
-0.003,0.727,0.477,9.817,-3.537,14.634
-0.09,0.786,0.477,8.963,17.012,27.561
-0.026,0.853,0.458,2.866,29.39,34.512
0.104,0.843,0.439,-4.207,40.732,43.232
0.309,0.776,0.454,-7.5,45.122,50.793
0.504,0.732,0.505,-11.037,46.463,55.671
0.681,0.692,0.591,-14.573,47.805,54.756
0.861,0.62,0.675,-16.463,40.061,51.22
0.91,0.56,0.722,-20.427,21.768,47.744
0.934,0.504,0.689,-21.89,0.366,37.683
1.01,0.444,0.641,-15.671,-4.451,17.927
0.987,0.35,0.599,-2.378,3.171,-15.61
0.875,0.224,0.577,20.427,-1.098,-52.683
0.74,0.236,0.497,37.256,-17.988,-64.085
