acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.478,0.448,0.69,-29.085,-42.378,-20.061
0.441,0.489,0.653,-30.122,-62.561,-26.585
0.376,0.508,0.579,-29.512,-83.415,-34.573
0.3,0.514,0.501,-28.232,-108.049,-43.354
0.293,0.53,0.45,-27.5,-135.183,-50.671
0.338,0.521,0.405,-23.841,-159.878,-55.122
0.364,0.497,0.438,-17.195,-174.756,-57.866
0.443,0.488,0.481,-10.427,-182.256,-60.061
0.518,0.503,0.562,-8.78,-179.634,-60.122
0.543,0.505,0.624,-7.988,-158.476,-54.695
0.649,0.498,0.616,-1.768,-121.159,-42.805
0.758,0.544,0.549,6.768,-75.305,-32.927
0.754,0.614,0.439,12.622,-34.634,-27.622
0.671,0.658,0.344,14.146,-8.171,-22.622
0.559,0.675,0.292,11.402,4.512,-15.061
0.444,0.683,0.295,4.085,9.512,-6.524
0.382,0.68,0.297,-3.476,12.683,1.951
0.356,0.678,0.286,-9.024,15.854,10.488
0.345,0.698,0.298,-14.573,18.537,19.817
0.359,0.722,0.336,-19.451,21.341,29.512
0.426,0.729,0.436,-23.354,19.939,35.244
0.479,0.704,0.54,-26.341,16.098,36.829
0.51,0.646,0.629,-27.744,11.524,36.646
0.675,0.567,0.72,-24.329,5.366,33.171
0.897,0.498,0.801,-16.463,4.878,28.902
1.044,0.438,0.799,-4.939,13.354,24.207
1.079,0.405,0.707,9.573,20.976,13.902
0.979,0.424,0.618,20.427,19.573,-2.317
0.886,0.456,0.511,27.744,3.598,-22.439
0.802,0.488,0.462,29.146,-19.268,-36.768
0.721,0.546,0.404,24.085,-40.061,-44.146
0.634,0.576,0.286,18.415,-53.11,-50.366
0.52,0.592,0.241,12.927,-53.841,-55.366
0.555,0.607,0.23,8.598,-43.78,-56.22
0.639,0.633,0.271,2.5,-20.61,-49.268
0.581,0.636,0.299,-2.683,7.805,-32.683
0.369,0.611,0.295,-4.39,28.902,-10.976
0.162,0.625,0.314,-4.329,39.634,5.549
0.029,0.682,0.351,-6.768,42.012,15.854
0.017,0.735,0.389,-10.244,38.537,24.146
0.09,0.769,0.429,-13.659,36.402,30.976
0.217,0.77,0.499,-16.951,39.573,34.207
0.361,0.715,0.572,-17.378,44.573,36.159
0.51,0.645,0.623,-15.061,45.183,38.293
0.694,0.6,0.653,-13.598,37.439,38.659
0.829,0.574,0.733,-16.098,29.39,40.122
0.912,0.526,0.78,-16.89,25.915,41.768
