acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.385,0.454,0.518,-22.195,-59.024,-43.537
0.263,0.448,0.458,-17.073,-93.11,-53.598
0.233,0.467,0.469,-13.476,-130.61,-59.39
0.188,0.488,0.485,-10.671,-168.232,-67.195
0.215,0.482,0.495,-8.72,-200.244,-71.89
0.369,0.48,0.508,-7.744,-215.427,-70.61
0.567,0.489,0.51,-5.244,-198.903,-61.341
0.744,0.504,0.489,-0.61,-156.037,-47.744
0.784,0.537,0.451,3.78,-104.268,-38.415
0.71,0.581,0.392,4.634,-54.756,-30.427
0.713,0.607,0.361,1.829,-17.622,-19.939
0.671,0.624,0.359,-3.476,12.134,-9.756
0.583,0.62,0.335,-8.232,33.293,-1.22
0.502,0.615,0.304,-10.915,42.927,4.634
0.417,0.616,0.312,-12.195,43.049,8.171
0.38,0.623,0.339,-16.341,36.89,14.207
0.389,0.64,0.422,-22.805,35.915,24.085
0.468,0.641,0.526,-21.585,46.707,31.463
0.622,0.619,0.576,-12.866,61.89,36.098
0.694,0.622,0.632,-7.5,78.537,39.939
0.786,0.612,0.755,-7.439,91.037,41.951
0.933,0.56,0.87,-5.976,98.72,41.646
0.976,0.495,0.858,-1.829,100.61,40.366
0.947,0.46,0.713,1.463,90.488,35.732
0.903,0.449,0.589,5.366,73.659,20.61
0.851,0.427,0.525,10.366,54.634,-4.451
0.808,0.375,0.526,17.439,29.39,-32.988
0.763,0.348,0.547,25.427,-2.378,-49.451
0.67,0.413,0.513,25.0,-33.963,-50.854
0.512,0.497,0.441,20.244,-62.256,-53.537
0.352,0.536,0.402,17.134,-85.183,-62.683
0.352,0.551,0.389,14.756,-94.573,-67.5
0.511,0.592,0.39,9.024,-82.622,-61.28
0.602,0.626,0.387,2.073,-48.476,-46.159
0.523,0.613,0.375,-0.244,-9.878,-26.463
0.312,0.6,0.381,0.671,22.439,-6.28
0.113,0.643,0.396,1.159,45.122,9.695
0.078,0.713,0.397,-1.037,50.061,16.829
0.091,0.765,0.433,-8.049,47.317,20.122
0.143,0.752,0.468,-13.171,47.073,26.829
0.305,0.709,0.509,-13.293,49.451,33.537
0.481,0.684,0.55,-12.5,52.866,37.012
0.584,0.642,0.629,-14.268,53.841,37.988
0.707,0.584,0.731,-15.732,49.024,36.89
0.851,0.536,0.831,-15.549,43.841,36.28
0.952,0.504,0.84,-13.354,42.439,35.549
1.007,0.484,0.782,-9.024,44.939,29.939
0.916,0.457,0.737,-2.195,45.732,10.488
0.755,0.398,0.723,8.415,29.817,-23.537
0.725,0.329,0.701,25.0,-2.927,-50.793
0.696,0.379,0.655,31.951,-28.415,-49.329
0.606,0.521,0.577,26.707,-37.378,-40.122
0.434,0.591,0.538,24.39,-39.024,-48.72
0.352,0.596,0.569,24.634,-37.5,-60.183
0.378,0.625,0.528,20.0,-29.085,-55.488
0.382,0.65,0.382,12.866,-18.354,-38.659
0.263,0.652,0.25,7.866,-15.244,-19.451
0.069,0.67,0.256,0.854,-15.671,-1.707
-0.026,0.705,0.326,-7.561,-10.0,11.28
0.048,0.72,0.381,-13.659,0.244,18.963
0.178,0.72,0.447,-17.439,15.427,28.232
0.288,0.705,0.532,-17.622,32.256,39.207
0.381,0.69,0.621,-16.524,47.012,44.207
0.471,0.667,0.687,-15.244,58.841,43.11
0.631,0.62,0.75,-13.902,58.171,39.573
0.706,0.559,0.854,-14.756,46.524,37.683
0.737,0.482,0.908,-14.085,26.768,37.195
0.849,0.436,0.875,-9.024,9.329,33.11
1.018,0.445,0.839,-3.72,7.866,23.049
1.038,0.426,0.793,3.476,20.61,5.488
0.873,0.369,0.696,16.28,23.72,-17.988
0.758,0.375,0.595,30.61,8.72,-34.939
0.63,0.504,0.542,30.305,-7.012,-36.524
0.528,0.634,0.48,21.159,-17.073,-40.61
0.425,0.647,0.467,18.232,-28.11,-52.927
0.346,0.628,0.471,17.927,-37.256,-57.256
0.307,0.636,0.47,13.171,-39.207,-50.793
0.296,0.647,0.41,7.5,-36.524,-40.061
0.265,0.667,0.303,1.098,-32.622,-22.378
0.198,0.708,0.313,-9.207,-22.378,-1.159
0.128,0.701,0.37,-18.78,-2.805,12.866
0.128,0.646,0.424,-21.098,20.0,19.878
0.171,0.602,0.48,-19.207,37.988,29.085
0.236,0.615,0.554,-19.756,48.293,41.098
0.313,0.645,0.638,-21.098,54.573,47.012
0.408,0.632,0.703,-18.841,55.854,45.61
0.543,0.6,0.828,-16.463,46.707,40.854
0.663,0.559,0.92,-15.915,26.829,36.707
0.723,0.498,0.912,-14.878,4.329,33.598
0.83,0.435,0.812,-7.622,-10.854,25.671
0.879,0.408,0.735,3.963,-15.854,5.366
0.876,0.38,0.714,16.707,-25.0,-27.866
0.891,0.349,0.675,31.037,-39.146,-47.927
0.816,0.438,0.605,33.232,-45.793,-44.512
0.705,0.561,0.55,26.463,-43.963,-42.134
0.583,0.603,0.519,22.5,-36.037,-48.11
0.451,0.613,0.44,18.963,-24.573,-46.89
