acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.65,0.542,0.134,47.988,-45.732,70.0
0.673,0.543,0.164,38.232,-41.28,62.805
0.652,0.537,0.172,29.634,-33.72,56.28
0.617,0.552,0.176,23.11,-28.537,50.305
0.573,0.574,0.178,18.415,-25.305,45.793
0.543,0.596,0.173,13.841,-22.5,41.829
0.51,0.615,0.191,9.207,-17.622,38.902
0.504,0.631,0.228,5.0,-9.451,35.915
0.522,0.632,0.276,1.28,1.341,33.293
0.519,0.628,0.346,-2.805,12.134,30.976
0.466,0.617,0.377,-4.695,21.28,29.085
0.433,0.615,0.383,-4.207,26.402,27.988
0.438,0.632,0.391,-3.598,28.78,27.805
0.46,0.651,0.389,-3.902,30.305,29.146
0.488,0.666,0.381,-5.366,27.378,30.0
0.48,0.667,0.371,-7.073,20.793,29.939
0.45,0.662,0.36,-8.293,12.195,29.878
0.437,0.649,0.378,-6.951,6.159,29.268
0.473,0.635,0.44,-4.817,10.976,26.829
0.569,0.635,0.481,-4.085,20.976,23.72
0.604,0.647,0.48,-4.329,29.695,22.683
0.576,0.652,0.473,-4.207,35.549,21.768
0.58,0.651,0.46,-5.488,37.439,20.0
0.607,0.65,0.458,-7.256,37.134,19.512
0.619,0.633,0.476,-6.768,39.878,19.695
0.646,0.624,0.48,-6.768,41.037,19.512
0.619,0.641,0.473,-8.049,41.037,22.439
0.576,0.654,0.469,-9.146,41.22,27.683
0.596,0.672,0.452,-10.915,39.817,29.878
0.614,0.682,0.468,-15.976,37.012,29.146
0.577,0.672,0.478,-20.061,28.902,25.366
0.517,0.659,0.486,-21.89,15.976,15.732
0.507,0.658,0.509,-24.634,4.756,1.585
0.535,0.655,0.506,-29.024,-8.963,-11.463
0.571,0.662,0.411,-34.451,-34.512,-20.183
0.618,0.668,0.324,-37.805,-70.427,-25.122
0.671,0.652,0.328,-38.659,-105.61,-28.598
0.702,0.605,0.335,-34.634,-135.0,-27.744
0.676,0.534,0.351,-23.963,-152.134,-24.39
0.587,0.489,0.423,-10.183,-154.573,-28.598
0.449,0.475,0.519,0.732,-145.183,-38.171
0.492,0.524,0.564,8.476,-135.122,-42.195
0.545,0.6,0.6,12.378,-116.281,-38.902
0.509,0.639,0.606,14.146,-90.061,-38.049
0.439,0.628,0.5,20.732,-82.195,-43.841
0.335,0.611,0.345,28.659,-105.427,-50.61
0.301,0.64,0.261,34.024,-139.146,-55.366
0.456,0.657,0.215,35.671,-151.707,-53.902
0.625,0.675,0.225,28.415,-136.829,-38.537
0.516,0.696,0.267,16.768,-105.305,-17.439
0.283,0.702,0.253,8.11,-62.988,-2.195
0.135,0.722,0.188,2.378,-15.976,7.683
0.038,0.737,0.178,-3.537,31.341,24.756
-0.005,0.716,0.217,-7.5,68.963,48.598
-0.017,0.681,0.298,-7.5,89.817,70.061
0.015,0.662,0.35,-3.659,88.11,85.183
0.177,0.642,0.371,4.634,71.524,96.159
0.549,0.596,0.43,15.915,53.476,100.793
1.004,0.565,0.477,24.817,35.427,98.537
1.284,0.554,0.484,28.232,12.134,88.232
1.524,0.533,0.507,28.415,-18.659,66.707
1.671,0.544,0.511,20.915,-39.512,33.598
1.616,0.591,0.303,10.488,-50.793,-11.22
1.698,0.548,0.155,7.744,-57.805,-58.841
1.769,0.522,0.212,3.415,-42.561,-86.22
1.5,0.614,0.32,-3.232,-9.878,-94.512
1.095,0.678,0.385,-6.646,4.817,-103.842
0.413,0.678,0.48,-2.378,-3.354,-100.183
-0.323,0.665,0.51,9.878,-19.085,-79.695
-0.816,0.716,0.507,27.378,-35.061,-49.39
-1.05,0.805,0.449,42.256,-48.902,-1.463
-1.028,0.886,0.257,45.366,-45.366,46.646
-0.614,0.85,0.08,41.707,-15.0,74.634
0.041,0.764,-0.073,30.976,29.573,93.659
0.501,0.71,-0.128,16.098,61.768,109.085
0.694,0.598,-0.076,8.963,72.683,112.439
0.883,0.471,0.122,7.927,66.646,105.244
1.138,0.436,0.365,7.256,51.768,93.354
1.523,0.434,0.458,7.134,23.78,70.183
1.869,0.384,0.458,6.89,-10.671,36.951
2.204,0.416,0.431,0.427,-34.451,4.817
2.03,0.502,0.334,-11.22,-46.89,-29.39
1.357,0.501,0.385,-10.61,-63.232,-65.976
0.917,0.551,0.554,1.585,-60.976,-85.61
0.876,0.671,0.586,3.659,-39.39,-91.463
0.686,0.784,0.481,4.024,-32.5,-91.402
0.279,0.703,0.32,15.244,-44.573,-90.549
-0.021,0.617,0.217,20.61,-47.927,-72.5
-0.457,0.749,0.125,19.939,-35.915,-33.476
-0.793,0.859,-0.061,23.171,-23.598,6.524
-0.814,0.821,-0.17,23.232,4.939,43.902
-0.449,0.746,-0.212,16.28,52.134,76.646
0.082,0.723,-0.146,5.854,88.72,98.415
0.385,0.594,0.008,1.22,98.537,107.927
0.706,0.475,0.189,7.5,89.329,101.342
1.313,0.387,0.501,5.305,82.439,83.476
1.567,0.46,0.683,3.049,63.232,64.085
1.8,0.397,0.622,10.0,12.805,28.354
2.323,0.416,0.42,5.854,-32.683,-10.549
2.241,0.485,0.218,-8.78,-61.159,-47.866
1.689,0.503,0.333,-14.146,-79.756,-79.268
1.087,0.578,0.516,-13.049,-68.354,-97.622
0.806,0.708,0.443,-11.707,-54.695,-102.683
0.428,0.753,0.287,-1.037,-57.256,-98.354
0.194,0.679,0.268,7.012,-55.854,-90.122
-0.106,0.719,0.247,6.341,-27.866,-66.098
-0.625,0.841,0.117,9.146,1.159,-26.22
-1.001,0.864,-0.039,13.537,18.232,14.146
-0.942,0.833,-0.171,11.646,42.805,53.963
-0.5,0.804,-0.2,3.232,78.598,87.805
0.039,0.685,-0.043,-5.732,103.781,108.963
0.367,0.562,0.173,-7.012,109.756,118.049
0.656,0.413,0.426,3.598,106.585,106.829
1.336,0.379,0.797,4.085,97.805,81.402
1.533,0.447,0.953,8.841,69.207,57.134
1.776,0.393,0.817,15.488,8.049,20.488
2.341,0.422,0.585,10.976,-49.573,-18.293
2.377,0.486,0.279,-2.805,-94.817,-56.037
1.849,0.5,0.165,-12.378,-124.329,-87.5
1.193,0.534,0.311,-16.524,-113.659,-108.476
0.884,0.681,0.34,-16.707,-82.805,-113.293
0.586,0.739,0.227,-5.305,-55.427,-106.768
0.354,0.662,0.181,-1.28,-31.159,-97.927
