acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.523,0.677,0.305,9.268,120.305,33.232
0.587,0.647,0.423,12.073,135.305,38.902
0.647,0.616,0.47,4.695,127.988,39.085
0.61,0.625,0.478,-2.256,106.829,28.293
0.43,0.668,0.332,-5.793,84.085,18.963
0.374,0.697,0.28,-10.244,66.951,13.841
0.38,0.673,0.383,-11.28,59.207,10.366
0.429,0.651,0.441,-8.537,55.183,6.22
0.523,0.642,0.461,-6.585,49.024,1.28
0.53,0.611,0.488,-6.402,41.585,-2.988
0.456,0.593,0.521,-7.317,38.476,-5.61
0.404,0.598,0.558,-7.195,40.549,-7.012
0.387,0.616,0.599,-4.207,41.28,-7.744
0.388,0.63,0.611,-0.61,35.549,-8.415
0.386,0.63,0.608,0.122,20.732,-9.878
0.343,0.633,0.598,0.061,-5.244,-10.671
0.288,0.654,0.565,3.72,-45.183,-9.817
0.26,0.674,0.513,3.537,-87.378,-8.78
0.247,0.668,0.395,3.415,-114.512,-7.622
0.256,0.651,0.307,6.402,-136.22,-4.695
0.303,0.676,0.388,10.244,-156.89,-3.72
0.379,0.672,0.46,11.951,-171.281,-2.012
0.387,0.623,0.473,10.549,-177.195,-2.561
0.4,0.613,0.457,9.512,-176.463,-5.793
0.493,0.659,0.456,7.805,-170.732,-8.841
0.56,0.685,0.466,5.061,-161.037,-9.146
0.582,0.69,0.478,3.72,-149.695,-8.11
0.605,0.703,0.464,4.085,-142.622,-11.707
0.62,0.714,0.406,2.073,-140.549,-16.707
0.625,0.724,0.355,-1.89,-140.183,-17.683
0.605,0.726,0.295,-5.976,-134.451,-15.0
0.621,0.728,0.268,-8.72,-121.463,-13.171
0.704,0.746,0.261,-9.024,-103.476,-13.963
0.773,0.747,0.292,-9.451,-84.817,-21.28
0.772,0.72,0.335,-11.524,-65.854,-31.646
0.809,0.694,0.348,-14.878,-47.317,-42.256
0.852,0.684,0.346,-17.5,-30.732,-54.024
0.904,0.683,0.288,-19.39,-16.524,-60.61
0.962,0.696,0.213,-23.11,-5.671,-60.0
0.94,0.704,0.174,-26.768,2.073,-54.512
0.863,0.729,0.173,-25.793,4.329,-46.89
0.746,0.761,0.208,-24.268,-6.098,-36.829
0.476,0.746,0.259,-25.244,-19.573,-19.756
0.23,0.737,0.253,-26.89,-23.659,0.549
0.088,0.802,0.263,-27.256,-12.622,16.037
-0.026,0.862,0.337,-24.573,12.805,27.561
-0.108,0.86,0.383,-17.073,46.646,41.037
-0.04,0.835,0.374,-5.61,77.744,52.378
0.14,0.825,0.38,4.329,91.28,55.976
0.274,0.806,0.412,11.463,86.28,53.902
0.363,0.772,0.438,19.817,72.012,48.232
0.525,0.721,0.492,28.659,51.341,37.378
0.665,0.639,0.593,36.098,21.341,26.159
0.78,0.584,0.7,35.488,-18.354,20.366
0.847,0.574,0.756,25.915,-51.707,9.756
0.793,0.578,0.626,18.415,-66.463,-7.5
0.759,0.632,0.447,12.317,-67.195,-19.695
0.9,0.69,0.315,5.488,-60.915,-26.951
1.024,0.705,0.191,-2.744,-51.159,-34.695
0.987,0.687,0.113,-12.317,-37.439,-41.098
0.93,0.7,0.079,-22.134,-19.756,-45.915
0.867,0.731,0.09,-27.073,-0.061,-48.232
0.761,0.738,0.13,-26.402,15.366,-42.012
0.686,0.744,0.188,-23.232,22.744,-31.463
0.531,0.747,0.229,-17.988,24.085,-19.878
0.299,0.753,0.271,-11.402,19.39,-2.805
0.098,0.779,0.353,-7.256,12.073,16.037
-0.062,0.796,0.472,-0.976,10.305,29.512
-0.159,0.812,0.549,7.622,17.561,39.817
-0.15,0.81,0.605,15.244,28.537,49.817
-0.039,0.763,0.605,18.049,36.89,57.866
0.146,0.739,0.535,18.293,40.732,59.085
0.287,0.732,0.418,21.951,38.659,53.841
0.409,0.723,0.339,23.354,26.707,49.634
0.6,0.68,0.364,21.098,6.159,41.098
0.698,0.617,0.373,20.0,-18.232,24.634
0.792,0.6,0.368,17.195,-42.195,9.695
0.931,0.562,0.364,10.915,-60.61,-1.707
1.032,0.528,0.348,4.268,-74.512,-16.463
1.058,0.535,0.295,-3.72,-84.512,-30.793
1.098,0.569,0.199,-13.171,-88.963,-38.963
1.069,0.617,0.123,-21.463,-87.012,-46.22
0.958,0.656,0.089,-28.841,-78.659,-52.561
0.888,0.698,0.077,-31.829,-67.683,-52.073
0.842,0.736,0.095,-31.951,-57.073,-44.39
0.74,0.749,0.173,-28.841,-45.976,-34.451
0.519,0.746,0.243,-22.5,-33.476,-20.305
0.338,0.779,0.334,-12.378,-19.146,-3.049
0.163,0.803,0.475,-1.159,-1.463,15.305
0.016,0.794,0.585,8.902,14.146,32.378
-0.022,0.839,0.603,16.28,26.341,46.829
-0.034,0.858,0.576,22.439,38.598,57.5
-0.002,0.828,0.533,26.951,51.463,58.11
0.161,0.792,0.467,30.0,60.122,51.89
0.375,0.76,0.377,32.317,58.476,47.134
0.627,0.713,0.326,30.244,42.927,43.049
0.775,0.644,0.308,24.634,20.0,33.537
0.79,0.591,0.254,21.707,-2.378,22.622
0.837,0.583,0.231,14.817,-18.72,11.402
0.944,0.54,0.23,9.573,-32.866,-1.829
0.991,0.544,0.254,5.305,-46.646,-13.11
0.994,0.578,0.227,-2.195,-62.073,-24.268
0.97,0.567,0.157,-13.476,-74.756,-34.085
0.935,0.6,0.083,-23.11,-80.244,-44.085
0.918,0.645,0.065,-30.549,-77.622,-52.927
0.906,0.654,0.085,-36.098,-69.207,-57.866
0.894,0.648,0.127,-37.195,-54.939,-58.354
0.855,0.667,0.191,-31.768,-37.439,-54.634
0.695,0.682,0.232,-22.378,-20.183,-42.866
0.522,0.709,0.338,-12.317,-5.183,-28.72
0.298,0.725,0.446,-5.122,5.183,-12.561
0.219,0.8,0.496,-3.232,12.866,1.524
0.127,0.847,0.493,-3.963,23.049,10.0
0.129,0.848,0.395,-4.634,35.488,15.366
0.239,0.856,0.312,-3.171,48.293,20.671
0.338,0.805,0.255,-1.768,58.049,26.037
0.417,0.757,0.217,-1.22,63.171,31.402
0.44,0.73,0.2,-0.244,66.707,37.134
0.436,0.74,0.225,1.89,72.927,40.244
0.409,0.74,0.253,6.89,77.561,40.854
0.421,0.744,0.254,11.28,74.39,40.732
0.506,0.73,0.263,14.024,63.11,36.707
0.552,0.69,0.322,15.488,47.866,30.0
0.611,0.656,0.358,16.037,30.915,22.439
0.688,0.636,0.376,15.793,13.232,12.073
0.758,0.596,0.366,14.146,-5.732,1.341
0.83,0.586,0.364,10.976,-24.695,-8.11
0.877,0.59,0.359,5.976,-42.134,-17.073
0.913,0.606,0.341,-0.976,-57.622,-26.463
0.937,0.629,0.295,-8.902,-69.024,-35.183
0.94,0.652,0.25,-16.098,-74.329,-43.11
0.928,0.682,0.244,-20.61,-72.439,-48.841
0.884,0.703,0.27,-23.415,-59.939,-48.841
0.829,0.725,0.305,-23.415,-35.854,-44.939
0.736,0.755,0.291,-18.049,-6.159,-37.744
0.627,0.791,0.317,-7.5,20.244,-27.744
0.458,0.775,0.385,0.854,33.232,-12.805
0.332,0.758,0.426,1.402,30.244,5.244
0.238,0.785,0.407,-3.78,23.72,18.78
0.088,0.826,0.352,-7.927,24.634,26.89
0.043,0.864,0.269,-10.122,33.11,34.39
0.161,0.85,0.212,-10.305,45.244,40.671
0.289,0.785,0.19,-8.476,57.378,43.415
0.393,0.731,0.209,-7.256,68.293,43.293
0.48,0.692,0.242,-5.305,77.439,39.817
0.548,0.671,0.251,-1.89,81.89,35.427
0.616,0.652,0.297,1.159,76.707,31.341
