acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.843,0.265,0.337,11.28,-32.439,38.354
0.847,0.236,0.351,9.573,-31.341,35.854
0.842,0.231,0.332,5.976,-30.976,33.963
0.831,0.243,0.306,4.39,-29.817,32.5
0.851,0.228,0.298,3.841,-29.207,31.098
0.866,0.21,0.292,3.78,-29.573,29.085
0.865,0.208,0.298,2.988,-28.841,26.951
0.867,0.213,0.311,1.585,-26.28,24.512
0.878,0.213,0.322,0.366,-22.744,22.317
0.879,0.217,0.325,-1.768,-20.427,20.366
0.875,0.198,0.31,-6.707,-18.841,18.049
0.87,0.209,0.305,-8.537,-18.598,16.159
0.87,0.208,0.293,-9.695,-21.585,14.756
0.879,0.189,0.292,-10.061,-26.707,14.207
0.856,0.186,0.307,-9.146,-30.305,13.963
0.85,0.188,0.334,-7.439,-30.976,12.439
0.868,0.19,0.359,-6.707,-27.439,11.22
0.849,0.213,0.37,-4.207,-20.427,10.793
0.838,0.215,0.393,-3.841,-13.11,10.671
0.849,0.222,0.392,-2.744,-9.207,10.61
0.851,0.228,0.397,-1.159,-9.817,10.427
0.852,0.214,0.387,-1.28,-10.183,10.244
0.858,0.225,0.398,-1.341,-9.634,9.817
0.88,0.223,0.425,0.427,-10.183,9.268
0.892,0.214,0.395,0.061,-9.146,9.329
0.912,0.193,0.357,-0.305,-10.305,9.207
0.938,0.179,0.311,-2.622,-15.122,9.207
0.939,0.167,0.24,-8.293,-18.659,8.963
0.963,0.176,0.21,-15.183,-19.573,7.988
0.986,0.173,0.234,-23.72,-21.22,6.159
0.999,0.175,0.25,-34.756,-24.756,4.939
0.989,0.186,0.254,-44.146,-28.902,4.146
0.968,0.183,0.276,-52.256,-34.878,3.293
0.955,0.18,0.3,-59.39,-41.646,2.622
0.938,0.189,0.324,-64.207,-45.732,0.915
0.942,0.183,0.348,-59.756,-42.317,-1.707
0.965,0.186,0.384,-56.951,-39.268,-1.22
1.015,0.123,0.415,-53.902,-45.488,-3.841
0.996,0.178,0.41,-46.646,-57.439,-5.854
0.984,0.13,0.412,-40.488,-63.232,-8.049
0.995,0.113,0.434,-36.341,-64.451,-13.659
1.02,0.142,0.506,-28.11,-62.256,-19.146
0.975,0.125,0.553,-19.878,-56.22,-22.988
0.95,0.14,0.56,-9.146,-48.963,-24.878
0.872,0.159,0.564,2.256,-39.085,-21.585
0.766,0.185,0.538,11.89,-27.683,-13.537
0.688,0.224,0.474,19.756,-14.573,-5.305
0.633,0.258,0.437,23.11,-5.366,6.585
0.58,0.288,0.37,23.902,-8.232,20.183
0.537,0.313,0.25,22.317,-13.659,32.378
0.575,0.294,0.18,17.256,-14.756,41.28
0.692,0.281,0.15,11.341,-17.805,45.976
0.834,0.241,0.107,4.634,-22.622,44.512
1.009,0.18,0.071,-2.317,-25.976,37.317
1.17,0.139,0.026,-8.049,-26.037,25.732
1.287,0.094,-0.004,-12.378,-18.659,11.89
1.371,0.065,-0.01,-12.439,-2.927,-3.415
1.447,0.027,0.0,-10.061,11.707,-19.085
1.421,0.001,0.031,-10.976,25.915,-30.183
1.206,0.036,0.12,-13.354,43.72,-37.927
1.006,0.088,0.222,-16.402,56.159,-39.268
0.809,0.132,0.311,-15.915,54.268,-31.646
0.545,0.191,0.326,-12.012,36.159,-14.756
0.314,0.226,0.252,-6.768,17.622,11.22
0.084,0.239,0.156,-7.256,13.598,41.28
