acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.908,0.182,0.119,-12.378,-17.317,34.39
0.89,0.19,0.244,-6.951,-25.183,34.878
0.875,0.181,0.286,-10.732,-35.793,36.22
0.792,0.17,0.21,-8.171,-37.561,35.671
0.831,0.188,0.22,-5.854,-36.951,36.037
0.8,0.179,0.228,-3.293,-30.854,34.817
0.773,0.201,0.259,-3.232,-16.585,29.39
0.826,0.231,0.292,0.305,-0.305,23.293
0.857,0.247,0.35,-6.707,6.463,21.463
0.909,0.205,0.319,-14.39,6.524,16.402
0.88,0.227,0.246,-25.61,2.5,11.829
0.958,0.188,0.187,-36.463,-7.927,8.902
0.966,0.144,0.115,-44.695,-15.366,4.634
1.006,0.11,0.104,-52.683,-21.402,0.549
1.023,0.127,0.125,-60.305,-31.037,-1.829
1.0,0.124,0.129,-66.646,-43.963,-4.756
0.994,0.147,0.136,-54.207,-43.11,-2.012
0.937,0.049,0.125,-44.207,-23.232,-3.415
1.077,0.034,0.257,-38.963,-17.195,-7.988
1.028,0.159,0.368,-36.037,-15.0,-7.988
0.895,0.166,0.45,-32.805,-13.171,-10.915
0.974,0.238,0.581,-27.561,-22.866,-10.427
0.871,0.271,0.63,-20.427,-33.659,-7.744
0.832,0.294,0.657,-10.793,-43.354,-5.061
0.853,0.304,0.67,-1.159,-53.72,-2.622
0.867,0.297,0.626,6.707,-60.061,-1.585
0.911,0.285,0.553,13.232,-61.707,-1.768
0.963,0.278,0.474,20.244,-62.927,-3.476
0.992,0.262,0.411,26.951,-63.354,-5.976
0.988,0.25,0.363,33.537,-64.268,-7.317
0.977,0.242,0.317,36.951,-68.354,-5.0
0.919,0.233,0.259,35.976,-69.939,-0.427
0.86,0.215,0.215,36.646,-65.732,4.268
0.847,0.223,0.144,39.451,-60.183,9.085
0.811,0.158,0.077,30.976,-57.195,14.817
0.783,0.131,-0.022,23.841,-55.427,15.732
0.783,0.081,-0.092,12.988,-50.61,14.939
0.808,0.042,-0.131,-1.402,-42.5,10.549
0.836,0.028,-0.136,-16.159,-30.671,3.049
0.865,0.022,-0.125,-30.793,-14.695,-3.72
0.859,0.026,-0.104,-42.134,-0.183,-8.598
0.849,0.032,-0.081,-47.744,9.512,-10.427
0.798,0.053,-0.035,-50.366,14.695,-8.841
0.765,0.089,0.026,-49.756,14.695,-4.146
0.721,0.132,0.107,-44.817,13.049,0.915
0.72,0.184,0.219,-37.5,10.793,6.585
0.756,0.24,0.297,-30.183,5.427,11.098
0.813,0.279,0.352,-21.585,-0.488,13.963
0.876,0.313,0.402,-10.122,-7.5,15.488
0.964,0.332,0.422,2.683,-13.659,14.329
1.048,0.332,0.419,16.28,-19.512,11.22
1.139,0.321,0.391,28.841,-26.585,7.256
1.182,0.299,0.333,37.683,-34.39,3.476
1.17,0.279,0.267,42.317,-44.085,0.122
1.132,0.265,0.192,44.024,-53.476,-1.768
1.072,0.235,0.094,42.073,-56.829,-0.976
1.015,0.18,-0.035,36.768,-50.366,2.195
0.94,0.125,-0.137,27.439,-34.329,5.61
0.89,0.084,-0.188,14.634,-16.037,6.768
0.857,0.062,-0.198,1.524,2.317,6.707
0.787,0.065,-0.162,-10.549,22.317,5.183
0.769,0.064,-0.103,-21.829,43.11,3.963
0.77,0.068,-0.043,-29.878,59.207,2.927
0.764,0.077,0.013,-31.524,65.366,2.744
0.759,0.056,0.05,-30.793,62.317,4.024
0.758,0.038,0.087,-31.463,52.988,5.854
0.791,0.063,0.143,-31.22,42.927,6.707
0.872,0.109,0.231,-27.5,32.927,5.976
0.965,0.154,0.333,-22.927,21.037,3.78
1.045,0.217,0.391,-19.146,9.512,0.976
1.114,0.275,0.425,-10.793,-0.183,-2.561
1.164,0.302,0.448,2.012,-8.841,-6.037
1.192,0.294,0.445,17.012,-17.744,-8.11
1.194,0.285,0.407,29.207,-28.049,-8.476
1.15,0.274,0.342,35.915,-35.183,-5.915
1.066,0.281,0.26,38.049,-37.256,-0.915
0.99,0.273,0.199,37.012,-39.146,4.024
0.915,0.244,0.14,34.39,-38.659,9.39
0.853,0.199,0.07,30.427,-33.049,15.122
0.836,0.148,0.003,26.28,-25.61,18.232
0.836,0.11,-0.048,19.634,-15.244,18.171
0.849,0.072,-0.082,11.22,-1.098,14.329
0.887,0.048,-0.088,0.854,10.732,7.561
0.899,0.015,-0.089,-12.073,23.841,1.585
0.877,0.026,-0.071,-26.037,35.976,-2.561
0.884,0.042,-0.023,-34.451,39.878,-4.512
0.833,0.052,0.024,-35.488,39.573,-5.427
0.812,0.044,0.068,-33.293,39.146,-5.366
0.835,0.072,0.113,-30.244,36.646,-3.415
0.834,0.104,0.136,-25.915,36.22,-0.854
0.878,0.141,0.177,-17.866,34.451,0.671
0.936,0.161,0.242,-13.11,27.439,1.341
0.96,0.22,0.28,-7.561,18.171,1.341
1.003,0.265,0.306,0.305,9.024,1.707
1.041,0.269,0.318,9.512,1.646,2.5
1.064,0.274,0.302,19.268,-5.183,3.049
1.079,0.263,0.298,26.829,-11.402,3.293
1.059,0.274,0.288,34.024,-15.366,4.451
1.05,0.27,0.289,37.5,-18.659,5.915
1.01,0.263,0.266,39.634,-20.549,8.659
0.96,0.239,0.233,40.366,-22.073,10.732
0.974,0.21,0.176,38.232,-24.878,13.049
0.94,0.174,0.102,34.573,-25.488,13.659
0.946,0.132,0.046,29.939,-22.866,11.89
0.97,0.095,0.007,24.939,-18.11,8.232
0.975,0.049,-0.032,15.488,-14.024,2.805
0.986,0.013,-0.055,3.963,-10.0,-2.134
0.934,0.017,-0.043,-7.439,-1.402,-7.195
0.93,0.024,0.006,-17.378,7.988,-11.037
0.911,0.035,0.064,-23.171,15.976,-12.744
0.831,0.052,0.094,-24.268,25.061,-12.561
0.783,0.063,0.116,-23.171,30.427,-9.512
0.735,0.084,0.125,-22.622,33.78,-4.634
