acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
1.086,0.078,-0.007,-31.098,-29.207,31.768
1.057,0.096,0.057,-39.878,-34.39,26.28
1.021,0.1,0.132,-50.366,-43.963,20.61
0.979,0.128,0.192,-60.976,-54.39,15.732
0.936,0.159,0.248,-67.866,-57.378,11.037
0.922,0.188,0.316,-68.963,-51.402,6.768
0.935,0.196,0.342,-67.256,-44.634,3.598
0.922,0.206,0.333,-65.488,-39.39,0.793
0.897,0.229,0.365,-63.902,-40.854,-0.732
0.896,0.259,0.416,-56.707,-51.463,1.951
0.833,0.262,0.417,-42.5,-49.207,6.098
0.815,0.211,0.504,-31.341,-43.049,6.646
0.887,0.263,0.619,-25.305,-46.646,9.268
0.819,0.306,0.61,-19.329,-47.195,9.207
0.897,0.298,0.608,-10.0,-47.561,7.744
0.965,0.279,0.599,-2.5,-53.11,5.793
0.976,0.27,0.546,2.561,-58.72,2.012
1.012,0.267,0.494,5.305,-61.341,-2.988
1.053,0.264,0.457,6.402,-63.659,-9.268
1.087,0.268,0.417,7.134,-66.037,-15.244
1.089,0.266,0.381,8.598,-70.915,-21.22
1.097,0.25,0.337,9.39,-81.098,-27.317
1.068,0.222,0.274,7.073,-92.439,-32.256
0.973,0.227,0.256,6.524,-97.195,-32.317
0.87,0.206,0.203,5.732,-95.793,-28.476
0.836,0.18,0.147,5.122,-90.793,-19.207
0.693,0.175,0.088,3.415,-83.415,-5.061
0.542,0.179,0.039,0.0,-72.622,8.476
0.41,0.201,0.014,-4.878,-55.61,22.256
0.345,0.236,-0.014,-7.134,-30.549,36.037
0.365,0.241,-0.021,-7.317,-3.171,45.976
0.421,0.238,-0.034,-10.183,18.049,55.427
0.463,0.253,-0.064,-14.085,30.183,62.073
0.553,0.249,-0.045,-16.463,36.463,63.293
0.718,0.21,0.023,-19.695,32.927,60.0
0.923,0.196,0.088,-17.988,20.366,53.72
1.068,0.131,0.109,-12.378,8.354,41.829
1.262,0.066,0.16,-9.39,-2.927,24.939
1.419,0.056,0.213,-7.317,-16.037,5.976
1.474,0.055,0.248,-5.244,-31.28,-13.171
1.472,0.046,0.258,-1.159,-42.622,-31.951
1.446,0.068,0.271,2.5,-49.573,-46.707
1.357,0.085,0.242,6.463,-59.329,-56.463
1.229,0.126,0.187,13.659,-70.244,-60.488
1.031,0.112,0.112,17.439,-72.256,-57.744
0.806,0.156,0.067,13.232,-62.5,-49.085
0.579,0.264,0.053,6.646,-49.817,-36.22
0.438,0.312,0.035,0.793,-28.354,-16.89
0.349,0.346,0.037,-3.841,0.244,1.768
0.333,0.39,0.061,-8.476,24.817,21.585
0.303,0.39,0.044,-11.463,44.146,37.927
0.377,0.357,0.048,-9.634,56.89,50.183
0.536,0.306,0.08,-4.634,60.732,59.573
0.672,0.24,0.095,1.341,61.22,61.402
0.899,0.172,0.16,6.037,52.073,55.427
1.16,0.13,0.24,9.817,32.134,45.549
1.311,0.081,0.31,12.317,8.598,31.707
1.456,0.054,0.353,11.463,-14.329,15.305
1.521,0.054,0.362,8.415,-37.195,-2.561
1.54,0.056,0.333,5.0,-54.695,-19.634
1.505,0.051,0.27,0.976,-68.232,-34.268
1.458,0.062,0.197,-1.22,-81.585,-41.585
1.275,0.091,0.11,-1.28,-87.134,-44.634
1.097,0.11,0.049,1.341,-84.329,-46.098
0.968,0.132,0.0,2.134,-72.927,-45.183
0.829,0.163,-0.029,-1.463,-56.768,-41.89
0.713,0.243,-0.018,-5.061,-43.11,-33.232
0.531,0.272,-0.034,-8.963,-27.134,-18.232
0.398,0.303,-0.055,-12.378,-2.073,2.866
0.351,0.32,-0.062,-13.963,27.256,21.22
0.376,0.342,-0.071,-16.463,52.805,39.329
0.368,0.341,-0.087,-20.061,70.915,55.488
0.448,0.323,-0.073,-21.098,75.488,67.256
0.629,0.281,0.001,-15.061,64.939,73.171
0.804,0.199,0.093,-6.402,51.707,71.402
1.029,0.115,0.185,2.927,37.5,60.915
1.307,0.067,0.248,9.39,18.232,45.366
1.502,0.022,0.268,12.439,-3.354,25.732
1.566,0.021,0.272,11.28,-24.024,4.024
1.576,0.049,0.239,8.476,-42.927,-17.378
1.567,0.053,0.173,6.341,-56.89,-35.61
1.52,0.059,0.134,4.939,-64.817,-49.573
1.405,0.077,0.099,7.378,-65.0,-57.195
1.201,0.083,0.047,11.524,-55.976,-59.024
1.001,0.103,0.008,12.439,-49.146,-55.854
0.819,0.168,-0.011,13.78,-43.049,-47.927
0.61,0.188,-0.04,10.488,-19.634,-36.463
0.517,0.232,-0.035,2.195,12.317,-21.829
0.401,0.284,-0.003,-4.756,40.793,-4.146
0.309,0.304,-0.034,-11.341,64.085,16.341
