acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.335,0.594,0.652,-51.22,-81.524,19.939
0.396,0.567,0.664,-47.561,-73.476,6.89
0.383,0.542,0.67,-43.537,-61.463,-2.317
0.335,0.539,0.671,-37.927,-50.671,-7.622
0.243,0.583,0.683,-34.695,-47.012,-13.476
0.119,0.64,0.682,-37.073,-49.573,-18.598
0.055,0.669,0.626,-42.012,-55.183,-22.561
0.015,0.69,0.553,-48.537,-63.232,-25.915
-0.055,0.7,0.507,-54.39,-74.024,-27.195
-0.136,0.684,0.529,-55.915,-82.073,-24.695
-0.13,0.654,0.612,-54.756,-80.305,-19.756
-0.011,0.645,0.715,-57.256,-66.28,-15.976
0.1,0.629,0.81,-58.963,-39.756,-10.549
0.102,0.597,0.873,-56.28,-6.768,-3.293
0.034,0.598,0.867,-52.927,16.28,-0.976
-0.072,0.621,0.813,-50.427,19.024,-1.707
-0.132,0.628,0.755,-48.659,4.207,-3.72
-0.189,0.623,0.707,-49.329,-25.061,-9.573
-0.249,0.607,0.673,-47.256,-65.549,-17.988
-0.303,0.6,0.721,-43.78,-119.085,-20.427
-0.401,0.588,0.777,-43.659,-189.756,-16.829
-0.478,0.534,0.82,-38.902,-273.842,-16.159
-0.515,0.489,0.82,-34.817,-363.293,-19.085
-0.419,0.523,0.766,-41.768,-456.159,-23.171
-0.206,0.567,0.684,-50.427,-547.561,-31.585
0.011,0.539,0.576,-48.354,-624.39,-40.488
0.205,0.495,0.554,-38.415,-671.951,-42.744
0.43,0.454,0.678,-31.037,-684.024,-44.634
0.669,0.451,0.734,-26.646,-660.305,-55.305
0.939,0.485,0.663,-22.073,-605.732,-65.549
1.093,0.512,0.677,-14.695,-528.049,-67.622
1.178,0.534,0.697,-0.976,-443.293,-62.195
1.204,0.563,0.623,11.098,-367.439,-50.183
1.0,0.606,0.592,16.89,-306.342,-44.878
0.718,0.585,0.498,23.78,-260.183,-43.659
0.546,0.585,0.336,30.732,-227.195,-41.341
0.479,0.609,0.176,33.963,-191.707,-32.195
0.508,0.641,0.054,29.878,-143.293,-21.159
0.521,0.645,-0.121,24.939,-82.988,-14.024
0.443,0.65,-0.347,16.463,-15.915,-7.622
0.36,0.672,-0.557,1.037,53.293,0.244
0.307,0.695,-0.678,-19.573,122.988,13.049
0.252,0.708,-0.738,-44.024,189.939,28.293
0.228,0.699,-0.726,-69.817,246.098,44.878
0.244,0.686,-0.534,-99.329,288.659,62.744
0.298,0.659,-0.112,-135.183,308.354,73.78
0.398,0.545,0.421,-157.439,291.463,74.024
0.581,0.382,0.798,-153.476,242.317,68.902
0.79,0.265,1.081,-131.951,177.134,64.878
0.92,0.161,1.481,-103.659,115.305,54.756
0.943,0.023,1.909,-68.537,55.976,25.915
0.856,-0.134,2.098,-19.024,-15.061,-10.183
0.759,-0.132,1.957,43.11,-96.159,-40.915
0.761,0.089,1.641,95.305,-160.061,-61.159
0.797,0.373,1.267,118.293,-188.537,-71.28
0.773,0.577,0.836,119.268,-188.963,-74.634
0.682,0.709,0.381,111.22,-176.524,-72.195
0.613,0.799,-0.004,98.476,-159.146,-62.561
0.575,0.835,-0.205,79.817,-128.902,-46.28
0.524,0.811,-0.25,60.366,-76.341,-26.951
0.408,0.784,-0.336,43.72,-1.951,-6.524
0.262,0.825,-0.517,21.098,85.915,10.732
0.178,0.885,-0.703,-2.683,170.549,22.805
0.172,0.89,-0.81,-28.293,239.634,33.476
0.203,0.849,-0.765,-63.598,287.744,40.61
0.213,0.728,-0.419,-95.732,303.476,47.195
0.227,0.519,0.11,-109.512,273.476,57.5
0.314,0.39,0.668,-126.585,198.293,65.549
0.432,0.305,1.09,-133.354,106.524,66.159
0.441,0.151,1.238,-107.5,19.695,59.207
0.416,0.039,1.355,-73.963,-54.268,39.329
0.559,0.002,1.565,-41.402,-115.732,5.671
0.852,-0.003,1.691,-7.744,-166.037,-18.537
1.121,0.137,1.709,16.037,-200.183,-31.402
1.282,0.306,1.65,36.037,-216.707,-45.488
1.265,0.415,1.475,50.976,-227.683,-59.817
1.084,0.48,1.208,61.89,-245.915,-71.951
0.831,0.511,0.873,69.695,-267.744,-79.512
0.593,0.536,0.544,74.573,-282.805,-80.061
0.467,0.596,0.268,75.976,-280.366,-75.0
0.399,0.67,0.01,72.256,-242.134,-68.171
