acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.515,0.537,0.675,-42.622,-46.341,17.317
0.535,0.542,0.682,-42.561,-23.902,7.073
0.488,0.565,0.635,-43.902,-4.146,-0.366
0.39,0.591,0.566,-44.878,9.451,-5.671
0.302,0.61,0.495,-46.037,15.305,-9.939
0.225,0.624,0.453,-49.146,13.232,-12.744
0.157,0.614,0.446,-54.024,1.829,-14.939
0.105,0.595,0.434,-57.805,-21.28,-17.317
0.048,0.579,0.479,-57.561,-56.89,-18.72
-0.063,0.549,0.622,-56.768,-100.122,-19.024
-0.186,0.515,0.713,-55.366,-143.293,-15.671
-0.244,0.512,0.772,-52.744,-186.463,-12.5
-0.232,0.534,0.803,-48.354,-230.549,-15.427
-0.145,0.56,0.785,-39.634,-277.012,-16.829
-0.006,0.628,0.778,-35.793,-324.146,-9.756
0.077,0.723,0.788,-37.744,-367.927,-3.537
0.102,0.746,0.804,-41.768,-411.585,-10.183
0.165,0.696,0.841,-40.915,-458.232,-29.817
0.339,0.607,0.881,-31.707,-503.415,-51.646
0.565,0.546,0.846,-16.829,-529.146,-68.659
0.806,0.502,0.763,4.146,-524.756,-80.061
1.022,0.48,0.711,24.512,-485.244,-89.024
1.212,0.507,0.681,37.866,-417.012,-89.817
1.259,0.572,0.655,39.268,-331.037,-84.207
1.121,0.643,0.614,36.28,-246.524,-76.585
0.923,0.674,0.479,36.463,-173.659,-70.061
0.714,0.708,0.306,32.561,-111.402,-63.902
0.537,0.736,0.174,25.427,-58.78,-58.841
0.327,0.738,0.08,22.805,-13.963,-52.5
