acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.121,0.367,1.007,-23.78,-6.341,-32.561
0.133,0.38,1.001,-20.183,-19.939,-36.037
0.095,0.39,0.932,-15.549,-34.939,-41.768
-0.011,0.381,0.829,-10.122,-52.744,-45.915
-0.085,0.38,0.758,-8.537,-70.793,-36.585
-0.111,0.414,0.736,-10.122,-82.073,-18.72
-0.205,0.441,0.749,-11.585,-88.902,-9.573
-0.346,0.485,0.771,-12.439,-96.707,-10.366
-0.372,0.54,0.808,-13.537,-103.781,-10.793
-0.285,0.567,0.839,-13.963,-115.61,-6.524
-0.146,0.557,0.847,-10.854,-130.793,0.915
-0.048,0.519,0.843,-5.671,-142.012,5.671
0.026,0.484,0.84,-3.232,-146.768,4.634
0.17,0.487,0.85,-3.293,-143.476,4.146
0.316,0.489,0.844,-2.988,-137.866,6.646
0.377,0.461,0.829,-2.5,-137.378,8.78
0.37,0.441,0.781,-2.317,-142.012,11.159
0.344,0.439,0.712,-0.244,-146.402,14.634
0.328,0.431,0.678,2.622,-146.585,16.585
0.382,0.423,0.653,5.732,-136.707,16.829
0.449,0.414,0.637,6.707,-112.866,16.646
0.524,0.421,0.634,2.5,-72.866,16.159
0.671,0.447,0.625,-5.732,-19.878,13.415
0.814,0.444,0.599,-13.902,33.963,7.805
0.857,0.404,0.552,-20.61,78.354,1.463
0.819,0.373,0.467,-28.78,109.695,-5.793
0.759,0.398,0.369,-42.378,124.512,-11.585
0.637,0.463,0.318,-57.012,127.622,-16.037
0.415,0.511,0.357,-70.183,123.963,-19.512
0.215,0.519,0.5,-80.793,117.256,-19.39
0.063,0.499,0.734,-85.244,108.415,-16.098
-0.052,0.446,0.973,-80.671,99.756,-7.561
-0.074,0.366,1.132,-65.976,94.146,0.793
0.004,0.265,1.31,-42.256,76.22,-3.963
0.081,0.16,1.539,-16.524,28.171,-7.927
0.066,0.12,1.648,7.073,-41.89,0.244
-0.091,0.155,1.586,26.524,-114.39,2.378
-0.179,0.25,1.423,41.402,-183.171,-1.402
-0.135,0.335,1.156,55.183,-243.598,0.305
-0.123,0.353,0.861,68.78,-280.915,0.488
-0.054,0.353,0.599,77.866,-276.159,-3.841
0.15,0.378,0.471,74.268,-224.695,-6.037
0.479,0.454,0.422,52.5,-139.939,0.61
0.754,0.547,0.341,18.171,-46.707,11.037
0.821,0.558,0.271,-15.366,33.963,13.171
0.798,0.515,0.093,-43.841,99.451,5.854
0.833,0.534,-0.125,-65.671,152.866,-2.012
0.888,0.574,-0.033,-85.488,188.903,-9.329
0.853,0.572,0.328,-100.732,203.354,-14.146
0.648,0.491,0.695,-101.22,201.707,-11.768
0.316,0.325,1.052,-88.049,198.232,-2.744
0.071,0.162,1.375,-67.622,180.732,1.524
-0.022,0.056,1.585,-40.915,115.671,0.915
-0.245,0.027,1.585,-18.72,20.854,2.927
-0.479,0.163,1.456,-9.207,-52.256,1.646
-0.358,0.354,1.334,-3.902,-93.11,-1.22
0.013,0.423,1.173,6.585,-128.171,-0.976
0.202,0.374,1.006,17.805,-167.012,0.244
0.184,0.341,0.863,27.195,-202.134,-0.732
0.243,0.369,0.765,36.646,-224.939,-1.524
0.263,0.376,0.768,44.39,-221.585,-1.829
0.3,0.36,0.789,46.28,-180.183,0.183
0.513,0.344,0.686,37.439,-102.683,0.427
0.825,0.343,0.587,18.963,-16.829,2.988
0.912,0.332,0.327,-6.037,55.427,3.293
0.775,0.339,-0.021,-29.451,110.976,-4.146
0.601,0.323,-0.095,-48.049,152.866,-10.488
0.493,0.361,0.007,-65.305,186.037,-11.22
0.428,0.48,0.285,-82.622,204.634,-6.524
0.359,0.515,0.682,-94.451,202.073,-2.195
0.227,0.454,1.021,-94.268,187.317,4.085
0.036,0.331,1.349,-81.89,176.037,9.39
-0.013,0.18,1.618,-62.134,146.89,4.939
0.16,0.079,1.827,-40.0,82.622,11.22
0.176,0.055,1.837,-14.512,10.671,18.171
-0.094,0.085,1.504,11.829,-48.476,-1.22
-0.089,0.167,1.206,29.085,-101.951,-13.415
0.142,0.256,1.013,37.317,-149.817,-5.366
0.166,0.329,0.806,47.134,-178.781,-1.037
0.092,0.351,0.649,54.634,-175.305,-4.512
0.148,0.354,0.631,52.805,-142.927,-10.0
0.336,0.343,0.684,40.793,-98.841,-2.683
0.476,0.266,0.53,25.244,-51.341,7.805
0.44,0.155,0.085,8.659,6.037,3.78
0.406,0.162,-0.197,-17.012,71.89,-10.915
0.437,0.296,-0.064,-37.378,143.415,-15.976
0.494,0.41,0.247,-55.732,189.573,-7.866
0.609,0.519,0.64,-69.634,186.89,-3.841
0.351,0.498,1.148,-73.415,146.707,-3.963
-0.124,0.36,1.607,-68.841,116.463,8.232
-0.196,0.258,1.872,-58.354,126.342,10.976
0.189,0.17,2.143,-45.854,151.463,2.744
0.744,0.124,2.297,-23.963,144.695,11.585
0.878,0.083,1.648,18.293,66.22,30.427
0.292,-0.024,0.784,61.28,-79.146,20.732
-0.548,0.028,0.464,72.866,-224.207,-0.122
-0.836,0.352,0.469,71.951,-307.378,-8.049
-0.653,0.519,0.459,76.585,-315.366,-14.817
-0.274,0.404,0.575,73.72,-266.037,-17.073
0.186,0.19,0.774,58.354,-198.049,-3.476
0.451,0.044,0.495,43.293,-126.585,5.549
0.514,0.065,-0.003,27.866,-43.171,1.707
0.718,0.266,-0.155,2.622,58.78,-5.0
1.003,0.472,0.028,-20.427,153.659,-14.268
