acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.074,0.534,0.952,-12.012,-10.183,0.793
0.055,0.483,1.009,-8.841,19.756,-3.598
0.271,0.474,1.047,-6.646,39.39,-8.598
0.281,0.477,0.959,-1.037,28.841,-7.927
-0.001,0.463,0.802,5.244,-16.037,-11.951
-0.316,0.483,0.676,10.183,-77.561,-24.268
-0.485,0.556,0.656,9.329,-130.61,-26.829
-0.427,0.636,0.699,2.439,-160.183,-16.951
-0.222,0.667,0.753,-3.171,-164.695,-6.646
-0.08,0.644,0.79,-3.659,-157.073,-0.305
-0.006,0.589,0.829,-4.573,-137.134,5.915
0.032,0.578,0.819,-7.134,-108.902,5.061
0.125,0.607,0.775,-10.976,-77.378,-0.915
0.319,0.636,0.744,-17.378,-49.207,-0.671
0.432,0.663,0.684,-23.78,-40.183,1.768
0.422,0.665,0.607,-27.134,-47.988,0.61
0.339,0.621,0.554,-27.256,-67.805,-1.463
0.329,0.566,0.479,-24.329,-92.439,4.634
0.33,0.525,0.416,-22.5,-111.707,11.524
0.272,0.507,0.494,-23.354,-124.939,9.39
0.262,0.515,0.586,-24.268,-136.707,5.366
0.206,0.504,0.655,-22.256,-146.402,0.854
0.132,0.458,0.706,-16.707,-150.488,-5.671
0.159,0.4,0.648,-9.329,-145.732,-15.793
0.296,0.378,0.608,-6.829,-123.902,-18.841
0.522,0.405,0.581,-12.378,-73.049,-9.329
0.789,0.468,0.551,-24.634,6.463,0.915
0.943,0.546,0.58,-40.793,90.549,0.793
0.904,0.587,0.631,-56.524,152.439,-5.915
0.657,0.583,0.68,-67.5,183.598,-9.085
0.34,0.572,0.72,-74.634,188.476,-14.878
0.155,0.595,0.752,-80.122,177.927,-22.256
-0.053,0.576,0.86,-82.439,155.0,-22.317
-0.229,0.507,0.977,-76.707,129.939,-14.329
-0.266,0.448,1.086,-63.293,117.256,-8.293
-0.183,0.375,1.312,-46.707,104.512,-14.39
-0.011,0.294,1.528,-25.305,72.744,-16.829
0.042,0.228,1.516,0.183,27.561,-7.683
-0.076,0.222,1.335,21.585,-17.988,1.098
-0.107,0.315,1.121,36.22,-66.89,8.598
-0.064,0.442,0.858,47.256,-130.976,14.024
-0.184,0.518,0.537,60.0,-199.878,10.671
-0.391,0.558,0.303,68.11,-235.122,5.793
-0.422,0.557,0.351,61.098,-202.683,10.183
-0.075,0.504,0.588,42.988,-122.195,21.524
0.416,0.453,0.566,22.805,-51.951,25.671
0.56,0.391,0.412,4.39,-17.195,17.805
0.418,0.342,0.219,-12.5,12.988,2.805
0.422,0.383,0.208,-24.634,65.244,-9.817
0.708,0.484,0.492,-36.341,118.902,-15.244
0.888,0.604,0.793,-47.378,145.732,-23.11
0.605,0.616,1.037,-54.939,140.366,-25.61
0.264,0.57,1.184,-59.085,127.683,-10.366
0.063,0.49,1.349,-54.695,135.183,5.854
-0.001,0.391,1.514,-42.256,149.085,2.256
0.13,0.331,1.69,-27.012,141.342,-0.061
0.171,0.354,1.507,-1.646,98.659,6.768
-0.089,0.385,0.999,29.268,16.89,9.695
-0.36,0.379,0.715,48.171,-71.89,15.427
-0.5,0.417,0.779,53.049,-142.744,16.768
-0.481,0.517,0.681,59.39,-194.268,14.817
-0.373,0.552,0.471,66.707,-225.183,14.085
-0.324,0.512,0.46,66.098,-220.61,15.244
-0.104,0.465,0.541,56.951,-180.732,22.378
0.242,0.412,0.552,45.488,-125.61,19.878
0.453,0.364,0.515,28.659,-72.134,10.549
0.579,0.363,0.379,7.866,-14.024,-2.073
0.673,0.408,0.307,-10.061,50.671,-13.354
0.767,0.489,0.427,-25.793,113.049,-16.951
0.853,0.648,0.62,-41.89,158.171,-20.305
0.748,0.723,0.881,-54.39,171.768,-24.146
0.481,0.661,1.086,-60.976,165.0,-15.305
0.178,0.54,1.287,-61.037,165.793,0.549
0.031,0.444,1.432,-50.732,174.024,3.415
0.112,0.382,1.585,-32.012,162.683,1.646
0.096,0.348,1.485,-4.878,105.122,3.11
-0.165,0.374,0.984,24.024,1.098,12.927
-0.473,0.401,0.68,40.305,-104.451,14.573
-0.728,0.451,0.725,42.439,-172.683,7.927
-0.566,0.549,0.69,44.573,-199.756,8.476
-0.213,0.571,0.561,48.537,-206.585,15.122
0.01,0.517,0.458,49.39,-201.707,18.293
0.073,0.459,0.479,43.963,-180.671,18.476
0.217,0.42,0.562,33.537,-135.0,15.671
0.466,0.388,0.529,20.061,-68.963,6.951
0.702,0.37,0.416,3.232,17.317,-3.78
0.868,0.399,0.383,-14.39,113.354,-15.671
0.978,0.444,0.574,-31.402,194.634,-16.768
1.051,0.561,0.696,-46.707,249.634,-12.988
0.865,0.663,0.859,-59.329,263.598,-21.22
0.538,0.661,1.037,-69.024,242.988,-20.854
0.203,0.605,1.146,-71.524,207.927,-15.244
-0.101,0.514,1.227,-66.951,197.683,-9.39
-0.063,0.479,1.328,-50.61,207.256,-10.793
