acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.111,0.597,0.717,-40.61,10.976,2.378
-0.128,0.605,0.759,-41.341,7.378,6.646
-0.189,0.587,0.772,-42.378,-2.134,4.939
-0.265,0.57,0.805,-41.341,-15.305,3.72
-0.325,0.565,0.772,-35.488,-22.561,1.463
-0.328,0.551,0.776,-30.915,-18.476,0.549
-0.174,0.526,0.877,-27.256,0.549,4.451
0.012,0.511,0.954,-25.915,18.11,3.963
0.14,0.512,0.99,-23.72,20.061,4.39
0.154,0.489,0.963,-16.951,2.866,5.61
0.017,0.451,0.919,-7.927,-31.037,2.561
-0.142,0.456,0.873,-1.829,-77.012,-6.829
-0.21,0.506,0.836,-0.793,-126.342,-16.951
-0.21,0.561,0.794,-4.634,-182.5,-28.293
-0.181,0.59,0.733,-3.537,-245.732,-44.878
-0.164,0.637,0.546,0.793,-266.768,-40.549
-0.111,0.643,0.499,-0.671,-218.598,-20.305
0.274,0.591,0.668,-12.561,-126.707,-5.854
0.617,0.562,0.83,-19.695,-55.122,7.561
0.409,0.511,0.869,-17.256,-52.256,12.134
-0.188,0.545,0.798,-14.817,-92.317,7.378
-0.584,0.656,0.74,-15.793,-133.049,3.659
-0.398,0.687,0.703,-14.878,-147.012,10.427
0.031,0.616,0.659,-10.915,-143.537,18.293
0.26,0.546,0.674,-6.707,-141.159,20.427
0.293,0.531,0.711,-6.524,-141.281,21.951
0.285,0.553,0.702,-7.317,-136.646,23.78
0.337,0.549,0.678,-6.28,-119.39,25.671
0.466,0.518,0.678,-7.988,-88.598,28.537
0.582,0.492,0.688,-12.988,-47.927,27.988
0.665,0.489,0.642,-20.305,6.768,26.159
0.813,0.484,0.619,-28.78,74.817,25.122
0.979,0.475,0.586,-40.0,122.683,13.049
1.011,0.478,0.499,-50.732,121.037,-6.159
0.855,0.459,0.439,-58.049,87.805,-13.537
0.515,0.423,0.552,-61.341,62.805,-9.817
0.146,0.398,0.781,-59.878,58.963,-10.366
-0.031,0.43,0.931,-56.646,66.829,-14.939
0.01,0.539,0.966,-58.171,65.549,-14.207
0.004,0.63,0.959,-58.78,45.183,-9.695
-0.119,0.627,0.963,-55.366,23.293,-3.11
-0.178,0.571,0.969,-49.512,18.293,-1.951
-0.046,0.495,1.042,-39.817,27.561,-4.085
0.136,0.371,1.232,-25.427,37.744,-2.073
0.158,0.202,1.437,-6.22,15.061,-1.098
0.063,0.123,1.306,15.488,-56.341,1.829
-0.123,0.19,0.905,35.122,-150.488,7.378
-0.368,0.311,0.603,49.817,-235.671,4.146
-0.422,0.409,0.461,56.585,-280.915,-7.866
-0.218,0.431,0.523,59.268,-272.317,-14.207
0.13,0.37,0.575,54.39,-233.415,-9.634
0.525,0.354,0.418,37.317,-173.11,1.341
0.682,0.401,0.274,11.951,-91.524,5.732
0.618,0.477,0.275,-14.512,12.439,4.756
0.666,0.599,0.277,-41.402,121.829,1.463
0.92,0.718,0.37,-68.72,206.037,-8.171
0.972,0.74,0.602,-89.39,242.378,-15.854
0.708,0.644,0.817,-101.22,231.159,-6.829
0.424,0.516,1.038,-98.659,209.268,10.976
0.156,0.383,1.288,-77.073,190.427,13.537
0.068,0.228,1.499,-47.073,162.561,-2.866
0.23,0.125,1.571,-16.89,101.951,-5.122
0.236,0.115,1.297,15.0,0.061,3.171
-0.157,0.2,0.928,38.659,-109.512,5.793
-0.446,0.38,0.713,48.476,-183.11,2.744
-0.384,0.553,0.625,53.841,-213.11,-2.683
-0.132,0.626,0.557,59.329,-204.268,-3.171
0.059,0.553,0.591,60.671,-167.195,4.146
0.249,0.444,0.598,46.463,-115.366,13.537
0.444,0.382,0.593,20.061,-63.232,12.195
0.589,0.322,0.46,-5.427,3.963,-1.22
0.585,0.278,0.315,-25.366,81.159,-14.939
0.708,0.344,0.392,-40.915,153.293,-21.22
0.86,0.511,0.619,-55.0,194.878,-22.866
0.687,0.592,0.903,-63.598,193.049,-17.988
0.38,0.559,1.069,-66.463,163.476,-3.72
0.135,0.459,1.321,-64.146,136.585,14.817
0.015,0.352,1.465,-56.768,120.732,17.378
0.053,0.328,1.52,-42.012,115.732,10.61
0.239,0.359,1.48,-21.646,102.256,8.476
0.421,0.386,1.153,10.0,43.171,8.293
0.144,0.305,0.815,39.512,-52.805,3.476
-0.354,0.282,0.73,47.927,-131.159,3.354
-0.407,0.422,0.737,51.524,-167.866,7.927
-0.177,0.486,0.612,59.573,-177.927,9.512
-0.066,0.405,0.527,60.305,-169.817,9.573
0.059,0.344,0.576,49.695,-153.537,7.561
0.299,0.326,0.526,37.988,-126.402,3.659
0.408,0.31,0.329,23.598,-75.122,2.5
0.501,0.344,0.246,4.878,3.171,-1.829
0.715,0.443,0.313,-15.61,86.22,-13.537
0.84,0.529,0.488,-30.366,146.22,-16.28
0.778,0.575,0.673,-40.427,181.768,-11.951
0.546,0.627,0.819,-52.561,195.488,-10.671
0.3,0.614,1.027,-66.28,185.244,-3.537
0.179,0.529,1.343,-72.012,162.866,12.744
0.02,0.384,1.544,-67.866,141.037,21.28
-0.012,0.255,1.646,-49.939,138.171,11.951
0.129,0.156,1.735,-20.854,142.805,-6.28
0.33,0.124,1.504,11.159,111.951,-6.585
