acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.195,0.476,0.746,-7.744,-6.28,6.951
-0.173,0.6,0.821,-11.646,-6.768,7.927
-0.054,0.638,0.859,-13.841,-10.0,8.72
0.003,0.602,0.837,-13.659,-23.415,6.89
-0.024,0.567,0.779,-13.963,-45.488,1.28
-0.052,0.559,0.753,-16.402,-71.89,-6.585
-0.003,0.555,0.753,-18.049,-95.488,-14.39
0.085,0.519,0.743,-18.232,-112.317,-22.073
0.171,0.468,0.724,-17.256,-119.939,-31.402
0.248,0.437,0.729,-16.951,-122.195,-37.561
0.332,0.437,0.738,-16.768,-125.061,-33.841
0.348,0.45,0.67,-19.268,-140.244,-30.305
0.246,0.481,0.569,-12.866,-176.403,-37.561
0.008,0.562,0.376,-6.89,-206.829,-41.585
-0.077,0.631,0.527,-17.5,-185.427,-11.22
0.323,0.616,0.765,-30.549,-110.183,12.622
0.675,0.514,0.886,-31.463,-45.427,7.805
0.515,0.429,0.854,-24.939,-32.5,-0.976
0.165,0.412,0.76,-22.683,-52.5,2.378
-0.059,0.484,0.665,-23.659,-84.329,6.402
-0.012,0.547,0.564,-23.415,-113.659,9.939
0.133,0.55,0.49,-21.463,-135.854,15.915
0.22,0.521,0.464,-20.244,-140.915,19.695
0.324,0.499,0.51,-22.927,-115.366,21.28
0.524,0.479,0.642,-30.366,-62.683,19.146
0.825,0.458,0.819,-39.756,3.11,11.524
1.042,0.444,0.991,-47.5,60.061,-2.439
1.057,0.407,1.117,-49.329,101.463,-16.037
0.919,0.348,1.169,-46.341,129.146,-24.695
0.77,0.313,1.162,-39.878,142.805,-29.512
0.638,0.3,1.093,-31.28,134.329,-30.488
0.447,0.312,0.958,-20.976,94.634,-23.537
0.236,0.351,0.737,-7.378,31.585,-4.634
-0.012,0.389,0.529,11.037,-41.037,13.171
-0.284,0.396,0.439,28.354,-115.427,12.012
-0.432,0.432,0.41,37.744,-176.037,4.146
-0.352,0.476,0.472,36.829,-195.671,5.427
-0.126,0.467,0.637,28.293,-160.61,12.378
0.314,0.459,0.709,13.049,-77.927,17.683
0.827,0.478,0.669,-3.232,21.159,12.134
1.098,0.461,0.627,-20.305,88.537,-2.622
1.03,0.434,0.601,-36.159,111.646,-11.159
0.738,0.43,0.597,-48.354,107.988,-13.902
0.499,0.488,0.71,-56.341,97.256,-19.085
0.368,0.521,0.98,-61.463,83.476,-19.817
0.297,0.492,1.215,-63.171,77.073,-6.28
0.224,0.414,1.386,-60.122,85.366,7.927
0.228,0.346,1.532,-51.524,108.842,8.902
0.347,0.32,1.613,-33.537,136.281,5.305
0.556,0.334,1.377,-4.451,124.756,8.72
0.498,0.306,0.941,31.768,34.268,19.634
0.052,0.261,0.519,55.976,-104.146,29.634
-0.434,0.34,0.244,67.195,-233.72,22.012
-0.613,0.509,0.123,73.354,-324.817,4.146
-0.424,0.588,0.104,71.829,-358.232,0.488
-0.015,0.539,0.244,58.11,-333.598,15.183
0.479,0.393,0.415,32.988,-261.646,28.78
0.819,0.228,0.374,9.512,-151.463,23.415
0.923,0.19,0.163,-13.78,-12.5,4.024
1.06,0.349,0.244,-37.317,133.659,-10.427
1.271,0.506,0.589,-55.427,238.415,-15.671
1.31,0.598,0.869,-69.695,273.598,-20.061
0.86,0.587,1.178,-75.793,249.085,-20.549
0.354,0.479,1.45,-75.732,203.537,-0.305
0.118,0.382,1.613,-66.463,174.085,18.841
0.006,0.273,1.681,-45.122,169.329,15.244
0.163,0.217,1.633,-14.634,147.744,7.256
0.446,0.244,1.234,24.024,59.634,10.427
0.124,0.229,0.745,56.951,-87.927,15.183
-0.475,0.261,0.452,62.988,-218.354,12.195
-0.625,0.472,0.39,62.134,-291.707,2.927
-0.261,0.618,0.252,62.5,-306.281,3.11
0.124,0.565,0.212,60.244,-274.451,6.22
0.384,0.389,0.44,45.061,-210.976,10.793
0.716,0.282,0.528,22.622,-125.061,12.195
0.907,0.267,0.337,4.512,-21.646,6.89
0.985,0.306,0.173,-15.061,97.866,-2.134
1.121,0.397,0.271,-32.439,204.695,-14.634
1.203,0.436,0.502,-46.829,260.732,-18.72
1.032,0.498,0.675,-59.268,264.268,-13.415
0.644,0.557,0.845,-66.646,229.817,-8.598
0.303,0.539,1.127,-70.183,178.963,3.902
0.054,0.444,1.371,-62.5,134.695,9.39
-0.082,0.33,1.485,-43.171,120.183,7.622
0.113,0.254,1.558,-16.098,120.854,0.549
0.354,0.196,1.449,17.195,78.659,-10.244
0.218,0.137,1.243,39.268,11.037,-1.341
-0.111,0.214,1.117,43.171,-35.61,9.451
-0.185,0.378,1.021,41.89,-50.671,4.451
0.031,0.473,0.88,39.817,-46.037,-1.768
0.274,0.47,0.765,36.768,-39.207,-0.183
0.399,0.442,0.601,36.768,-42.561,10.427
0.416,0.41,0.306,43.537,-72.927,22.073
0.311,0.381,-0.082,54.939,-126.829,25.915
0.033,0.375,-0.222,60.244,-187.439,12.439
-0.15,0.375,0.048,47.988,-240.915,-4.512
-0.085,0.328,0.34,29.695,-264.024,-4.207
-0.058,0.25,0.195,19.695,-232.134,4.573
0.091,0.261,0.075,13.659,-132.683,5.976
0.577,0.367,0.364,3.232,2.439,-2.744
1.142,0.514,0.698,-11.89,121.707,-10.732
1.269,0.598,0.84,-23.78,198.049,-18.963
0.979,0.536,0.983,-32.866,236.342,-31.341
0.703,0.451,1.239,-41.585,245.0,-34.024
0.648,0.454,1.403,-44.878,237.622,-20.122
0.592,0.435,1.437,-37.378,231.159,-0.915
