acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.185,-0.563,0.719,22.805,43.354,7.683
-0.162,-0.542,0.792,17.134,37.683,4.817
-0.166,-0.542,0.819,10.976,29.207,2.805
-0.189,-0.545,0.777,4.634,19.512,1.159
-0.219,-0.57,0.681,-0.183,8.72,-0.488
-0.166,-0.62,0.601,1.098,-0.976,-4.329
-0.084,-0.655,0.558,3.78,-2.805,-9.329
0.018,-0.684,0.583,7.317,4.939,-12.927
0.132,-0.686,0.587,12.195,22.622,-12.5
0.218,-0.668,0.598,16.951,47.683,-10.793
0.266,-0.662,0.645,20.976,72.439,-7.744
0.226,-0.641,0.688,21.037,93.537,-4.573
0.144,-0.65,0.699,21.28,104.207,0.732
0.086,-0.666,0.707,24.146,96.951,4.939
0.025,-0.666,0.818,26.341,84.756,11.524
0.045,-0.614,0.977,22.5,75.915,19.634
0.084,-0.534,1.16,10.915,71.585,29.146
0.116,-0.473,1.264,-6.22,73.11,39.573
0.086,-0.462,1.157,-22.195,75.549,42.378
-0.118,-0.501,0.895,-35.549,74.329,37.744
-0.372,-0.611,0.631,-39.695,71.098,34.817
-0.495,-0.738,0.465,-30.0,72.744,31.22
-0.522,-0.831,0.42,-13.171,78.049,23.537
-0.588,-0.855,0.417,4.756,72.988,13.72
-0.648,-0.786,0.476,15.976,53.659,4.085
-0.653,-0.687,0.603,17.805,22.012,-5.488
-0.62,-0.574,0.702,10.366,-8.415,-14.451
-0.521,-0.566,0.653,8.659,-26.707,-16.22
-0.37,-0.619,0.625,7.866,-38.171,-18.78
-0.324,-0.623,0.645,4.939,-42.561,-22.988
-0.236,-0.629,0.679,10.61,-28.11,-17.744
-0.121,-0.602,0.771,9.329,-11.037,-15.122
-0.022,-0.599,0.875,5.0,8.232,-13.171
0.027,-0.612,0.95,0.305,24.695,-5.61
0.014,-0.602,1.016,-7.195,27.561,4.207
-0.044,-0.572,1.086,-17.134,19.939,9.634
-0.124,-0.529,1.211,-30.61,13.476,12.561
-0.124,-0.5,1.306,-47.073,5.732,19.634
-0.156,-0.525,1.057,-57.073,-9.756,25.427
-0.3,-0.525,0.521,-73.232,-21.646,13.902
-0.418,-0.662,0.189,-70.61,-19.39,4.939
-0.424,-0.939,0.13,-38.171,1.646,8.537
-0.334,-1.058,0.205,-0.793,37.805,6.402
-0.264,-0.979,0.371,17.561,58.415,-3.902
-0.371,-0.792,0.489,18.232,46.098,-10.305
-0.56,-0.619,0.613,13.841,9.695,-14.512
-0.594,-0.477,0.714,7.805,-16.768,-17.988
-0.428,-0.491,0.83,3.659,-20.671,-14.085
-0.338,-0.587,0.634,1.524,-18.537,-11.341
-0.394,-0.667,0.462,5.122,-11.037,-13.232
-0.364,-0.666,0.672,7.622,-4.817,-22.012
-0.271,-0.57,0.836,6.951,9.329,-23.537
-0.175,-0.567,0.884,2.683,21.89,-14.817
-0.161,-0.638,0.943,-6.829,20.549,-8.049
-0.161,-0.709,0.864,-15.0,14.207,-5.122
-0.134,-0.786,0.758,-19.451,7.622,-4.085
-0.04,-0.818,0.757,-22.683,5.671,-0.122
0.02,-0.752,0.8,-27.5,5.305,6.707
-0.04,-0.728,0.687,-24.573,6.89,15.244
-0.142,-0.759,0.577,-22.195,18.232,18.659
-0.179,-0.812,0.538,-22.683,34.39,17.561
-0.241,-0.835,0.46,-12.561,50.854,10.549
-0.297,-0.829,0.377,2.5,61.159,4.756
-0.453,-0.826,0.385,12.073,56.098,2.378
-0.623,-0.782,0.429,18.72,38.049,-0.854
-0.668,-0.703,0.486,18.354,16.463,-6.22
-0.604,-0.63,0.582,16.89,-4.878,-14.146
-0.482,-0.612,0.64,18.476,-13.171,-16.28
-0.401,-0.591,0.7,15.061,-11.402,-15.793
-0.355,-0.542,0.796,7.805,-4.268,-13.902
-0.23,-0.523,0.865,0.915,7.195,-6.22
-0.106,-0.606,0.887,-2.378,16.585,5.122
-0.106,-0.668,0.844,-7.927,21.28,11.951
-0.233,-0.686,0.824,-14.329,16.402,9.268
-0.359,-0.681,0.848,-18.598,9.634,5.305
-0.362,-0.685,0.775,-19.512,0.0,9.695
-0.391,-0.698,0.516,-20.061,-9.39,10.732
-0.437,-0.782,0.463,-15.305,-5.122,5.488
-0.373,-0.905,0.512,-1.646,9.085,1.585
-0.384,-0.879,0.479,7.195,20.549,-6.22
-0.443,-0.796,0.495,14.573,24.146,-13.232
-0.505,-0.759,0.573,18.049,18.11,-15.183
-0.572,-0.715,0.591,16.037,7.744,-18.476
-0.582,-0.728,0.526,16.463,-2.378,-25.427
-0.526,-0.731,0.511,18.537,-10.427,-34.329
-0.415,-0.66,0.579,21.951,-11.524,-36.037
-0.276,-0.593,0.656,20.244,-5.915,-28.049
-0.093,-0.601,0.785,13.171,0.488,-16.341
0.087,-0.64,0.905,6.707,3.537,-2.927
0.132,-0.645,1.046,-1.768,3.049,9.512
0.047,-0.592,1.138,-14.512,-0.793,15.793
-0.078,-0.576,1.162,-26.159,-7.378,21.28
-0.181,-0.612,1.017,-33.659,-14.634,32.317
-0.319,-0.66,0.661,-40.183,-19.573,36.098
-0.469,-0.731,0.408,-41.951,-14.085,22.744
-0.5,-0.879,0.301,-25.183,5.976,9.756
-0.446,-0.984,0.255,1.402,27.683,1.646
-0.435,-0.946,0.329,18.963,35.244,-9.085
-0.493,-0.83,0.4,25.305,25.976,-17.866
-0.555,-0.715,0.449,26.463,9.329,-21.524
-0.5,-0.646,0.476,26.768,-2.622,-22.988
-0.408,-0.663,0.508,31.22,-7.622,-24.146
-0.34,-0.643,0.575,33.537,-9.817,-25.854
-0.277,-0.53,0.803,24.756,-4.207,-26.463
-0.113,-0.472,1.016,10.854,4.146,-17.439
0.064,-0.529,1.083,1.037,11.585,1.646
0.129,-0.606,1.065,-11.463,13.902,18.171
0.021,-0.673,0.991,-24.207,8.354,21.524
-0.161,-0.668,0.999,-34.329,2.683,20.0
-0.217,-0.634,0.979,-41.341,-7.012,25.976
-0.297,-0.665,0.557,-43.659,-18.72,30.427
-0.486,-0.719,0.193,-42.378,-14.573,18.72
-0.54,-0.927,0.154,-17.744,5.549,10.976
-0.476,-1.029,0.178,14.451,25.427,5.671
-0.464,-0.902,0.352,28.841,29.451,-6.829
-0.519,-0.751,0.539,27.195,13.415,-16.341
-0.591,-0.616,0.615,19.573,-5.122,-22.5
-0.488,-0.612,0.611,20.549,-12.439,-22.378
-0.365,-0.616,0.641,22.378,-13.78,-23.963
-0.252,-0.504,0.8,16.768,-6.341,-24.268
-0.136,-0.404,1.03,6.28,0.122,-14.878
-0.033,-0.457,1.08,-6.829,2.134,1.463
0.066,-0.497,1.033,-25.244,-3.415,16.037
0.052,-0.538,1.022,-40.61,-12.073,21.402
-0.07,-0.532,1.153,-57.5,-19.817,22.195
-0.131,-0.526,1.032,-67.927,-28.11,28.841
-0.263,-0.55,0.671,-72.378,-30.549,30.671
-0.35,-0.604,0.49,-74.268,-19.878,24.817
-0.261,-0.671,0.501,-69.695,-3.232,17.378
-0.244,-0.634,0.455,-64.39,5.732,10.854
-0.337,-0.586,0.228,-56.524,-3.841,10.732
-0.482,-0.535,0.217,-52.744,-32.256,7.195
