acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.309,-0.657,0.672,-16.22,51.22,46.463
-0.298,-0.722,0.534,-16.402,40.427,40.671
-0.337,-0.782,0.394,-9.146,33.354,35.244
-0.325,-0.827,0.356,1.463,39.512,28.049
-0.244,-0.853,0.428,14.756,50.305,17.988
-0.211,-0.794,0.476,22.927,60.671,10.061
-0.289,-0.744,0.471,26.524,62.378,2.439
-0.402,-0.744,0.548,24.329,54.268,-4.634
-0.405,-0.739,0.616,19.695,41.28,-10.671
-0.356,-0.717,0.612,17.317,32.622,-16.646
-0.316,-0.706,0.642,17.378,31.768,-20.976
-0.231,-0.701,0.698,18.232,40.488,-22.378
-0.123,-0.683,0.689,18.598,54.695,-21.341
-0.106,-0.669,0.625,18.415,64.756,-15.244
-0.142,-0.673,0.597,18.78,63.354,-3.78
-0.146,-0.652,0.617,17.317,48.72,8.476
-0.151,-0.615,0.708,12.439,34.024,22.5
-0.106,-0.581,0.854,5.671,27.988,34.268
-0.114,-0.568,1.006,-3.598,28.598,40.0
-0.162,-0.554,1.012,-17.134,26.829,39.39
-0.298,-0.571,0.847,-33.049,20.793,35.976
-0.466,-0.639,0.598,-42.866,14.268,30.793
-0.603,-0.734,0.383,-40.671,11.89,21.402
-0.647,-0.862,0.3,-19.939,21.951,14.573
-0.616,-0.914,0.302,0.0,36.89,6.159
-0.57,-0.843,0.348,11.402,43.659,-3.537
-0.601,-0.767,0.453,16.951,35.976,-7.317
-0.646,-0.68,0.58,12.622,17.378,-11.28
-0.611,-0.613,0.652,6.402,-3.232,-16.951
-0.505,-0.626,0.665,5.854,-10.366,-17.622
-0.412,-0.67,0.584,5.427,-7.561,-19.207
-0.408,-0.706,0.502,6.707,-2.683,-23.78
-0.361,-0.718,0.561,12.378,7.805,-24.878
-0.238,-0.661,0.697,13.476,23.598,-20.793
-0.153,-0.644,0.763,9.451,31.098,-10.488
-0.181,-0.684,0.825,3.232,26.829,1.402
-0.197,-0.685,0.879,-7.317,18.415,6.768
-0.191,-0.66,0.929,-22.012,13.659,7.927
-0.147,-0.668,0.967,-32.256,13.902,14.207
-0.167,-0.699,0.879,-33.293,12.134,22.134
-0.255,-0.69,0.625,-36.585,15.549,23.841
-0.4,-0.684,0.38,-44.817,27.378,15.427
-0.535,-0.785,0.165,-38.232,41.28,8.659
-0.562,-0.912,0.051,-16.524,54.573,7.622
-0.584,-0.951,0.053,6.707,60.61,4.207
-0.63,-0.908,0.161,23.72,55.793,-1.402
-0.609,-0.79,0.343,27.622,43.049,-6.585
-0.591,-0.665,0.483,25.061,23.293,-11.951
-0.616,-0.592,0.529,20.854,5.061,-14.085
-0.527,-0.638,0.567,18.354,-4.878,-11.28
-0.427,-0.659,0.589,14.634,-3.72,-11.098
-0.319,-0.624,0.739,9.268,11.22,-10.549
-0.239,-0.582,0.884,2.195,25.671,-2.561
-0.259,-0.61,0.885,-5.183,29.695,14.146
-0.348,-0.661,0.822,-14.39,23.11,21.89
-0.503,-0.695,0.858,-25.732,13.293,13.659
-0.532,-0.719,0.87,-33.659,10.549,8.598
-0.485,-0.728,0.775,-38.171,11.341,9.512
-0.526,-0.716,0.526,-45.183,8.171,7.927
-0.667,-0.765,0.276,-46.463,3.232,0.488
-0.682,-0.881,0.13,-30.976,3.659,-5.366
-0.616,-0.96,0.101,-8.232,9.573,-8.841
-0.615,-0.917,0.125,6.585,12.256,-14.146
-0.644,-0.818,0.222,13.72,6.098,-19.695
-0.609,-0.735,0.373,15.061,-3.537,-22.195
-0.507,-0.718,0.474,16.28,-9.817,-19.878
-0.423,-0.747,0.466,17.256,-10.061,-15.671
-0.419,-0.751,0.473,14.634,-9.207,-15.793
-0.368,-0.733,0.505,13.78,-5.0,-16.829
-0.283,-0.675,0.654,12.195,10.122,-15.0
-0.233,-0.603,0.802,6.159,22.134,-8.72
-0.28,-0.61,0.813,-0.183,21.646,6.646
-0.348,-0.669,0.747,-8.598,15.122,17.805
-0.417,-0.721,0.701,-16.89,6.585,12.195
-0.469,-0.723,0.758,-24.939,2.622,4.695
-0.42,-0.701,0.76,-27.439,-0.793,11.768
-0.419,-0.724,0.51,-24.329,-5.915,21.89
-0.519,-0.747,0.266,-27.134,-0.61,15.61
-0.59,-0.833,0.194,-18.415,9.756,1.951
-0.557,-0.929,0.17,1.463,21.829,-3.11
-0.565,-0.863,0.19,12.744,28.171,-6.402
-0.62,-0.782,0.275,16.768,19.085,-8.598
-0.649,-0.727,0.369,16.28,0.183,-10.366
-0.583,-0.708,0.444,15.671,-15.061,-12.073
-0.479,-0.734,0.483,13.537,-19.573,-11.89
-0.426,-0.731,0.492,10.061,-16.585,-12.256
-0.387,-0.69,0.581,7.683,-7.256,-12.805
-0.287,-0.662,0.678,4.451,5.122,-7.073
-0.212,-0.669,0.743,0.732,15.793,4.268
