acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.284,-0.672,0.557,-8.293,40.854,39.024
-0.28,-0.732,0.526,-7.622,34.695,25.427
-0.289,-0.783,0.527,-0.915,33.232,11.585
-0.305,-0.756,0.569,5.366,43.11,-1.098
-0.305,-0.723,0.611,8.72,53.841,-11.89
-0.336,-0.708,0.673,7.683,60.427,-21.098
-0.349,-0.705,0.703,3.598,58.72,-25.793
-0.32,-0.72,0.657,0.0,51.402,-24.878
-0.291,-0.739,0.592,-3.72,43.293,-23.049
-0.235,-0.781,0.583,-4.39,33.963,-23.11
-0.149,-0.809,0.628,-2.744,24.451,-21.524
-0.073,-0.792,0.687,-3.171,21.341,-14.939
-0.015,-0.78,0.74,-5.793,20.793,-7.195
0.017,-0.784,0.783,-10.0,19.878,-0.488
-0.009,-0.793,0.753,-13.902,18.78,6.524
-0.085,-0.801,0.673,-17.561,16.707,11.341
-0.159,-0.824,0.578,-18.78,12.134,12.134
-0.25,-0.842,0.481,-17.256,5.793,8.171
-0.339,-0.857,0.394,-11.89,-1.341,1.524
-0.383,-0.861,0.329,-0.061,-2.927,-4.756
-0.379,-0.852,0.391,12.561,4.939,-11.341
-0.367,-0.799,0.477,17.744,9.451,-17.927
-0.373,-0.721,0.532,18.78,6.098,-19.512
-0.359,-0.671,0.606,16.768,-2.5,-18.171
-0.288,-0.677,0.663,11.707,-10.549,-18.78
-0.235,-0.685,0.7,4.634,-12.256,-22.073
-0.204,-0.67,0.671,1.646,-10.61,-25.732
-0.178,-0.667,0.625,1.829,-6.768,-25.244
-0.125,-0.683,0.602,3.963,1.707,-19.085
-0.064,-0.707,0.592,5.183,14.329,-9.024
0.015,-0.723,0.609,5.183,21.829,-0.488
0.043,-0.723,0.629,5.732,20.244,6.646
0.009,-0.704,0.623,0.61,14.878,12.317
-0.113,-0.705,0.696,-3.476,5.183,16.098
-0.205,-0.747,0.852,-5.305,0.915,21.28
-0.183,-0.749,0.963,-12.622,5.122,24.268
-0.173,-0.775,0.969,-23.415,10.61,24.695
-0.2,-0.782,0.834,-33.659,13.232,20.061
-0.265,-0.811,0.618,-39.451,11.037,12.561
-0.396,-0.87,0.391,-37.012,7.256,6.159
-0.459,-0.932,0.253,-23.902,7.805,0.427
-0.42,-0.969,0.25,-6.646,12.073,-5.305
-0.322,-0.937,0.317,4.573,13.415,-12.5
-0.267,-0.867,0.4,9.756,9.756,-17.012
-0.251,-0.793,0.471,11.707,6.341,-15.488
-0.228,-0.746,0.503,10.366,3.415,-9.451
-0.194,-0.757,0.477,11.768,4.512,-2.439
-0.149,-0.784,0.531,13.049,10.793,-1.159
-0.118,-0.765,0.595,11.829,17.866,-1.768
-0.146,-0.729,0.57,11.098,24.451,1.28
-0.208,-0.712,0.59,9.024,27.378,1.951
-0.243,-0.713,0.676,9.817,22.5,2.561
-0.228,-0.688,0.725,7.195,15.122,8.598
-0.246,-0.637,0.767,-1.829,7.317,12.927
