acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.758,0.141,-0.309,-54.207,-254.451,-147.134
-0.093,-0.044,-0.205,-10.732,-279.878,-126.768
0.086,-0.11,-0.03,28.659,-261.768,-98.78
0.232,-0.047,0.118,52.317,-212.5,-72.866
0.346,-0.023,0.161,73.598,-136.646,-36.524
0.353,0.005,0.255,81.037,-54.024,-12.805
0.146,0.021,0.307,84.573,-5.061,-4.268
-0.102,0.054,0.302,96.159,13.049,4.512
-0.246,0.119,0.271,106.22,24.085,23.902
-0.25,0.198,0.356,106.159,42.378,45.244
-0.333,0.299,0.717,94.268,59.085,54.695
-0.723,0.279,1.357,53.72,21.646,61.28
-1.085,0.346,1.818,18.537,20.244,50.976
-1.174,0.403,1.968,-5.976,54.451,20.183
-1.173,0.224,1.729,-26.951,52.5,3.476
-1.082,0.188,1.369,-32.5,45.0,-1.768
-0.891,0.178,1.099,-41.951,42.195,-1.951
-0.715,0.164,0.808,-45.549,27.805,-4.878
-0.625,0.131,0.54,-36.829,6.28,-4.756
-0.498,0.112,0.39,-32.256,-5.488,-0.366
-0.348,0.105,0.33,-25.183,-8.841,4.512
-0.274,0.096,0.344,-11.402,-6.646,10.488
-0.247,0.093,0.442,1.341,0.122,15.732
-0.289,0.106,0.595,7.073,14.39,20.488
-0.388,0.125,0.791,3.171,33.841,20.488
-0.548,0.127,0.978,-1.037,45.427,15.549
-0.683,0.132,1.063,-2.561,48.841,10.732
-0.817,0.137,1.041,-4.268,39.268,4.695
-0.927,0.154,0.967,-7.866,20.366,-4.695
-0.957,0.182,0.883,-11.707,4.817,-11.646
-0.844,0.182,0.81,-8.963,-0.549,-11.22
-0.713,0.159,0.747,-5.122,-4.695,-13.232
-0.656,0.139,0.7,-5.305,-12.317,-14.939
-0.592,0.112,0.699,-4.146,-17.378,-9.634
-0.524,0.093,0.717,-2.134,-18.171,-3.598
-0.478,0.079,0.739,0.0,-15.366,0.061
-0.462,0.062,0.778,3.11,-9.512,1.89
-0.475,0.05,0.82,6.524,-3.72,2.439
-0.521,0.059,0.838,7.073,0.366,1.585
-0.597,0.087,0.846,5.793,1.768,0.854
-0.676,0.11,0.846,5.0,-0.732,0.122
-0.729,0.117,0.824,5.732,-6.463,-1.098
-0.758,0.108,0.79,8.415,-16.524,-2.317
-0.78,0.101,0.775,11.646,-28.232,-5.0
-0.781,0.104,0.794,15.0,-37.866,-8.171
-0.75,0.109,0.81,15.793,-44.085,-12.683
-0.725,0.115,0.807,17.927,-48.232,-16.829
-0.687,0.113,0.794,19.207,-51.341,-18.293
-0.663,0.113,0.777,18.841,-57.378,-20.183
-0.619,0.109,0.774,18.72,-61.951,-21.707
-0.557,0.096,0.795,20.122,-60.854,-20.915
-0.505,0.085,0.841,20.61,-54.695,-20.671
-0.46,0.089,0.872,20.122,-47.012,-21.159
-0.455,0.098,0.84,18.171,-40.915,-19.756
-0.458,0.093,0.825,16.768,-37.805,-18.659
-0.455,0.076,0.838,15.427,-36.159,-18.11
-0.46,0.07,0.861,15.061,-35.732,-18.049
-0.44,0.084,0.886,15.244,-32.988,-17.134
-0.382,0.104,0.91,14.817,-27.927,-15.061
-0.331,0.106,0.968,14.146,-22.561,-12.012
-0.326,0.104,1.056,10.122,-12.5,-8.354
-0.354,0.126,1.091,3.537,-1.829,-7.073
-0.388,0.157,1.056,-4.329,0.183,-8.963
-0.405,0.198,1.034,-18.354,-5.366,-11.037
-0.48,0.243,1.125,-35.183,-12.988,-14.146
-0.646,0.253,1.243,-49.268,-20.183,-22.195
-0.731,0.293,1.345,-63.232,-31.524,-32.866
-0.719,0.351,1.375,-72.561,-44.207,-39.146
-0.699,0.401,1.324,-74.939,-57.683,-42.927
-0.719,0.452,1.273,-75.122,-73.598,-48.72
-0.673,0.408,1.276,-75.915,-87.256,-57.744
-0.533,0.283,1.303,-86.341,-88.415,-58.598
-0.389,0.319,1.311,-111.098,-89.146,-50.732
-0.209,0.097,1.24,-122.683,-81.951,-39.512
-0.043,-0.019,1.205,-132.5,-70.305,-18.963
-0.011,-0.044,1.225,-140.305,-58.293,-5.427
-0.056,-0.067,1.279,-147.317,-43.841,2.561
-0.058,-0.106,1.298,-147.256,-28.963,10.488
-0.055,-0.171,1.266,-147.5,-18.11,16.037
-0.09,-0.23,1.243,-146.402,-11.402,16.951
-0.119,-0.28,1.19,-143.354,-8.537,16.89
-0.14,-0.299,1.101,-138.963,-8.293,19.268
-0.136,-0.32,0.993,-134.634,-9.268,24.024
-0.132,-0.362,0.899,-133.293,-9.878,28.049
-0.141,-0.419,0.804,-132.378,-9.695,31.037
-0.141,-0.5,0.717,-126.402,-11.646,34.329
-0.144,-0.579,0.665,-117.439,-16.463,36.22
-0.167,-0.651,0.637,-105.305,-24.512,38.902
-0.181,-0.688,0.601,-95.305,-32.317,41.159
-0.209,-0.692,0.545,-86.341,-37.927,43.598
-0.273,-0.706,0.502,-69.939,-40.915,48.78
-0.331,-0.705,0.504,-52.866,-39.207,53.354
-0.365,-0.676,0.531,-38.78,-31.89,55.183
-0.38,-0.649,0.535,-25.793,-22.805,55.671
-0.377,-0.635,0.54,-14.146,-14.268,55.793
-0.375,-0.63,0.531,-3.598,-7.134,56.341
-0.383,-0.614,0.47,7.317,-2.5,58.659
-0.388,-0.612,0.415,20.976,-0.915,63.598
-0.415,-0.596,0.384,33.293,-4.878,67.317
-0.469,-0.533,0.379,42.256,-15.793,66.707
-0.509,-0.444,0.38,49.39,-30.305,65.183
-0.496,-0.356,0.363,61.951,-42.012,67.805
-0.445,-0.289,0.334,71.341,-51.341,72.439
-0.409,-0.249,0.347,81.28,-58.598,77.378
-0.397,-0.226,0.385,95.427,-64.329,82.561
-0.369,-0.151,0.409,108.11,-66.463,81.28
-0.329,-0.07,0.442,119.573,-60.549,80.976
