acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.288,-0.752,0.31,7.134,-82.256,2.317
0.302,-0.771,0.335,11.159,-103.598,4.024
0.323,-0.803,0.371,12.378,-127.195,7.317
0.354,-0.843,0.396,11.22,-155.732,12.988
0.385,-0.851,0.415,8.293,-189.878,22.195
0.456,-0.849,0.422,4.695,-226.159,31.585
0.514,-0.844,0.393,4.451,-252.866,36.829
0.543,-0.873,0.342,5.976,-262.805,35.183
0.602,-0.93,0.306,6.402,-248.598,33.11
0.653,-0.976,0.272,5.671,-216.037,29.573
0.623,-1.024,0.297,6.89,-176.281,24.512
0.58,-1.06,0.319,12.073,-143.598,20.427
0.516,-1.083,0.303,15.915,-123.476,20.488
0.387,-1.096,0.247,12.744,-105.976,18.232
0.261,-1.069,0.164,6.28,-87.561,10.427
0.227,-0.99,0.096,0.366,-74.329,0.244
0.276,-0.915,0.062,-0.793,-64.512,-8.841
0.391,-0.864,-0.022,6.829,-51.463,-7.805
0.492,-0.82,-0.109,12.927,-31.707,0.427
0.5,-0.82,-0.104,16.585,-5.793,5.732
0.475,-0.817,-0.073,22.256,19.329,6.524
0.508,-0.788,-0.068,26.951,32.195,-0.122
0.522,-0.755,-0.085,32.012,43.232,-11.829
0.445,-0.745,-0.123,38.415,53.415,-23.659
0.341,-0.732,-0.078,41.159,63.72,-38.171
0.259,-0.7,-0.03,39.573,67.927,-51.768
0.147,-0.676,0.044,33.415,58.963,-62.012
0.076,-0.692,0.088,25.976,45.61,-65.305
0.039,-0.762,0.067,12.378,39.329,-60.915
0.044,-0.831,0.107,-4.512,32.805,-52.927
0.145,-0.846,0.192,-18.232,21.463,-50.915
0.472,-0.845,0.276,-24.512,7.317,-43.171
0.753,-0.807,0.298,-19.573,-10.0,-27.805
0.923,-0.794,0.284,-11.768,-27.317,-8.659
1.018,-0.832,0.311,-7.439,-41.768,13.354
0.992,-0.88,0.341,-4.756,-46.098,31.768
0.979,-0.905,0.269,-0.122,-40.244,43.78
1.0,-0.923,0.124,5.793,-31.707,49.695
0.982,-0.948,0.042,8.72,-25.366,54.39
0.898,-0.972,0.015,9.085,-22.439,51.402
0.741,-0.969,-0.021,9.207,-18.841,42.5
0.601,-0.939,-0.047,7.378,-19.268,34.573
0.45,-0.909,0.002,6.159,-24.146,27.378
0.29,-0.879,0.103,4.329,-22.805,24.634
0.164,-0.843,0.182,0.671,-15.793,18.415
0.062,-0.816,0.272,-1.402,-6.585,3.354
0.007,-0.776,0.291,-0.671,0.305,-11.341
0.099,-0.752,0.231,1.463,4.207,-21.22
0.249,-0.787,0.177,2.622,10.366,-29.268
0.332,-0.819,0.133,1.707,17.805,-33.537
0.387,-0.803,0.06,1.463,25.0,-37.622
0.467,-0.801,-0.023,5.854,31.707,-39.878
0.521,-0.813,-0.066,8.476,33.841,-40.854
0.544,-0.806,-0.033,5.976,30.244,-40.366
0.553,-0.815,0.033,-2.927,19.878,-43.11
0.58,-0.821,0.092,-17.744,6.89,-47.988
0.616,-0.795,0.11,-34.085,-0.488,-50.854
0.629,-0.779,0.114,-41.463,-10.183,-50.61
0.664,-0.799,0.17,-24.634,-19.512,-35.61
